instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,01382,asl5200,9,0,val,25,1008,1051,0,0,360,240,https://www.youtube.com/watch?v=jPn0FQxkdBc,africa_0000_asl5200_01382.mp4,skipped_no_ytdlp
1,01383,spreadthesign,35,0,train,25,1,-1,55,0,259,240,https://media.spreadthesign.com/video/mp4/13/50049.mp4,africa_0001_spreadthesign_01383.mp4,ok
2,01384,startasl,38,0,train,25,1,-1,409,56,822,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/africa.mp4,africa_0002_startasl_01384.mp4,ok
3,01385,signschool,6,1,train,25,1,-1,670,44,1529,1078,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Africa%202-TrChLRg2itY.mp4,africa_0003_signschool_01385.mp4,ok
4,01386,signschool,6,1,test,25,1,-1,717,44,1540,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Africa%203-Jn6HQbdJE48.mp4,africa_0004_signschool_01386.mp4,ok
5,01387,signschool,6,0,train,25,1,-1,525,51,1520,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Africa-il-R1NptEEw.mp4,africa_0005_signschool_01387.mp4,ok
6,01388,asldeafined,13,0,train,25,1,-1,137,16,531,480,https://media.asldeafined.com/vocabulary/1466171159.7047.mp4,africa_0006_asldeafined_01388.mp4,ok
7,01390,handspeak,20,0,train,25,1,-1,72,24,574,480,https://www.handspeak.com/word/a/africa.mp4,africa_0007_handspeak_01390.mp4,failed
8,01391,signingsavvy,11,1,val,25,1,-1,80,10,222,192,https://www.signingsavvy.com/signs/mp4/14/14836.mp4,africa_0008_signingsavvy_01391.mp4,ok
9,65029,aslsignbank,90,0,train,25,1,-1,129,22,473,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/AF/AFRICA-846.mp4,africa_0009_aslsignbank_65029.mp4,failed
10,67350,asllex,109,0,train,25,1,-1,106,0,396,360,https://youtu.be/niBJ6C9Rs_8,africa_0010_asllex_67350.mp4,skipped_no_ytdlp
11,01392,aslu,5,1,train,25,1,-1,316,17,939,720,https://www.youtube.com/watch?v=qtVdE7tBGsU,africa_0011_aslu_01392.mp4,skipped_no_ytdlp
12,01393,aslu,5,0,train,25,1,-1,358,39,957,720,https://www.youtube.com/watch?v=S__GZ7Vki30,africa_0012_aslu_01393.mp4,skipped_no_ytdlp
13,01394,aslu,5,0,test,25,1,-1,351,45,945,720,https://www.youtube.com/watch?v=YnK5IFMrc6Q,africa_0013_aslu_01394.mp4,skipped_no_ytdlp
14,01395,aslu,5,0,train,25,1,-1,347,43,943,720,https://www.youtube.com/watch?v=ZyH7kuEa18Q,africa_0014_aslu_01395.mp4,skipped_no_ytdlp
15,01396,aslpro,16,1,train,25,1,-1,16,17,200,240,http://www.aslpro.com/main/a/africa_1.swf,africa_0015_aslpro_01396.mp4,skipped_swf
16,01397,aslpro,16,0,test,25,1,-1,8,19,201,240,http://www.aslpro.com/main/a/africa_2.swf,africa_0016_aslpro_01397.mp4,skipped_swf
17,01398,aslsearch,41,0,val,25,1,-1,236,33,493,400,http://www.aslsearch.com/signs/videos/africa.mp4,africa_0017_aslsearch_01398.mp4,ok
