instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,01429,asl5200,9,0,val,25,1099,1138,0,0,360,240,https://www.youtube.com/watch?v=jPn0FQxkdBc,afternoon_0000_asl5200_01429.mp4,skipped_no_ytdlp
1,70279,northtexas,121,0,train,25,680,775,149,37,414,360,https://www.youtube.com/watch?v=CSj7IScvZnE,afternoon_0001_northtexas_70279.mp4,skipped_no_ytdlp
2,68422,lillybauer,113,0,train,25,1,89,202,64,902,720,https://www.youtube.com/watch?v=DUDs_9ON7vg,afternoon_0002_lillybauer_68422.mp4,skipped_no_ytdlp
3,01441,aslpro,16,0,train,25,1,-1,20,4,231,240,http://www.aslpro.com/main/a/afternoon.swf,afternoon_0003_aslpro_01441.mp4,skipped_swf
4,01442,aslsearch,12,0,train,25,1,-1,176,44,540,400,http://www.aslsearch.com/signs/videos/afternoon.mp4,afternoon_0004_aslsearch_01442.mp4,ok
5,65031,aslsignbank,88,0,train,25,1,-1,174,13,472,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/AF/AFTERNOON-6.mp4,afternoon_0005_aslsignbank_65031.mp4,failed
6,01433,spreadthesign,26,0,train,25,1,-1,72,7,261,240,https://media.spreadthesign.com/video/mp4/13/118363.mp4,afternoon_0006_spreadthesign_01433.mp4,ok
7,01434,startasl,36,0,train,25,1,-1,219,17,541,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/afternoon.mp4,afternoon_0007_startasl_01434.mp4,ok
8,01435,signschool,46,0,train,25,1,-1,444,17,1240,1079,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Afternoon-qjiREmBph34.mp4,afternoon_0008_signschool_01435.mp4,ok
9,01436,asldeafined,13,0,test,25,1,-1,115,21,547,480,https://media.asldeafined.com/vocabulary/1466171348.7716.mp4,afternoon_0009_asldeafined_01436.mp4,ok
10,01437,handspeak,20,0,train,25,1,-1,102,0,523,360,https://www.handspeak.com/word/a/afternoon.mp4,afternoon_0010_handspeak_01437.mp4,failed
11,01438,signingsavvy,11,0,test,25,1,-1,72,15,211,192,https://www.signingsavvy.com/signs/mp4/14/14717.mp4,afternoon_0011_signingsavvy_01438.mp4,ok
13,01440,aslu,5,0,val,25,1,-1,301,11,959,720,https://www.youtube.com/watch?v=z4TGBHXWqdk,afternoon_0013_aslu_01440.mp4,skipped_no_ytdlp
