instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,01551,asl5200,9,0,train,25,1336,1378,0,0,360,240,https://www.youtube.com/watch?v=jPn0FQxkdBc,ago_0000_asl5200_01551.mp4,skipped_no_ytdlp
1,01557,signingsavvy,11,0,train,25,1,-1,67,14,216,192,https://www.signingsavvy.com/signs/mp4/6/6164.mp4,ago_0001_signingsavvy_01557.mp4,ok
2,01558,signingsavvy,11,0,train,25,1,-1,57,8,219,192,https://www.signingsavvy.com/signs/mp4/6/6166.mp4,ago_0002_signingsavvy_01558.mp4,ok
4,01560,signingsavvy,11,0,val,25,1,-1,43,3,212,192,https://www.signingsavvy.com/signs/mp4/9/9194.mp4,ago_0004_signingsavvy_01560.mp4,ok
5,01561,signingsavvy,11,0,train,25,1,-1,34,0,218,192,https://www.signingsavvy.com/signs/mp4/9/9196.mp4,ago_0005_signingsavvy_01561.mp4,ok
6,01562,aslpro,16,0,train,25,1,-1,18,19,200,240,http://www.aslpro.com/main/a/ago.swf,ago_0006_aslpro_01562.mp4,skipped_swf
8,01564,aslsearch,12,0,train,25,1,-1,179,48,556,399,http://www.aslsearch.com/signs/videos/ago.mp4,ago_0008_aslsearch_01564.mp4,ok
9,01552,spreadthesign,2,0,train,25,1,-1,53,12,251,240,https://media.spreadthesign.com/video/mp4/13/307858.mp4,ago_0009_spreadthesign_01552.mp4,ok
10,01553,signschool,4,0,val,25,1,-1,570,98,1535,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Last-0SLfkAHELAs.mp4,ago_0010_signschool_01553.mp4,ok
11,01554,asldeafined,13,0,test,25,1,-1,108,23,514,480,https://media.asldeafined.com/vocabulary/1466171592.603.mp4,ago_0011_asldeafined_01554.mp4,ok
12,01555,handspeak,20,0,test,25,1,-1,91,0,491,360,https://www.handspeak.com/word/a/ago.mp4,ago_0012_handspeak_01555.mp4,failed
13,01556,signingsavvy,11,0,train,25,1,-1,65,9,219,192,https://www.signingsavvy.com/signs/mp4/5/5971.mp4,ago_0013_signingsavvy_01556.mp4,ok
