instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,01912,asl5200,9,0,val,25,1679,1728,0,0,360,240,https://www.youtube.com/watch?v=jPn0FQxkdBc,all_0000_asl5200_01912.mp4,skipped_no_ytdlp
1,69206,aslbrick,115,0,train,25,1,-1,439,68,1366,1080,http://aslbricks.org/New/ASL-Videos/all.mp4,all_0001_aslbrick_69206.mp4,ok
2,68001,valencia-asl,109,1,val,25,1,-1,126,4,1102,720,https://www.youtube.com/watch?v=Gmj2_uVjhqI,all_0002_valencia-asl_68001.mp4,skipped_no_ytdlp
3,68720,lillybauer,113,1,test,25,1,69,100,15,526,359,https://www.youtube.com/watch?v=My4w56H6qwk,all_0003_lillybauer_68720.mp4,skipped_no_ytdlp
4,02002,aslpro,16,1,train,25,1,-1,0,19,208,240,http://www.aslpro.com/main/a/all.swf,all_0004_aslpro_02002.mp4,skipped_swf
5,02003,aslsearch,12,0,train,25,1,-1,171,49,564,400,http://www.aslsearch.com/signs/videos/all.mp4,all_0005_aslsearch_02003.mp4,ok
6,01987,startasl,38,0,train,25,1,-1,351,53,821,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/all.mp4,all_0006_startasl_01987.mp4,ok
7,01988,asldeafined,13,0,train,25,1,-1,32,13,543,480,https://media.asldeafined.com/vocabulary/1466172884.2656.mp4,all_0007_asldeafined_01988.mp4,ok
8,01989,handspeak,14,0,train,25,1,-1,75,5,505,360,https://www.handspeak.com/word/a/all.mp4,all_0008_handspeak_01989.mp4,failed
9,01990,handspeak,20,1,train,25,1,-1,31,33,519,480,https://www.handspeak.com/word/a/all-you.mp4,all_0009_handspeak_01990.mp4,failed
10,01991,signingsavvy,10,1,train,25,1,-1,43,22,221,192,https://www.signingsavvy.com/signs/mp4/22/22936.mp4,all_0010_signingsavvy_01991.mp4,ok
11,01992,signingsavvy,10,0,train,25,1,-1,47,23,228,192,https://www.signingsavvy.com/signs/mp4/22/22937.mp4,all_0011_signingsavvy_01992.mp4,ok
14,65043,aslsignbank,88,0,train,25,1,-1,149,10,464,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/AL/ALL-11.mp4,all_0014_aslsignbank_65043.mp4,failed
15,01995,aslu,5,0,train,25,1,-1,260,45,995,720,https://www.youtube.com/watch?v=0DgYClc0e-E,all_0015_aslu_01995.mp4,skipped_no_ytdlp
16,01986,spreadthesign,2,0,test,25,1,-1,43,0,269,240,https://media.spreadthesign.com/video/mp4/13/244016.mp4,all_0016_spreadthesign_01986.mp4,ok
17,67356,asllex,109,0,train,25,1,-1,72,19,363,360,https://youtu.be/-lxp0xh1smo,all_0017_asllex_67356.mp4,skipped_no_ytdlp
18,01996,aslu,5,0,test,25,1,-1,115,8,500,360,https://www.youtube.com/watch?v=BEfH2a6OfRA,all_0018_aslu_01996.mp4,skipped_no_ytdlp
19,01997,aslu,5,1,val,25,1,-1,259,43,954,720,https://www.youtube.com/watch?v=fE1BI5KxKJM,all_0019_aslu_01997.mp4,skipped_no_ytdlp
20,01998,nabboud,7,1,train,25,1,-1,375,81,904,720,https://www.youtube.com/watch?v=iERRGfH_giQ,all_0020_nabboud_01998.mp4,skipped_no_ytdlp
21,01999,nabboud,7,0,val,25,1,-1,354,81,908,720,https://www.youtube.com/watch?v=k3c4uVHBFR4,all_0021_nabboud_01999.mp4,skipped_no_ytdlp
22,02000,aslu,5,1,train,25,1,-1,168,12,488,360,https://www.youtube.com/watch?v=n1PjPqcHswk,all_0022_aslu_02000.mp4,skipped_no_ytdlp
