instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,03053,asl5200,9,0,val,25,3234,3276,0,0,360,240,https://www.youtube.com/watch?v=jPn0FQxkdBc,appointment_0000_asl5200_03053.mp4,skipped_no_ytdlp
1,70155,northtexas,121,0,train,25,2403,2556,125,21,524,480,https://www.youtube.com/watch?v=F5Wef1_PtLk,appointment_0001_northtexas_70155.mp4,skipped_no_ytdlp
2,03062,signingsavvy,11,0,train,25,1,-1,76,15,215,192,https://www.signingsavvy.com/signs/mp4/6/6265.mp4,appointment_0002_signingsavvy_03062.mp4,ok
3,03063,aslsearch,12,0,train,25,1,-1,177,50,541,400,http://www.aslsearch.com/signs/videos/appointment.mp4,appointment_0003_aslsearch_03063.mp4,ok
4,65087,aslsignbank,89,0,train,25,1,-1,196,40,482,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/AP/APPOINTMENT-2074.mp4,appointment_0004_aslsignbank_65087.mp4,failed
5,03055,spreadthesign,37,0,train,25,1,-1,24,0,295,240,https://media.spreadthesign.com/video/mp4/13/186262.mp4,appointment_0005_spreadthesign_03055.mp4,ok
6,67368,asllex,109,0,train,25,1,-1,101,13,390,360,https://youtu.be/T3geO4kqbQw,appointment_0006_asllex_67368.mp4,skipped_no_ytdlp
7,03056,spreadthesign,2,0,train,25,1,-1,65,15,265,240,https://media.spreadthesign.com/video/mp4/13/89669.mp4,appointment_0007_spreadthesign_03056.mp4,ok
8,03057,startasl,36,0,train,25,1,-1,222,18,527,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/appointment.mp4,appointment_0008_startasl_03057.mp4,ok
9,03058,signschool,46,0,test,25,1,-1,314,20,1230,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Appointment-_6p2vswcewI.mp4,appointment_0009_signschool_03058.mp4,ok
10,03059,signschool,60,0,train,25,1,-1,234,13,589,360,https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Appointment.mp4,appointment_0010_signschool_03059.mp4,ok
11,03060,asldeafined,13,0,test,25,1,-1,119,22,540,480,https://media.asldeafined.com/vocabulary/1466511982.60.mp4,appointment_0011_asldeafined_03060.mp4,ok
12,03061,signingsavvy,10,0,val,25,1,-1,89,24,226,192,https://www.signingsavvy.com/signs/mp4/22/22122.mp4,appointment_0012_signingsavvy_03061.mp4,ok
