instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,03587,asl5200,9,0,test,25,4073,4112,0,0,360,240,https://www.youtube.com/watch?v=jPn0FQxkdBc,ask_0000_asl5200_03587.mp4,skipped_no_ytdlp
4,03597,signschool,6,0,train,25,1,-1,513,53,1054,720,https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20I%20Ask%20You%20(1).mp4,ask_0004_signschool_03597.mp4,ok
5,03598,asldeafined,13,0,train,25,1,-1,130,32,510,480,https://media.asldeafined.com/vocabulary/1466645795.3339.mp4,ask_0005_asldeafined_03598.mp4,ok
6,03599,handspeak,14,0,val,25,1,-1,88,25,532,480,https://www.handspeak.com/word/a/ask-hir-coq.mp4,ask_0006_handspeak_03599.mp4,failed
9,03602,handspeak,14,0,train,25,1,-1,153,15,524,480,https://www.handspeak.com/word/a/ask.mp4,ask_0009_handspeak_03602.mp4,failed
10,03603,signingsavvy,10,0,test,25,1,-1,85,21,212,192,https://www.signingsavvy.com/signs/mp4/23/23459.mp4,ask_0010_signingsavvy_03603.mp4,ok
11,65101,aslsignbank,88,0,train,25,1,-1,188,1,487,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/AS/ASK-22.mp4,ask_0011_aslsignbank_65101.mp4,failed
13,03595,spreadthesign,26,0,train,25,1,-1,58,2,250,240,https://media.spreadthesign.com/video/mp4/13/122583.mp4,ask_0013_spreadthesign_03595.mp4,ok
14,67374,asllex,109,0,train,25,1,-1,105,10,374,360,https://youtu.be/e9NMN5VpAWk,ask_0014_asllex_67374.mp4,skipped_no_ytdlp
15,03605,signingsavvy,10,0,train,25,1,-1,86,21,226,192,https://www.signingsavvy.com/signs/mp4/23/23462.mp4,ask_0015_signingsavvy_03605.mp4,ok
17,03607,signingsavvy,11,0,val,25,1,-1,82,11,217,192,https://www.signingsavvy.com/signs/mp4/6/6163.mp4,ask_0017_signingsavvy_03607.mp4,ok
