instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,04614,asl5200,9,0,test,25,257,306,0,0,360,240,https://www.youtube.com/watch?v=pDqITge_TGs,backpack_0000_asl5200_04614.mp4,skipped_no_ytdlp
1,68956,lillybauer,115,1,test,25,1,52,316,0,976,720,https://www.youtube.com/watch?v=v5B1j9lFKts,backpack_0001_lillybauer_68956.mp4,skipped_no_ytdlp
2,04618,signschool,46,1,train,25,1,-1,275,14,1254,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Backpack-Q0krKdFUujw.mp4,backpack_0002_signschool_04618.mp4,ok
3,04619,signschool,32,1,train,25,1,-1,641,70,1566,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Backpack-QE2mPtq4Rh4.mp4,backpack_0003_signschool_04619.mp4,ok
4,04620,asldeafined,21,1,val,25,1,-1,112,81,701,540,https://media.asldeafined.com/vocabulary/1545783889.6913.mp4,backpack_0004_asldeafined_04620.mp4,ok
5,04621,handspeak,20,0,train,25,1,-1,32,10,312,240,https://www.handspeak.com/word/b/backpack.mp4,backpack_0005_handspeak_04621.mp4,failed
6,04622,handspeak,14,1,train,25,1,-1,51,1,305,240,https://www.handspeak.com/word/b/backpack-travel.mp4,backpack_0006_handspeak_04622.mp4,failed
8,04624,signingsavvy,11,0,train,25,1,-1,31,13,239,192,https://www.signingsavvy.com/signs/mp4/5/5369.mp4,backpack_0008_signingsavvy_04624.mp4,ok
10,65123,aslsignbank,88,1,test,25,1,-1,170,0,510,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/BA/BACKPACK-408.mp4,backpack_0010_aslsignbank_65123.mp4,failed
11,04616,signschool,32,0,train,25,1,-1,569,49,1638,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Backpack%202-ogbE4s8sAO0.mp4,backpack_0011_signschool_04616.mp4,ok
12,04626,aslu,5,0,train,25,1,-1,350,33,951,720,https://www.youtube.com/watch?v=B9TD7vd2-lo,backpack_0012_aslu_04626.mp4,skipped_no_ytdlp
13,04627,aslu,5,0,val,25,1,-1,356,33,942,720,https://www.youtube.com/watch?v=iTlF3KqKQUA,backpack_0013_aslu_04627.mp4,skipped_no_ytdlp
14,04628,aslu,5,1,train,25,1,-1,292,31,1019,720,https://www.youtube.com/watch?v=Le7g5M_zIJQ,backpack_0014_aslu_04628.mp4,skipped_no_ytdlp
15,04629,aslu,5,1,train,25,1,-1,347,31,975,720,https://www.youtube.com/watch?v=St5PWSrZpOY,backpack_0015_aslu_04629.mp4,skipped_no_ytdlp
16,04630,aslpro,18,1,train,25,1,-1,2,1,260,240,http://www.aslpro.com/main/b/backpack.swf,backpack_0016_aslpro_04630.mp4,skipped_swf
17,04631,aslsearch,12,1,train,25,1,-1,161,52,558,397,http://www.aslsearch.com/signs/videos/backpack.mp4,backpack_0017_aslsearch_04631.mp4,ok
18,04617,signschool,32,1,val,25,1,-1,661,59,1747,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Backpack-JmEh_jXrVGU.mp4,backpack_0018_signschool_04617.mp4,ok
