instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,04895,asl5200,9,0,val,25,687,759,0,0,360,240,https://www.youtube.com/watch?v=pDqITge_TGs,banana_0000_asl5200_04895.mp4,skipped_no_ytdlp
1,04900,asldeafined,13,0,train,25,1,-1,80,28,522,480,https://media.asldeafined.com/vocabulary/1466648737.6148.mp4,banana_0001_asldeafined_04900.mp4,ok
2,04901,handspeak,14,0,train,25,1,-1,118,6,483,360,https://www.handspeak.com/word/b/banana2.mp4,banana_0002_handspeak_04901.mp4,failed
3,04902,handspeak,20,0,val,25,1,-1,64,0,525,480,https://www.handspeak.com/word/b/banana.mp4,banana_0003_handspeak_04902.mp4,failed
4,04903,signingsavvy,11,0,train,25,1,-1,68,16,212,192,https://www.signingsavvy.com/signs/mp4/6/6776.mp4,banana_0004_signingsavvy_04903.mp4,ok
5,04904,aslu,5,0,train,25,1,-1,289,64,948,720,https://www.youtube.com/watch?v=4yKyCDC-Tdc,banana_0005_aslu_04904.mp4,skipped_no_ytdlp
6,65135,aslsignbank,91,0,train,25,1,-1,216,32,467,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/BA/BANANA-2089.mp4,banana_0006_aslsignbank_65135.mp4,failed
7,65134,aslsignbank,90,0,train,25,1,-1,195,24,493,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/BA/BANANA-392.mp4,banana_0007_aslsignbank_65134.mp4,failed
8,67387,asllex,109,0,train,25,1,-1,120,18,384,360,https://youtu.be/4ceCCz-iatU,banana_0008_asllex_67387.mp4,skipped_no_ytdlp
9,04905,aslpro,30,0,test,25,1,-1,9,14,238,240,http://www.aslpro.com/main/b/banana.swf,banana_0009_aslpro_04905.mp4,skipped_swf
10,04906,aslsearch,41,0,val,25,1,-1,213,40,479,400,http://www.aslsearch.com/signs/videos/banana.mp4,banana_0010_aslsearch_04906.mp4,ok
11,04896,spreadthesign,37,0,test,25,1,-1,44,0,245,240,https://media.spreadthesign.com/video/mp4/13/455481.mp4,banana_0011_spreadthesign_04896.mp4,ok
12,04897,startasl,38,0,train,25,1,-1,368,56,833,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/banana.mp4,banana_0012_startasl_04897.mp4,ok
13,04898,signschool,39,0,train,25,1,-1,788,60,1758,1076,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Banana%202-7dm2Wk8HYIY.mp4,banana_0013_signschool_04898.mp4,ok
14,04899,signschool,39,0,train,25,1,-1,845,59,1751,1079,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Banana-RGPODsAV9n4.mp4,banana_0014_signschool_04899.mp4,ok
