instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,05296,asl5200,9,0,test,25,1142,1208,0,0,360,240,https://www.youtube.com/watch?v=pDqITge_TGs,bathroom_0000_asl5200_05296.mp4,skipped_no_ytdlp
1,05299,signschool,52,0,test,25,1,-1,373,20,800,480,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Bathroom-u7XrB6j-o3E.mp4,bathroom_0001_signschool_05299.mp4,ok
2,05300,asldeafined,13,0,train,25,1,-1,125,23,527,480,https://media.asldeafined.com/vocabulary/1466649768.1620.mp4,bathroom_0002_asldeafined_05300.mp4,ok
3,05301,handspeak,20,0,train,25,1,-1,119,3,491,360,https://www.handspeak.com/word/b/bathroom2.mp4,bathroom_0003_handspeak_05301.mp4,failed
4,05302,handspeak,14,0,train,25,1,-1,42,4,529,360,https://www.handspeak.com/word/b/bathroom.mp4,bathroom_0004_handspeak_05302.mp4,failed
5,05303,signingsavvy,10,0,val,25,1,-1,85,17,203,192,https://www.signingsavvy.com/signs/mp4/23/23911.mp4,bathroom_0005_signingsavvy_05303.mp4,ok
6,05304,aslu,5,0,train,25,1,-1,310,28,925,720,https://www.youtube.com/watch?v=2xdhyJEgXdI,bathroom_0006_aslu_05304.mp4,skipped_no_ytdlp
7,05305,aslu,5,0,val,25,1,-1,315,48,899,720,https://www.youtube.com/watch?v=GSRwDBAFh70,bathroom_0007_aslu_05305.mp4,skipped_no_ytdlp
8,65148,aslsignbank,88,0,train,25,1,-1,179,7,473,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/BA/BATHROOM-32.mp4,bathroom_0008_aslsignbank_65148.mp4,failed
9,67394,asllex,109,0,train,25,1,-1,100,20,383,360,https://youtu.be/cI3AyC9DfWQ,bathroom_0009_asllex_67394.mp4,skipped_no_ytdlp
11,05307,aslu,64,0,train,25,1,-1,141,38,397,344,https://www.youtube.com/watch?v=tk5XZhfgfcc,bathroom_0011_aslu_05307.mp4,skipped_no_ytdlp
12,05308,aslpro,44,0,train,25,1,-1,16,3,260,240,http://www.aslpro.com/main/b/bathroom_portable.swf,bathroom_0012_aslpro_05308.mp4,skipped_swf
13,05309,aslpro,16,0,val,25,1,-1,36,22,209,240,http://www.aslpro.com/main/b/bathroom.swf,bathroom_0013_aslpro_05309.mp4,skipped_swf
14,05310,aslsearch,12,0,train,25,1,-1,157,51,544,400,http://www.aslsearch.com/signs/videos/bathroom.mp4,bathroom_0014_aslsearch_05310.mp4,ok
15,05297,spreadthesign,2,0,train,25,1,-1,52,14,239,240,https://media.spreadthesign.com/video/mp4/13/92604.mp4,bathroom_0015_spreadthesign_05297.mp4,ok
16,05298,startasl,36,0,train,25,1,-1,165,16,525,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/bathroom.mp4,bathroom_0016_startasl_05298.mp4,ok
