instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,05724,asl5200,9,0,train,25,1733,1779,0,0,360,240,https://www.youtube.com/watch?v=pDqITge_TGs,before_0000_asl5200_05724.mp4,skipped_no_ytdlp
1,70348,northtexas,121,0,train,25,4778,4873,185,50,419,360,https://www.youtube.com/watch?v=bq-HmgjGzmw,before_0001_northtexas_70348.mp4,skipped_no_ytdlp
2,68007,valencia-asl,109,0,train,25,1,-1,121,26,1003,720,https://www.youtube.com/watch?v=IYH-gBXXl8I,before_0002_valencia-asl_68007.mp4,skipped_no_ytdlp
3,05744,aslu,5,1,train,25,1,-1,156,14,493,360,https://www.youtube.com/watch?v=MvtVsr3P098,before_0003_aslu_05744.mp4,skipped_no_ytdlp
5,05746,aslu,5,0,val,25,1,-1,142,12,493,360,https://www.youtube.com/watch?v=PeO4kaKvoVM,before_0005_aslu_05746.mp4,skipped_no_ytdlp
6,05728,signschool,32,0,train,25,1,-1,624,70,1587,1070,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Before%202-02xxXtC3G8c.mp4,before_0006_signschool_05728.mp4,ok
7,05747,aslu,5,1,train,25,1,-1,327,2,1071,720,https://www.youtube.com/watch?v=TQMe2WDz9QE,before_0007_aslu_05747.mp4,skipped_no_ytdlp
8,05748,aslpro,24,1,train,25,1,-1,15,12,206,240,http://www.aslpro.com/main/b/before.swf,before_0008_aslpro_05748.mp4,skipped_swf
9,05749,aslsearch,12,0,train,25,1,-1,167,52,512,400,http://www.aslsearch.com/signs/videos/before3.mp4,before_0009_aslsearch_05749.mp4,ok
10,05750,aslsearch,12,1,val,25,1,-1,171,52,513,400,http://www.aslsearch.com/signs/videos/before.mp4,before_0010_aslsearch_05750.mp4,ok
11,05729,signschool,46,1,train,25,1,-1,300,12,1202,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Before-kM8O_piLegw.mp4,before_0011_signschool_05729.mp4,ok
12,05730,signschool,32,1,train,25,1,-1,712,64,1652,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Before-Se78WI3j-mI.mp4,before_0012_signschool_05730.mp4,ok
13,65167,aslsignbank,88,1,train,25,1,-1,190,0,504,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/BE/BEFORE-37.mp4,before_0013_aslsignbank_65167.mp4,failed
14,05731,signschool,4,0,train,25,1,-1,570,98,1535,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Last-0SLfkAHELAs.mp4,before_0014_signschool_05731.mp4,ok
15,05732,asldeafined,13,0,train,25,1,-1,103,25,528,480,https://media.asldeafined.com/vocabulary/1466681314.2550.mp4,before_0015_asldeafined_05732.mp4,ok
16,05733,asldeafined,13,1,train,25,1,-1,95,23,533,480,https://media.asldeafined.com/vocabulary/1466681379.1244.mp4,before_0016_asldeafined_05733.mp4,ok
17,05734,asldeafined,13,0,train,25,1,-1,129,0,555,480,https://media.asldeafined.com/vocabulary/1468755772.9751.mp4,before_0017_asldeafined_05734.mp4,ok
18,05735,handspeak,20,0,test,25,1,-1,30,4,550,480,https://www.handspeak.com/word/b/before-long.mp4,before_0018_handspeak_05735.mp4,failed
19,05736,handspeak,14,1,val,25,1,-1,59,0,303,240,https://www.handspeak.com/word/b/before.mp4,before_0019_handspeak_05736.mp4,failed
20,05727,startasl,38,1,test,25,1,-1,386,45,810,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/before.mp4,before_0020_startasl_05727.mp4,ok
21,05737,handspeak,20,0,val,25,1,-1,102,11,532,480,https://www.handspeak.com/word/b/before-past.mp4,before_0021_handspeak_05737.mp4,failed
23,05739,signingsavvy,10,1,test,25,1,-1,74,23,209,192,https://www.signingsavvy.com/signs/mp4/22/22829.mp4,before_0023_signingsavvy_05739.mp4,ok
24,05740,signingsavvy,10,1,train,25,1,-1,90,22,203,192,https://www.signingsavvy.com/signs/mp4/22/22831.mp4,before_0024_signingsavvy_05740.mp4,ok
25,05741,signingsavvy,11,0,test,25,1,-1,65,9,219,192,https://www.signingsavvy.com/signs/mp4/5/5971.mp4,before_0025_signingsavvy_05741.mp4,ok
26,05742,signingsavvy,11,0,train,25,1,-1,67,14,216,192,https://www.signingsavvy.com/signs/mp4/6/6164.mp4,before_0026_signingsavvy_05742.mp4,ok
27,05743,signingsavvy,11,0,train,25,1,-1,43,3,212,192,https://www.signingsavvy.com/signs/mp4/9/9194.mp4,before_0027_signingsavvy_05743.mp4,ok
