instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,05852,asl5200,9,0,val,25,1933,1989,0,0,360,240,https://www.youtube.com/watch?v=pDqITge_TGs,believe_0000_asl5200_05852.mp4,skipped_no_ytdlp
1,05859,aslu,5,0,train,25,1,-1,136,5,493,360,https://www.youtube.com/watch?v=kEAwiaMaiSU,believe_0001_aslu_05859.mp4,skipped_no_ytdlp
2,05860,aslu,5,0,train,25,1,-1,263,23,938,720,https://www.youtube.com/watch?v=kEAwiaMaiSU,believe_0002_aslu_05860.mp4,skipped_no_ytdlp
3,05861,aslpro,16,0,train,25,1,-1,10,6,232,240,http://www.aslpro.com/main/b/believe.swf,believe_0003_aslpro_05861.mp4,skipped_swf
4,65171,aslsignbank,91,0,train,25,1,-1,217,30,465,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/BE/BELIEVE-1963.mp4,believe_0004_aslsignbank_65171.mp4,failed
5,65170,aslsignbank,92,0,train,25,1,-1,161,32,465,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/BE/BELIEVE-576.mp4,believe_0005_aslsignbank_65170.mp4,failed
6,67405,asllex,109,0,train,25,1,-1,89,15,378,360,https://youtu.be/1EB4fvsQV_4,believe_0006_asllex_67405.mp4,skipped_no_ytdlp
7,05853,spreadthesign,2,0,train,25,1,-1,56,11,256,240,https://media.spreadthesign.com/video/mp4/13/124266.mp4,believe_0007_spreadthesign_05853.mp4,ok
8,05854,signschool,4,0,train,25,1,-1,577,36,1654,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Believe%2C%20Belief%202-RPPPa9Eflvw.mp4,believe_0008_signschool_05854.mp4,ok
9,05855,signschool,4,0,test,25,1,-1,540,59,1657,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Believe%2C%20Belief-Gn3JioBwLgg.mp4,believe_0009_signschool_05855.mp4,ok
10,05856,asldeafined,13,0,train,25,1,-1,97,26,520,480,https://media.asldeafined.com/vocabulary/1466681536.7148.mp4,believe_0010_asldeafined_05856.mp4,ok
11,05857,handspeak,20,0,test,25,1,-1,62,0,516,480,https://www.handspeak.com/word/b/believe.mp4,believe_0011_handspeak_05857.mp4,failed
12,05858,signingsavvy,11,0,val,25,1,-1,63,12,210,192,https://www.signingsavvy.com/signs/mp4/9/9846.mp4,believe_0012_signingsavvy_05858.mp4,ok
