instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,05921,asl5200,9,0,train,25,2137,2196,0,0,360,240,https://www.youtube.com/watch?v=pDqITge_TGs,belt_0000_asl5200_05921.mp4,skipped_no_ytdlp
1,05930,aslpro,16,0,train,25,1,-1,0,5,242,240,http://www.aslpro.com/main/b/belt.swf,belt_0001_aslpro_05930.mp4,skipped_swf
2,05931,aslsearch,12,0,train,25,1,-1,163,51,557,400,http://www.aslsearch.com/signs/videos/belt.mp4,belt_0002_aslsearch_05931.mp4,ok
3,65173,aslsignbank,95,0,val,25,1,-1,138,7,523,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/BE/BELT-2899.mp4,belt_0003_aslsignbank_65173.mp4,failed
4,05923,spreadthesign,28,0,train,25,1,-1,34,0,287,240,https://media.spreadthesign.com/video/mp4/13/486606.mp4,belt_0004_spreadthesign_05923.mp4,ok
5,67407,asllex,109,0,train,25,1,-1,79,15,447,360,https://youtu.be/X9c1_4jIX9M,belt_0005_asllex_67407.mp4,skipped_no_ytdlp
6,05924,startasl,38,0,train,25,1,-1,423,71,871,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/belt.mp4,belt_0006_startasl_05924.mp4,ok
7,05925,signschool,31,0,train,25,1,-1,558,140,1461,1066,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Belt-enTbUFGUuvg.mp4,belt_0007_signschool_05925.mp4,ok
8,05926,asldeafined,13,0,val,25,1,-1,119,68,569,480,https://media.asldeafined.com/vocabulary/1466681642.4792.mp4,belt_0008_asldeafined_05926.mp4,ok
9,05927,handspeak,20,0,test,25,1,-1,64,0,511,480,https://www.handspeak.com/word/b/belt-waist.mp4,belt_0009_handspeak_05927.mp4,failed
10,05928,signingsavvy,10,0,test,25,1,-1,88,23,209,192,https://www.signingsavvy.com/signs/mp4/22/22146.mp4,belt_0010_signingsavvy_05928.mp4,ok
11,05929,aslu,5,0,train,25,1,-1,310,43,1011,720,https://www.youtube.com/watch?v=RNxKCnCTRT0,belt_0011_aslu_05929.mp4,skipped_no_ytdlp
