instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,06326,asl5200,9,0,test,25,2852,2921,0,0,360,240,https://www.youtube.com/watch?v=pDqITge_TGs,bird_0000_asl5200_06326.mp4,skipped_no_ytdlp
1,69233,aslbrick,115,0,val,25,1,-1,550,70,1377,1080,http://aslbricks.org/New/ASL-Videos/bird.mp4,bird_0001_aslbrick_69233.mp4,ok
2,70107,northtexas,121,0,train,25,830,933,134,23,498,480,https://www.youtube.com/watch?v=lvqGMGFmuV4,bird_0002_northtexas_70107.mp4,skipped_no_ytdlp
3,06333,signschool,32,0,train,25,1,-1,726,78,1601,1077,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Bird-9B3c2F8jE7M.mp4,bird_0003_signschool_06333.mp4,ok
4,06334,signschool,4,0,train,25,1,-1,656,92,1563,1064,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Bird-FoeeEapec3M.mp4,bird_0004_signschool_06334.mp4,ok
5,06335,asldeafined,59,0,test,25,1,-1,86,18,509,480,https://media.asldeafined.com/vocabulary/1466682238.9870.mp4,bird_0005_asldeafined_06335.mp4,ok
6,06336,handspeak,14,0,train,25,1,-1,91,14,505,476,https://www.handspeak.com/word/b/bird.mp4,bird_0006_handspeak_06336.mp4,failed
7,06337,signingsavvy,10,0,train,25,1,-1,71,18,210,192,https://www.signingsavvy.com/signs/mp4/23/23779.mp4,bird_0007_signingsavvy_06337.mp4,ok
8,06338,aslu,5,0,train,25,1,-1,332,38,938,720,https://www.youtube.com/watch?v=1ZEAGpAH284,bird_0008_aslu_06338.mp4,skipped_no_ytdlp
9,06339,nabboud,67,0,train,25,1,-1,324,59,890,720,https://www.youtube.com/watch?v=BC2ahgTLYbk,bird_0009_nabboud_06339.mp4,skipped_no_ytdlp
10,65187,aslsignbank,90,0,train,25,1,-1,157,17,460,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/BI/BIRD-361.mp4,bird_0010_aslsignbank_65187.mp4,failed
11,06330,elementalasl,19,0,val,25,1,-1,90,12,232,180,https://elementalaslconcepts.weebly.com/uploads/2/4/4/5/24454483/bird.mov,bird_0011_elementalasl_06330.mp4,ok
12,67411,asllex,109,0,train,25,1,-1,114,15,385,360,https://youtu.be/pq-48yqB8kM,bird_0012_asllex_67411.mp4,skipped_no_ytdlp
13,06340,aslu,5,0,val,25,1,-1,267,26,923,720,https://www.youtube.com/watch?v=Bibgy-yjgYE,bird_0013_aslu_06340.mp4,skipped_no_ytdlp
14,06341,aslu,64,0,train,25,1,-1,140,33,448,344,https://www.youtube.com/watch?v=o9GSFqvikro,bird_0014_aslu_06341.mp4,skipped_no_ytdlp
15,06342,aslpro,24,0,train,25,1,-1,18,14,200,240,http://www.aslpro.com/main/b/bird.swf,bird_0015_aslpro_06342.mp4,skipped_swf
16,06343,aslsearch,12,0,train,25,1,-1,175,52,533,400,http://www.aslsearch.com/signs/videos/bird.mp4,bird_0016_aslsearch_06343.mp4,ok
17,06331,spreadthesign,2,0,train,25,1,-1,37,6,256,240,https://media.spreadthesign.com/video/mp4/13/124323.mp4,bird_0017_spreadthesign_06331.mp4,ok
18,06332,startasl,36,0,train,25,1,-1,219,16,530,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/bird.mp4,bird_0018_startasl_06332.mp4,ok
