instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,06455,asl5200,9,0,test,25,3109,3158,0,0,360,240,https://www.youtube.com/watch?v=pDqITge_TGs,black_0000_asl5200_06455.mp4,skipped_no_ytdlp
1,69236,aslbrick,118,0,val,25,1,-1,295,38,885,720,http://aslbricks.org/New/ASL-Videos/black.mp4,black_0001_aslbrick_69236.mp4,ok
2,68230,lillybauer,113,0,val,25,1,49,275,3,919,720,https://www.youtube.com/watch?v=2YRASxmXLD0,black_0002_lillybauer_68230.mp4,skipped_no_ytdlp
3,70244,northtexas,121,0,train,25,1146,1241,157,44,396,360,https://www.youtube.com/watch?v=WprUBqi3iBc,black_0003_northtexas_70244.mp4,skipped_no_ytdlp
4,06472,startasl,36,0,train,25,1,-1,205,17,524,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/black.mp4,black_0004_startasl_06472.mp4,ok
5,06473,signschool,4,0,train,25,1,-1,544,60,1618,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Black-Mr3gdFh3A28.mp4,black_0005_signschool_06473.mp4,ok
6,06474,asldeafined,59,0,train,25,1,-1,77,18,515,480,https://media.asldeafined.com/vocabulary/1466682549.1836.mp4,black_0006_asldeafined_06474.mp4,ok
7,06475,handspeak,20,0,train,25,1,-1,37,44,544,480,https://www.handspeak.com/word/b/black.mp4,black_0007_handspeak_06475.mp4,failed
8,06476,signingsavvy,11,0,val,25,1,-1,58,15,216,192,https://www.signingsavvy.com/signs/mp4/6/6787.mp4,black_0008_signingsavvy_06476.mp4,ok
9,06477,signingsavvy,11,0,train,25,1,-1,48,11,226,192,https://www.signingsavvy.com/signs/mp4/7/7145.mp4,black_0009_signingsavvy_06477.mp4,ok
10,06478,signingsavvy,11,0,train,25,1,-1,63,8,245,192,https://www.signingsavvy.com/signs/mp4/8/8384.mp4,black_0010_signingsavvy_06478.mp4,ok
12,06480,aslu,5,0,train,25,1,-1,143,7,487,360,https://www.youtube.com/watch?v=DQdDGulGFwc,black_0012_aslu_06480.mp4,skipped_no_ytdlp
13,65200,aslsignbank,90,0,train,25,1,-1,149,24,479,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/BL/BLACK-415.mp4,black_0013_aslsignbank_65200.mp4,failed
14,06471,spreadthesign,56,0,train,25,1,-1,66,13,258,240,https://media.spreadthesign.com/video/mp4/13/357947.mp4,black_0014_spreadthesign_06471.mp4,ok
15,67414,asllex,109,0,train,25,1,-1,96,8,374,360,https://youtu.be/kCT-we5dguI,black_0015_asllex_67414.mp4,skipped_no_ytdlp
16,06481,scott,47,0,test,25,1,-1,233,3,946,720,https://www.youtube.com/watch?v=HoDXS3W8lEM,black_0016_scott_06481.mp4,skipped_no_ytdlp
17,06482,aslu,5,0,train,25,1,-1,333,21,934,720,https://www.youtube.com/watch?v=Huy9y5RyKAU,black_0017_aslu_06482.mp4,skipped_no_ytdlp
18,06483,aslu,5,0,test,25,1,-1,144,6,487,360,https://www.youtube.com/watch?v=O5_4x8p5t4U,black_0018_aslu_06483.mp4,skipped_no_ytdlp
19,06484,nabboud,68,0,train,25,1,-1,316,57,889,720,https://www.youtube.com/watch?v=TLoZKdMeA8w,black_0019_nabboud_06484.mp4,skipped_no_ytdlp
20,06485,aslpro,25,0,train,25,1,-1,45,10,285,240,http://www.aslpro.com/main/b/black.swf,black_0020_aslpro_06485.mp4,skipped_swf
21,06486,aslsearch,12,0,train,25,1,-1,131,52,555,400,http://www.aslsearch.com/signs/videos/black.mp4,black_0021_aslsearch_06486.mp4,ok
