instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,07369,asl5200,9,0,val,25,4010,4052,0,0,360,240,https://www.youtube.com/watch?v=pDqITge_TGs,bowl_0000_asl5200_07369.mp4,skipped_no_ytdlp
2,70318,northtexas,121,0,train,25,3643,3741,130,31,289,240,https://www.youtube.com/watch?v=pc0-gVEETVg,bowl_0002_northtexas_70318.mp4,skipped_no_ytdlp
7,07379,aslpro,25,0,train,25,1,-1,0,0,251,234,http://www.aslpro.com/main/b/bowl_mixing.swf,bowl_0007_aslpro_07379.mp4,skipped_swf
8,07380,aslpro,25,0,train,25,1,-1,0,0,254,234,http://www.aslpro.com/main/b/bowl_serving.swf,bowl_0008_aslpro_07380.mp4,skipped_swf
9,65240,aslsignbank,90,0,train,25,1,-1,178,26,493,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/BO/BOWL-48.mp4,bowl_0009_aslsignbank_65240.mp4,failed
10,07371,spreadthesign,0,0,train,25,1,-1,58,0,274,240,https://media.spreadthesign.com/video/mp4/13/74888.mp4,bowl_0010_spreadthesign_07371.mp4,ok
11,67430,asllex,109,0,train,25,1,-1,89,16,409,360,https://youtu.be/yMcIeVP87AU,bowl_0011_asllex_67430.mp4,skipped_no_ytdlp
12,07381,aslpro,25,0,train,25,1,-1,0,0,236,234,http://www.aslpro.com/main/b/bowl.swf,bowl_0012_aslpro_07381.mp4,skipped_swf
13,07382,aslsearch,41,0,train,25,1,-1,243,41,495,400,http://www.aslsearch.com/signs/videos/bowl.mp4,bowl_0013_aslsearch_07382.mp4,ok
14,07372,signschool,6,0,test,25,1,-1,654,73,1622,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Bowl-vubX1C5x0JM.mp4,bowl_0014_signschool_07372.mp4,ok
15,07373,asldeafined,59,0,train,25,1,-1,99,27,567,480,https://media.asldeafined.com/vocabulary/1466684945.6683.mp4,bowl_0015_asldeafined_07373.mp4,ok
16,07374,handspeak,20,0,test,25,1,-1,69,23,546,480,https://www.handspeak.com/word/b/bowl.mp4,bowl_0016_handspeak_07374.mp4,failed
17,07375,signingsavvy,11,0,val,25,1,-1,90,15,236,192,https://www.signingsavvy.com/signs/mp4/7/7900.mp4,bowl_0017_signingsavvy_07375.mp4,ok
