instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,09431,asl5200,9,0,test,25,1178,1234,0,0,360,240,https://www.youtube.com/watch?v=PPmQd2zWdP0,cat_0000_asl5200_09431.mp4,skipped_no_ytdlp
1,69261,aslbrick,118,0,test,25,1,-1,357,37,874,720,http://aslbricks.org/New/ASL-Videos/cat.mp4,cat_0001_aslbrick_69261.mp4,ok
3,09528,signschool,32,0,train,25,1,-1,743,79,1579,1066,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Cat-jfXVt72cOm8.mp4,cat_0003_signschool_09528.mp4,ok
5,09530,handspeak,14,0,train,25,1,-1,298,0,952,720,https://www.handspeak.com/word/c/cat-hs20.mp4,cat_0005_handspeak_09530.mp4,failed
6,09531,handspeak,20,0,val,25,1,-1,52,0,511,480,https://www.handspeak.com/word/c/cat.mp4,cat_0006_handspeak_09531.mp4,failed
7,09532,signingsavvy,10,0,val,25,1,-1,84,21,216,192,https://www.signingsavvy.com/signs/mp4/23/23063.mp4,cat_0007_signingsavvy_09532.mp4,ok
8,09533,signingsavvy,10,0,train,25,1,-1,83,20,218,192,https://www.signingsavvy.com/signs/mp4/23/23064.mp4,cat_0008_signingsavvy_09533.mp4,ok
9,09534,aslu,5,0,train,25,1,-1,342,45,939,716,https://www.youtube.com/watch?v=ekFrFoJ-x78,cat_0009_aslu_09534.mp4,skipped_no_ytdlp
10,65312,aslsignbank,102,0,train,25,1,-1,156,19,486,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/CA/CAT-1037.mp4,cat_0010_aslsignbank_65312.mp4,failed
11,65313,aslsignbank,101,0,train,25,1,-1,168,18,462,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/CA/CAT-1040.mp4,cat_0011_aslsignbank_65313.mp4,failed
12,09525,spreadthesign,2,0,val,25,1,-1,57,0,271,240,https://media.spreadthesign.com/video/mp4/13/125842.mp4,cat_0012_spreadthesign_09525.mp4,ok
13,67477,asllex,109,0,train,25,1,-1,117,11,381,360,https://youtu.be/6EEK-SECVDo,cat_0013_asllex_67477.mp4,skipped_no_ytdlp
14,09535,aslu,64,0,train,25,1,-1,143,35,479,344,https://www.youtube.com/watch?v=Pb0K73Dx7uM,cat_0014_aslu_09535.mp4,skipped_no_ytdlp
15,09536,nabboud,67,0,train,25,1,-1,319,50,891,720,https://www.youtube.com/watch?v=PHblYe-5h5g,cat_0015_nabboud_09536.mp4,skipped_no_ytdlp
16,09537,aslpro,16,0,train,25,1,-1,20,8,218,240,http://www.aslpro.com/main/c/cat.swf,cat_0016_aslpro_09537.mp4,skipped_swf
17,09538,aslsearch,41,0,train,25,1,-1,215,42,465,400,http://www.aslsearch.com/signs/videos/cat.mp4,cat_0017_aslsearch_09538.mp4,ok
18,09526,startasl,36,0,train,25,1,-1,210,18,523,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/cat.mp4,cat_0018_startasl_09526.mp4,ok
