instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,09570,asl5200,9,0,train,25,1365,1414,0,0,360,240,https://www.youtube.com/watch?v=PPmQd2zWdP0,cause_0000_asl5200_09570.mp4,skipped_no_ytdlp
1,09579,aslpro,25,0,train,25,1,-1,3,13,240,240,http://www.aslpro.com/main/c/cause.swf,cause_0001_aslpro_09579.mp4,skipped_swf
2,09580,aslsearch,41,0,train,25,1,-1,226,40,475,400,http://www.aslsearch.com/signs/videos/cause.mp4,cause_0002_aslsearch_09580.mp4,ok
3,65319,aslsignbank,90,0,val,25,1,-1,183,17,477,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/CA/CAUSE-560.mp4,cause_0003_aslsignbank_65319.mp4,failed
4,09572,spreadthesign,26,0,train,25,1,-1,50,0,278,240,https://media.spreadthesign.com/video/mp4/13/125857.mp4,cause_0004_spreadthesign_09572.mp4,ok
5,67479,asllex,109,0,train,25,1,-1,96,19,388,360,https://youtu.be/Dd7YKEE1buc,cause_0005_asllex_67479.mp4,skipped_no_ytdlp
6,09573,signschool,4,0,train,25,1,-1,755,53,1673,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Cause-BId5w1MPO7s.mp4,cause_0006_signschool_09573.mp4,ok
7,09574,asldeafined,59,0,train,25,1,-1,89,22,514,480,https://media.asldeafined.com/vocabulary/1466728737.1522.mp4,cause_0007_asldeafined_09574.mp4,ok
8,09575,handspeak,20,0,val,25,1,-1,73,0,555,480,https://www.handspeak.com/word/c/cause.mp4,cause_0008_handspeak_09575.mp4,failed
9,09576,signingsavvy,11,0,test,25,1,-1,57,12,225,192,https://www.signingsavvy.com/signs/mp4/1/1311.mp4,cause_0009_signingsavvy_09576.mp4,ok
10,09577,aslu,5,0,test,25,1,-1,350,34,981,720,https://www.youtube.com/watch?v=F4a8WUC1YtM,cause_0010_aslu_09577.mp4,skipped_no_ytdlp
11,09578,aslu,5,0,train,25,1,-1,295,45,970,720,https://www.youtube.com/watch?v=V47VIesqbc8,cause_0011_aslu_09578.mp4,skipped_no_ytdlp
