instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,09847,asl5200,9,0,test,25,1830,1889,0,0,360,240,https://www.youtube.com/watch?v=PPmQd2zWdP0,chair_0000_asl5200_09847.mp4,skipped_no_ytdlp
1,70230,northtexas,121,0,train,25,2101,2231,127,41,449,360,https://www.youtube.com/watch?v=4Nh1iFv2BMc,chair_0001_northtexas_70230.mp4,skipped_no_ytdlp
2,68580,lillybauer,115,0,train,25,1,51,340,12,944,720,https://www.youtube.com/watch?v=j2hvnGiBrRI,chair_0002_lillybauer_68580.mp4,skipped_no_ytdlp
3,70263,northtexas,121,0,train,25,3092,3209,112,39,426,360,https://www.youtube.com/watch?v=WGfiiDgrq1I,chair_0003_northtexas_70263.mp4,skipped_no_ytdlp
4,68019,valencia-asl,110,0,train,25,1,-1,229,3,672,480,https://www.youtube.com/watch?v=zICB0wesqvY,chair_0004_valencia-asl_68019.mp4,skipped_no_ytdlp
6,09865,aslpro,72,0,train,25,1,-1,0,10,245,240,http://www.aslpro.com//main/c/chair_stacking.swf,chair_0006_aslpro_09865.mp4,skipped_swf
7,09866,aslpro,72,0,train,25,1,-1,18,6,247,240,http://www.aslpro.com/main/c/chair.swf,chair_0007_aslpro_09866.mp4,skipped_swf
8,09848,spreadthesign,0,0,train,25,1,-1,40,6,266,240,https://media.spreadthesign.com/video/mp4/13/74909.mp4,chair_0008_spreadthesign_09848.mp4,ok
9,09867,aslpro,72,0,test,25,1,-1,5,9,250,240,http://www.aslpro.com//main/c/chair_wood.swf,chair_0009_aslpro_09867.mp4,skipped_swf
11,09869,aslsearch,12,0,train,25,1,-1,183,55,560,400,http://www.aslsearch.com/signs/videos/chair.mp4,chair_0011_aslsearch_09869.mp4,ok
12,09849,startasl,38,0,train,25,1,-1,388,56,806,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/chair.mp4,chair_0012_startasl_09849.mp4,ok
13,09850,signschool,31,0,train,25,1,-1,667,144,1472,1061,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Chair-mVdtJjs-_20.mp4,chair_0013_signschool_09850.mp4,ok
14,09851,asldeafined,59,0,val,25,1,-1,102,22,563,480,https://media.asldeafined.com/vocabulary/1466729509.9229.mp4,chair_0014_asldeafined_09851.mp4,ok
15,65328,aslsignbank,90,0,train,25,1,-1,169,15,476,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/CH/CHAIR-378.mp4,chair_0015_aslsignbank_65328.mp4,failed
17,09853,handspeak,14,0,train,25,1,-1,60,0,306,240,https://www.handspeak.com/word/c/chair.mp4,chair_0017_handspeak_09853.mp4,failed
18,09854,signingsavvy,11,0,val,25,1,-1,81,15,233,192,https://www.signingsavvy.com/signs/mp4/7/7821.mp4,chair_0018_signingsavvy_09854.mp4,ok
19,09855,aslu,5,0,test,25,1,-1,288,29,1001,720,https://www.youtube.com/watch?v=8vc2vD9N4tk,chair_0019_aslu_09855.mp4,skipped_no_ytdlp
20,09856,nabboud,65,0,train,25,1,-1,273,88,902,720,https://www.youtube.com/watch?v=dXz1i9gTR4w,chair_0020_nabboud_09856.mp4,skipped_no_ytdlp
21,67483,asllex,109,0,val,25,1,-1,92,19,395,360,https://youtu.be/K47c4lIJQvI,chair_0021_asllex_67483.mp4,skipped_no_ytdlp
22,09857,aslpro,72,0,train,25,1,-1,15,8,245,240,http://www.aslpro.com//main/c/chair_director.swf,chair_0022_aslpro_09857.mp4,skipped_swf
23,09858,aslpro,72,0,train,25,1,-1,0,8,249,240,http://www.aslpro.com//main/c/chair_folding.swf,chair_0023_aslpro_09858.mp4,skipped_swf
24,09859,aslpro,72,0,train,25,1,-1,0,8,247,240,http://www.aslpro.com//main/c/chair_lawn_folding.swf,chair_0024_aslpro_09859.mp4,skipped_swf
25,09860,aslpro,72,0,train,25,1,-1,1,8,252,240,http://www.aslpro.com//main/c/chair_lawn.swf,chair_0025_aslpro_09860.mp4,skipped_swf
26,09861,aslpro,72,0,train,25,1,-1,18,5,242,240,http://www.aslpro.com//main/c/chair_loveseat.swf,chair_0026_aslpro_09861.mp4,skipped_swf
27,09862,aslpro,72,0,val,25,1,-1,10,9,248,240,http://www.aslpro.com//main/c/chair_recliner.swf,chair_0027_aslpro_09862.mp4,skipped_swf
28,09863,aslpro,72,0,train,25,1,-1,5,8,239,240,http://www.aslpro.com//main/c/chair_rocking_1.swf,chair_0028_aslpro_09863.mp4,skipped_swf
