instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,09914,asl5200,9,0,train,25,1933,1975,0,0,360,240,https://www.youtube.com/watch?v=PPmQd2zWdP0,champion_0000_asl5200_09914.mp4,skipped_no_ytdlp
1,09920,signschool,39,0,train,25,1,-1,415,84,1573,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Champ-_v0KzlYIAxc.mp4,champion_0001_signschool_09920.mp4,ok
2,09921,signschool,45,0,train,25,1,-1,676,148,1657,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Mushroom%2C%20Championship-FwEsnbhJcdw.mp4,champion_0002_signschool_09921.mp4,ok
3,09922,asldeafined,59,0,val,25,1,-1,108,18,528,480,https://media.asldeafined.com/vocabulary/1466729649.6746.mp4,champion_0003_asldeafined_09922.mp4,ok
4,09923,handspeak,20,0,train,25,1,-1,24,0,556,480,https://www.handspeak.com/word/c/champion.mp4,champion_0004_handspeak_09923.mp4,failed
5,65330,aslsignbank,95,0,train,25,1,-1,141,6,480,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/CH/CHAMPION-2353.mp4,champion_0005_aslsignbank_65330.mp4,failed
6,09924,signingsavvy,11,0,train,25,1,-1,63,11,196,192,https://www.signingsavvy.com/signs/mp4/14/14281.mp4,champion_0006_signingsavvy_09924.mp4,ok
7,09925,aslpro,24,0,train,25,1,-1,14,12,207,240,http://www.aslpro.com/main/c/champion.swf,champion_0007_aslpro_09925.mp4,skipped_swf
8,09926,aslsearch,12,0,train,25,1,-1,168,54,541,400,http://www.aslsearch.com/signs/videos/champion.mp4,champion_0008_aslsearch_09926.mp4,ok
9,09915,spreadthesign,56,0,test,25,1,-1,4,0,279,240,https://media.spreadthesign.com/video/mp4/13/51532.mp4,champion_0009_spreadthesign_09915.mp4,ok
10,09916,signschool,4,0,val,25,1,-1,517,64,1673,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Champ%202-d0rndTtv_QI.mp4,champion_0010_signschool_09916.mp4,ok
11,09917,signschool,4,0,test,25,1,-1,665,76,1690,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Champ%20copy-sWfCMQbdNJA.mp4,champion_0011_signschool_09917.mp4,ok
12,09918,signschool,31,0,train,25,1,-1,696,67,1705,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Champ-fzzl8DJRa-I.mp4,champion_0012_signschool_09918.mp4,ok
13,09919,signschool,39,0,train,25,1,-1,518,91,1605,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Champion%20-w2Z5s9MvegE.mp4,champion_0013_signschool_09919.mp4,ok
