instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,09945,asl5200,9,0,test,25,2026,2065,0,0,360,240,https://www.youtube.com/watch?v=PPmQd2zWdP0,change_0000_asl5200_09945.mp4,skipped_no_ytdlp
1,70379,northtexas,121,0,val,25,5827,5943,137,16,492,480,https://www.youtube.com/watch?v=Z25ng9maolE,change_0001_northtexas_70379.mp4,skipped_no_ytdlp
2,09966,signingsavvy,11,0,train,25,1,-1,48,11,215,192,https://www.signingsavvy.com/signs/mp4/5/5424.mp4,change_0002_signingsavvy_09966.mp4,ok
3,09967,signingsavvy,11,0,train,25,1,-1,65,13,222,192,https://www.signingsavvy.com/signs/mp4/5/5425.mp4,change_0003_signingsavvy_09967.mp4,ok
4,09968,aslu,5,0,train,25,1,-1,367,45,952,720,https://www.youtube.com/watch?v=lT0E7jGHIKY,change_0004_aslu_09968.mp4,skipped_no_ytdlp
5,09950,spreadthesign,2,0,test,25,1,-1,64,4,266,240,https://media.spreadthesign.com/video/mp4/13/125921.mp4,change_0005_spreadthesign_09950.mp4,ok
6,09969,aslpro,16,0,train,25,1,-1,8,8,223,240,http://www.aslpro.com/main/c/change.swf,change_0006_aslpro_09969.mp4,skipped_swf
7,09970,aslsearch,12,0,train,25,1,-1,190,56,551,400,http://www.aslsearch.com/signs/videos/change.mp4,change_0007_aslsearch_09970.mp4,ok
10,09953,startasl,38,0,train,25,1,-1,423,55,817,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/change.mp4,change_0010_startasl_09953.mp4,ok
11,09954,signschool,31,0,train,25,1,-1,753,142,1517,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Change%202-Xhf4WPaB3tY.mp4,change_0011_signschool_09954.mp4,ok
12,65332,aslsignbank,90,0,train,25,1,-1,192,14,480,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/CH/CHANGE-2371.mp4,change_0012_aslsignbank_65332.mp4,failed
13,09955,signschool,52,0,val,25,1,-1,367,6,827,480,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Change%2C%20Mutation%2C%20Transformation-EW5b3lokmuw.mp4,change_0013_signschool_09955.mp4,ok
14,09956,signschool,31,0,train,25,1,-1,736,143,1527,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Change-f_fl73dep8U.mp4,change_0014_signschool_09956.mp4,ok
15,09957,asldeafined,59,0,val,25,1,-1,112,19,561,480,https://media.asldeafined.com/vocabulary/1466729718.948.mp4,change_0015_asldeafined_09957.mp4,ok
17,09949,elementalasl,66,0,train,25,1,-1,94,12,223,180,https://elementalaslconcepts.weebly.com/uploads/2/4/4/5/24454483/change.mov,change_0017_elementalasl_09949.mp4,ok
19,09960,asldeafined,13,0,train,25,1,-1,149,0,591,480,https://media.asldeafined.com/vocabulary/1468760882.9730.mp4,change_0019_asldeafined_09960.mp4,ok
20,09961,handspeak,20,0,train,25,1,-1,42,0,565,480,https://www.handspeak.com/word/c/change2.mp4,change_0020_handspeak_09961.mp4,failed
21,09962,handspeak,20,0,train,25,1,-1,76,12,537,480,https://www.handspeak.com/word/c/change.mp4,change_0021_handspeak_09962.mp4,failed
22,09963,signingsavvy,11,0,train,25,1,-1,80,14,203,192,https://www.signingsavvy.com/signs/mp4/14/14623.mp4,change_0022_signingsavvy_09963.mp4,ok
