instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,10146,asl5200,9,0,train,25,2340,2392,0,0,360,240,https://www.youtube.com/watch?v=PPmQd2zWdP0,cheat_0000_asl5200_10146.mp4,skipped_no_ytdlp
1,10161,aslu,5,1,train,25,1,-1,322,30,984,720,https://www.youtube.com/watch?v=M-YTVGOSvqA,cheat_0001_aslu_10161.mp4,skipped_no_ytdlp
2,10162,aslpro,24,0,train,25,1,-1,20,11,203,240,http://www.aslpro.com/main/c/cheat_1.swf,cheat_0002_aslpro_10162.mp4,skipped_swf
4,10164,aslpro,24,1,train,25,1,-1,5,12,244,240,http://www.aslpro.com/main/c/cheat_3.swf,cheat_0004_aslpro_10164.mp4,skipped_swf
6,10147,spreadthesign,2,0,train,25,1,-1,39,1,239,240,https://media.spreadthesign.com/video/mp4/13/125942.mp4,cheat_0006_spreadthesign_10147.mp4,ok
7,10166,aslsearch,12,1,train,25,1,-1,175,52,541,400,http://www.aslsearch.com/signs/videos/cheat.mp4,cheat_0007_aslsearch_10166.mp4,ok
8,10148,signschool,4,0,train,25,1,-1,521,52,1638,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Cheat%202-KsLHDSh6t7M.mp4,cheat_0008_signschool_10148.mp4,ok
9,10149,signschool,4,1,train,25,1,-1,533,84,1561,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Cheat%203-Sldnni0vyBw.mp4,cheat_0009_signschool_10149.mp4,ok
11,65341,aslsignbank,102,0,val,25,1,-1,162,17,492,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/CH/CHEAT_1-1058.mp4,cheat_0011_aslsignbank_65341.mp4,failed
12,10151,signschool,4,0,val,25,1,-1,396,69,1686,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Cheat%20copy-Ct97K7sCACc.mp4,cheat_0012_signschool_10151.mp4,ok
16,65342,aslsignbank,94,1,val,25,1,-1,162,12,479,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/CH/CHEAT_2-2514.mp4,cheat_0016_aslsignbank_65342.mp4,failed
17,67489,asllex,109,0,train,25,1,-1,154,20,428,360,https://youtu.be/lmWVuurMMOc,cheat_0017_asllex_67489.mp4,skipped_no_ytdlp
18,67490,asllex,109,1,val,25,1,-1,88,15,403,360,https://youtu.be/U2Nf3gOSPhg,cheat_0018_asllex_67490.mp4,skipped_no_ytdlp
19,10156,handspeak,20,0,test,25,1,-1,73,0,522,480,https://www.handspeak.com/word/c/cheat-us.mp4,cheat_0019_handspeak_10156.mp4,failed
20,10157,signingsavvy,11,0,train,25,1,-1,64,10,209,192,https://www.signingsavvy.com/signs/mp4/14/14045.mp4,cheat_0020_signingsavvy_10157.mp4,ok
21,10158,signingsavvy,11,1,train,25,1,-1,75,13,197,192,https://www.signingsavvy.com/signs/mp4/14/14046.mp4,cheat_0021_signingsavvy_10158.mp4,ok
22,10159,signingsavvy,11,1,test,25,1,-1,56,11,207,192,https://www.signingsavvy.com/signs/mp4/14/14047.mp4,cheat_0022_signingsavvy_10159.mp4,ok
23,10160,aslu,5,1,train,25,1,-1,316,34,980,720,https://www.youtube.com/watch?v=hIKTWc-9yKg,cheat_0023_aslu_10160.mp4,skipped_no_ytdlp
