instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,10696,asl5200,9,0,test,25,3329,3378,0,0,360,240,https://www.youtube.com/watch?v=PPmQd2zWdP0,christmas_0000_asl5200_10696.mp4,skipped_no_ytdlp
1,68554,lillybauer,112,1,val,25,1,42,367,33,962,720,https://www.youtube.com/watch?v=IkdUvdBRIuc,christmas_0001_lillybauer_68554.mp4,skipped_no_ytdlp
2,10708,signingsavvy,11,1,test,25,1,-1,48,1,212,192,https://www.signingsavvy.com/signs/mp4/5/5959.mp4,christmas_0002_signingsavvy_10708.mp4,ok
3,10709,signingsavvy,11,0,val,25,1,-1,71,7,220,192,https://www.signingsavvy.com/signs/mp4/5/5960.mp4,christmas_0003_signingsavvy_10709.mp4,ok
5,10711,signingsavvy,11,1,train,25,1,-1,65,15,208,192,https://www.signingsavvy.com/signs/mp4/6/6609.mp4,christmas_0005_signingsavvy_10711.mp4,ok
6,10712,aslu,5,0,train,25,1,-1,281,24,953,720,https://www.youtube.com/watch?v=41xJpgSzFdI,christmas_0006_aslu_10712.mp4,skipped_no_ytdlp
7,65357,aslsignbank,102,0,train,25,1,-1,170,16,494,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/CH/CHRISTMAS-1064.mp4,christmas_0007_aslsignbank_65357.mp4,failed
8,10703,spreadthesign,42,0,train,25,1,-1,29,4,282,240,https://media.spreadthesign.com/video/mp4/13/399299.mp4,christmas_0008_spreadthesign_10703.mp4,ok
9,10713,aslpro,16,0,train,25,1,-1,7,19,203,240,http://www.aslpro.com/main/c/christmas_1.swf,christmas_0009_aslpro_10713.mp4,skipped_swf
10,10714,aslpro,16,1,train,25,1,-1,1,11,215,240,http://www.aslpro.com/main/c/christmas_2.swf,christmas_0010_aslpro_10714.mp4,skipped_swf
11,10715,aslsearch,41,1,train,25,1,-1,232,39,486,400,http://www.aslsearch.com/signs/videos/christmas.mp4,christmas_0011_aslsearch_10715.mp4,ok
12,10704,startasl,38,1,val,25,1,-1,410,56,833,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/christmas.mp4,christmas_0012_startasl_10704.mp4,ok
13,10705,asldeafined,59,1,train,25,1,-1,119,20,548,480,https://media.asldeafined.com/vocabulary/1466733418.9821.mp4,christmas_0013_asldeafined_10705.mp4,ok
14,10706,handspeak,20,0,train,25,1,-1,49,0,561,480,https://www.handspeak.com/word/c/christmas2.mp4,christmas_0014_handspeak_10706.mp4,failed
15,10707,handspeak,20,1,train,25,1,-1,82,0,495,360,https://www.handspeak.com/word/c/christmas.mp4,christmas_0015_handspeak_10707.mp4,failed
