instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,10768,asl5200,9,0,val,25,3379,3428,0,0,360,240,https://www.youtube.com/watch?v=PPmQd2zWdP0,church_0000_asl5200_10768.mp4,skipped_no_ytdlp
1,68658,lillybauer,113,0,train,25,1,94,185,24,1024,720,https://www.youtube.com/watch?v=lHTdrUkUVcM,church_0001_lillybauer_68658.mp4,skipped_no_ytdlp
2,10776,aslpro,16,0,train,25,1,-1,12,22,217,240,http://www.aslpro.com/main/c/church.swf,church_0002_aslpro_10776.mp4,skipped_swf
3,10777,aslsearch,41,0,train,25,1,-1,211,42,483,400,http://www.aslsearch.com/signs/videos/church.mp4,church_0003_aslsearch_10777.mp4,ok
4,65358,aslsignbank,99,0,train,25,1,-1,164,17,489,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/CH/CHURCH-2296.mp4,church_0004_aslsignbank_65358.mp4,failed
5,67499,asllex,109,0,train,25,1,-1,80,20,390,360,https://youtu.be/5l1FtsYkTDI,church_0005_asllex_67499.mp4,skipped_no_ytdlp
6,10769,spreadthesign,1,0,train,25,1,-1,41,0,276,240,https://media.spreadthesign.com/video/mp4/13/400994.mp4,church_0006_spreadthesign_10769.mp4,ok
7,10770,startasl,38,0,train,25,1,-1,373,52,800,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/church.mp4,church_0007_startasl_10770.mp4,ok
8,10771,signschool,4,0,train,25,1,-1,537,59,1576,1079,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Church-nPM03TJ2njU.mp4,church_0008_signschool_10771.mp4,ok
9,10772,asldeafined,59,0,test,25,1,-1,107,25,577,480,https://media.asldeafined.com/vocabulary/1466733626.4965.mp4,church_0009_asldeafined_10772.mp4,ok
10,10773,handspeak,20,0,train,25,1,-1,67,0,576,480,https://www.handspeak.com/word/c/church.mp4,church_0010_handspeak_10773.mp4,failed
11,10774,signingsavvy,11,0,test,25,1,-1,66,14,219,192,https://www.signingsavvy.com/signs/mp4/7/7174.mp4,church_0011_signingsavvy_10774.mp4,ok
12,10775,aslu,5,0,val,25,1,-1,335,42,984,720,https://www.youtube.com/watch?v=MrQpEWyELqo,church_0012_aslu_10775.mp4,skipped_no_ytdlp
