instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,10888,asl5200,9,0,test,25,3489,3538,0,0,360,240,https://www.youtube.com/watch?v=PPmQd2zWdP0,city_0000_asl5200_10888.mp4,skipped_no_ytdlp
1,69269,aslbrick,115,0,test,25,1,-1,490,71,1375,1080,http://aslbricks.org/New/ASL-Videos/city.mp4,city_0001_aslbrick_69269.mp4,ok
2,68374,lillybauer,115,0,train,25,1,61,344,17,967,720,https://www.youtube.com/watch?v=cEbPqZiaAqQ,city_0002_lillybauer_68374.mp4,skipped_no_ytdlp
3,10895,asldeafined,59,0,train,25,1,-1,98,9,579,480,https://media.asldeafined.com/vocabulary/1466898554.85.mp4,city_0003_asldeafined_10895.mp4,ok
4,10896,handspeak,20,0,train,25,1,-1,125,15,465,360,https://www.handspeak.com/word/c/city.mp4,city_0004_handspeak_10896.mp4,failed
6,10898,signingsavvy,11,0,val,25,1,-1,73,3,221,192,https://www.signingsavvy.com/signs/mp4/6/6001.mp4,city_0006_signingsavvy_10898.mp4,ok
7,10899,aslu,5,0,train,25,1,-1,167,9,500,360,https://www.youtube.com/watch?v=e7Tz3OSQBQQ,city_0007_aslu_10899.mp4,skipped_no_ytdlp
8,10900,aslu,5,0,train,25,1,-1,345,32,930,720,https://www.youtube.com/watch?v=R6T2OTSZNck,city_0008_aslu_10900.mp4,skipped_no_ytdlp
9,10901,aslu,5,0,val,25,1,-1,326,28,942,720,https://www.youtube.com/watch?v=y3aZGBOFqtU,city_0009_aslu_10901.mp4,skipped_no_ytdlp
10,65362,aslsignbank,90,0,train,25,1,-1,156,17,485,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/CI/CITY-551.mp4,city_0010_aslsignbank_65362.mp4,failed
11,65363,aslsignbank,95,0,train,25,1,-1,167,11,461,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/CI/CITY-689.mp4,city_0011_aslsignbank_65363.mp4,failed
12,10892,elementalasl,19,0,train,25,1,-1,82,11,250,180,https://elementalaslconcepts.weebly.com/uploads/2/4/4/5/24454483/city.mov,city_0012_elementalasl_10892.mp4,ok
13,67501,asllex,109,0,train,25,1,-1,76,8,396,360,https://youtu.be/DV17xsFO5Jg,city_0013_asllex_67501.mp4,skipped_no_ytdlp
14,10902,aslu,5,0,train,25,1,-1,314,40,1019,720,https://www.youtube.com/watch?v=Y8QX1lAPwOs,city_0014_aslu_10902.mp4,skipped_no_ytdlp
15,10903,aslpro,25,0,train,25,1,-1,4,9,247,240,http://www.aslpro.com/main/c/city.swf,city_0015_aslpro_10903.mp4,skipped_swf
16,10904,aslsearch,12,0,val,25,1,-1,200,56,557,400,http://www.aslsearch.com/signs/videos/city.mp4,city_0016_aslsearch_10904.mp4,ok
17,10893,spreadthesign,42,0,train,25,1,-1,39,3,291,240,https://media.spreadthesign.com/video/mp4/13/399304.mp4,city_0017_spreadthesign_10893.mp4,ok
18,10894,signschool,4,0,train,25,1,-1,569,84,1595,1077,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Community%2C%20City-ullwVrgZsPE.mp4,city_0018_signschool_10894.mp4,ok
