instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,11752,asl5200,9,0,test,25,4298,4360,0,0,360,240,https://www.youtube.com/watch?v=PPmQd2zWdP0,color_0000_asl5200_11752.mp4,skipped_no_ytdlp
1,69274,aslbrick,116,0,val,25,1,-1,149,18,499,480,http://aslbricks.org/New/ASL-Videos/color.mp4,color_0001_aslbrick_69274.mp4,ok
2,68202,lillybauer,111,0,train,25,1,44,349,14,928,720,https://www.youtube.com/watch?v=13NxXYPYpb0,color_0002_lillybauer_68202.mp4,skipped_no_ytdlp
3,68027,valencia-asl,111,0,train,25,1,-1,215,0,598,480,https://www.youtube.com/watch?v=MslyAd8WAwU,color_0003_valencia-asl_68027.mp4,skipped_no_ytdlp
4,11771,handspeak,20,0,train,25,1,-1,114,0,503,480,https://www.handspeak.com/word/c/color.mp4,color_0004_handspeak_11771.mp4,failed
5,11772,signingsavvy,11,0,test,25,1,-1,54,9,215,192,https://www.signingsavvy.com/signs/mp4/14/14075.mp4,color_0005_signingsavvy_11772.mp4,ok
6,11773,signingsavvy,11,0,train,25,1,-1,85,9,215,192,https://www.signingsavvy.com/signs/mp4/5/5932.mp4,color_0006_signingsavvy_11773.mp4,ok
7,11774,aslu,64,0,train,25,1,-1,144,35,393,345,https://www.youtube.com/watch?v=KaNDm5Xvkzs,color_0007_aslu_11774.mp4,skipped_no_ytdlp
8,11775,aslu,5,0,train,25,1,-1,350,33,947,720,https://www.youtube.com/watch?v=KaNDm5Xvkzs,color_0008_aslu_11775.mp4,skipped_no_ytdlp
9,11776,aslu,5,0,train,25,1,-1,387,37,969,720,https://www.youtube.com/watch?v=-kKuV4iM_NQ,color_0009_aslu_11776.mp4,skipped_no_ytdlp
10,11767,startasl,36,0,train,25,1,-1,231,17,522,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/color.mp4,color_0010_startasl_11767.mp4,ok
11,67514,asllex,109,0,val,25,1,-1,101,19,383,360,https://youtu.be/7Do9s2qJpeA,color_0011_asllex_67514.mp4,skipped_no_ytdlp
12,11777,scott,47,0,train,25,1,-1,366,17,936,720,https://www.youtube.com/watch?v=MIUuj3MCRs8,color_0012_scott_11777.mp4,skipped_no_ytdlp
13,11778,aslu,5,0,val,25,1,-1,372,41,945,720,https://www.youtube.com/watch?v=R0MW-QKaqeQ,color_0013_aslu_11778.mp4,skipped_no_ytdlp
14,11779,aslpro,16,0,train,25,1,-1,30,21,207,240,http://www.aslpro.com/main/c/color.swf,color_0014_aslpro_11779.mp4,skipped_swf
15,11780,aslsearch,12,0,train,25,1,-1,188,53,535,400,http://www.aslsearch.com/signs/videos/color.mp4,color_0015_aslsearch_11780.mp4,ok
16,11768,startasl,38,0,train,25,1,-1,404,53,799,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/colors.mp4,color_0016_startasl_11768.mp4,ok
17,11769,signschool,4,0,train,25,1,-1,760,66,1612,1062,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Color-fdBoYowmVQ8.mp4,color_0017_signschool_11769.mp4,ok
18,11770,asldeafined,59,0,train,25,1,-1,129,28,517,480,https://media.asldeafined.com/vocabulary/1466899941.6976.mp4,color_0018_asldeafined_11770.mp4,ok
