instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,12306,asl5200,9,0,test,25,5122,5181,0,0,360,240,https://www.youtube.com/watch?v=PPmQd2zWdP0,computer_0000_asl5200_12306.mp4,skipped_no_ytdlp
1,68028,valencia-asl,109,0,train,25,1,-1,111,0,1198,720,https://www.youtube.com/watch?v=H-tAzh-nuV8,computer_0001_valencia-asl_68028.mp4,skipped_no_ytdlp
2,69054,lillybauer,113,0,train,25,1,72,110,16,549,360,https://www.youtube.com/watch?v=YEFd7zsUNXU,computer_0002_lillybauer_69054.mp4,skipped_no_ytdlp
3,12328,signingsavvy,11,1,train,25,1,-1,56,11,240,192,https://www.signingsavvy.com/signs/mp4/6/6326.mp4,computer_0003_signingsavvy_12328.mp4,ok
4,12329,aslu,5,1,train,25,1,-1,317,42,1077,720,https://www.youtube.com/watch?v=97IwdVSOQho,computer_0004_aslu_12329.mp4,skipped_no_ytdlp
5,12330,aslu,5,1,train,25,1,-1,299,34,1066,720,https://www.youtube.com/watch?v=cujhpwWi1yY,computer_0005_aslu_12330.mp4,skipped_no_ytdlp
6,12312,startasl,38,0,val,25,1,-1,422,50,824,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/computer-2.mp4,computer_0006_startasl_12312.mp4,ok
7,12331,aslu,5,0,train,25,1,-1,320,47,961,720,https://www.youtube.com/watch?v=fY11M3Dxxx0,computer_0007_aslu_12331.mp4,skipped_no_ytdlp
8,12332,nabboud,65,2,test,25,1,-1,331,67,869,720,https://www.youtube.com/watch?v=lVo6MByRMHY,computer_0008_nabboud_12332.mp4,skipped_no_ytdlp
9,12333,aslu,5,1,val,25,1,-1,256,28,1084,720,https://www.youtube.com/watch?v=-_RSZM-lLXE,computer_0009_aslu_12333.mp4,skipped_no_ytdlp
11,12335,aslu,5,2,val,25,1,-1,321,1,953,720,https://www.youtube.com/watch?v=vK4GwJaDcWU,computer_0011_aslu_12335.mp4,skipped_no_ytdlp
12,12336,nabboud,65,0,test,25,1,-1,386,67,872,720,https://www.youtube.com/watch?v=-wmqgdmwySo,computer_0012_nabboud_12336.mp4,skipped_no_ytdlp
13,12311,spreadthesign,56,1,train,25,1,-1,27,0,313,240,https://media.spreadthesign.com/video/mp4/13/51378.mp4,computer_0013_spreadthesign_12311.mp4,ok
14,12337,aslpro,72,1,train,25,1,-1,8,1,251,240,http://www.aslpro.com/main/c/computer.swf,computer_0014_aslpro_12337.mp4,skipped_swf
15,12338,aslsearch,41,1,train,25,1,-1,221,42,501,400,http://www.aslsearch.com/signs/videos/computer.mp4,computer_0015_aslsearch_12338.mp4,ok
16,12313,startasl,38,1,train,25,1,-1,409,51,833,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/computer.mp4,computer_0016_startasl_12313.mp4,ok
17,12314,signschool,4,0,train,25,1,-1,257,38,1684,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/Computer%203-ZIm7kG5ie_M.mp4,computer_0017_signschool_12314.mp4,ok
18,12315,signschool,4,1,val,25,1,-1,436,35,1765,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/Computer%205-wOn7bu44o4s.mp4,computer_0018_signschool_12315.mp4,ok
19,12316,signschool,4,2,train,25,1,-1,412,18,1698,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Computer%201-_2YnCKHJy6U.mp4,computer_0019_signschool_12316.mp4,ok
20,12317,signschool,4,2,train,25,1,-1,473,44,1708,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Computer%202-_HHzYqXw-xU.mp4,computer_0020_signschool_12317.mp4,ok
21,12318,signschool,4,0,train,25,1,-1,365,45,1673,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Computer%204-1f6Cc5NXBgw.mp4,computer_0021_signschool_12318.mp4,ok
22,12319,signschool,45,2,train,25,1,-1,494,99,1414,1077,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Republic%20of%20Congo-b6U1CIWIPIw.mp4,computer_0022_signschool_12319.mp4,ok
23,12320,asldeafined,59,1,test,25,1,-1,74,19,565,480,https://media.asldeafined.com/vocabulary/1466901185.5915.mp4,computer_0023_asldeafined_12320.mp4,ok
24,67519,asllex,109,1,test,25,1,-1,96,17,417,360,https://youtu.be/u1xoXux2NaE,computer_0024_asllex_67519.mp4,skipped_no_ytdlp
25,12321,handspeak,20,0,train,25,1,-1,115,0,561,480,https://www.handspeak.com/word/c/computer-arm2.mp4,computer_0025_handspeak_12321.mp4,failed
26,12322,handspeak,20,0,train,25,1,-1,107,0,534,480,https://www.handspeak.com/word/c/computer-arm.mp4,computer_0026_handspeak_12322.mp4,failed
27,12323,handspeak,20,2,train,25,1,-1,14,0,521,480,https://www.handspeak.com/word/c/computer-head.mp4,computer_0027_handspeak_12323.mp4,failed
28,12324,handspeak,14,1,train,25,1,-1,120,9,522,360,https://www.handspeak.com/word/c/computer-old2.mp4,computer_0028_handspeak_12324.mp4,failed
30,12326,signingsavvy,11,0,val,25,1,-1,69,9,214,192,https://www.signingsavvy.com/signs/mp4/6/6011.mp4,computer_0030_signingsavvy_12326.mp4,ok
31,12327,signingsavvy,11,2,train,25,1,-1,63,0,218,192,https://www.signingsavvy.com/signs/mp4/6/6012.mp4,computer_0031_signingsavvy_12327.mp4,ok
