instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,13154,asl5200,9,0,test,25,5932,5984,0,0,360,240,https://www.youtube.com/watch?v=PPmQd2zWdP0,cook_0000_asl5200_13154.mp4,skipped_no_ytdlp
1,70030,northtexas,121,0,test,25,3522,3613,55,22,512,480,https://www.youtube.com/watch?v=sErq0TJMKEo,cook_0001_northtexas_70030.mp4,skipped_no_ytdlp
2,68029,valencia-asl,109,0,train,25,1,-1,86,2,1173,720,https://www.youtube.com/watch?v=sK9DAZw4_zs,cook_0002_valencia-asl_68029.mp4,skipped_no_ytdlp
3,69004,lillybauer,115,0,train,25,1,43,124,8,548,360,https://www.youtube.com/watch?v=Wny0hRLOETg,cook_0003_lillybauer_69004.mp4,skipped_no_ytdlp
4,13158,asldeafined,59,0,train,25,1,-1,90,22,522,480,https://media.asldeafined.com/vocabulary/1466903034.6121.mp4,cook_0004_asldeafined_13158.mp4,ok
5,13159,handspeak,14,0,val,25,1,-1,20,2,522,480,https://www.handspeak.com/word/c/cook.mp4,cook_0005_handspeak_13159.mp4,failed
6,13160,signingsavvy,11,0,train,25,1,-1,62,10,205,192,https://www.signingsavvy.com/signs/mp4/14/14239.mp4,cook_0006_signingsavvy_13160.mp4,ok
7,13161,signingsavvy,11,0,train,25,1,-1,66,1,237,192,https://www.signingsavvy.com/signs/mp4/5/5801.mp4,cook_0007_signingsavvy_13161.mp4,ok
8,13162,aslu,5,0,val,25,1,-1,294,59,918,720,https://www.youtube.com/watch?v=DPOkRwo1a6A,cook_0008_aslu_13162.mp4,skipped_no_ytdlp
9,67527,asllex,109,0,train,25,1,-1,87,16,370,360,https://youtu.be/lvwn7OAGJWk,cook_0009_asllex_67527.mp4,skipped_no_ytdlp
10,13164,aslu,5,0,train,25,1,-1,321,69,940,720,https://www.youtube.com/watch?v=UCVlTV4FF9g,cook_0010_aslu_13164.mp4,skipped_no_ytdlp
11,13165,aslu,5,0,train,25,1,-1,337,43,946,720,https://www.youtube.com/watch?v=Xy0FCuz1KHw,cook_0011_aslu_13165.mp4,skipped_no_ytdlp
12,13166,aslpro,30,0,train,25,1,-1,0,14,226,240,http://www.aslpro.com/main/c/cook.swf,cook_0012_aslpro_13166.mp4,skipped_swf
13,13167,aslsearch,12,0,train,25,1,-1,164,54,522,400,http://www.aslsearch.com/signs/videos/cook2.mp4,cook_0013_aslsearch_13167.mp4,ok
14,13168,aslsearch,12,0,train,25,1,-1,168,59,523,400,http://www.aslsearch.com/signs/videos/cook.mp4,cook_0014_aslsearch_13168.mp4,ok
15,13155,spreadthesign,0,0,val,25,1,-1,39,6,251,240,https://media.spreadthesign.com/video/mp4/13/74942.mp4,cook_0015_spreadthesign_13155.mp4,ok
16,13156,startasl,36,0,train,25,1,-1,213,16,522,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/cook.mp4,cook_0016_startasl_13156.mp4,ok
17,13157,signschool,6,0,train,25,1,-1,569,54,1444,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Cook-OnJxNwHhkIs.mp4,cook_0017_signschool_13157.mp4,ok
