instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,13309,asl5200,9,0,val,25,6138,6190,0,0,360,240,https://www.youtube.com/watch?v=PPmQd2zWdP0,corn_0000_asl5200_13309.mp4,skipped_no_ytdlp
1,69282,aslbrick,119,0,train,25,1,-1,317,29,861,720,http://aslbricks.org/New/ASL-Videos/corn.mp4,corn_0001_aslbrick_69282.mp4,ok
2,13337,aslsearch,12,0,train,25,1,-1,157,54,530,400,http://www.aslsearch.com/signs/videos/corn.mp4,corn_0002_aslsearch_13337.mp4,ok
4,13325,spreadthesign,0,1,test,25,1,-1,61,15,292,240,https://media.spreadthesign.com/video/mp4/13/69483.mp4,corn_0004_spreadthesign_13325.mp4,ok
5,13326,signschool,4,0,train,25,1,-1,333,33,1027,720,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Corn%202-FKgZc_MRxV4.mp4,corn_0005_signschool_13326.mp4,ok
6,13327,signschool,4,0,train,25,1,-1,382,27,1022,719,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Corn-o98GdAgQyjY.mp4,corn_0006_signschool_13327.mp4,ok
7,13328,signschool,32,0,train,25,1,-1,677,75,1599,1074,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Corn-QaahtFHvNxI.mp4,corn_0007_signschool_13328.mp4,ok
8,13329,asldeafined,59,0,train,25,1,-1,87,24,522,480,https://media.asldeafined.com/vocabulary/1466903438.4804.mp4,corn_0008_asldeafined_13329.mp4,ok
9,13330,handspeak,14,1,train,25,1,-1,3,6,320,240,https://www.handspeak.com/word/c/corn2.mp4,corn_0009_handspeak_13330.mp4,failed
10,13331,handspeak,14,1,train,25,1,-1,2,5,314,240,https://www.handspeak.com/word/c/corn.mp4,corn_0010_handspeak_13331.mp4,failed
12,65408,aslsignbank,92,0,train,25,1,-1,144,25,440,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/CO/CORN_1-2167.mp4,corn_0012_aslsignbank_65408.mp4,failed
13,65409,aslsignbank,99,1,train,25,1,-1,92,11,506,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/CO/CORN_2-2464.mp4,corn_0013_aslsignbank_65409.mp4,failed
14,13323,spreadthesign,37,0,train,25,1,-1,12,0,271,240,https://media.spreadthesign.com/video/mp4/13/184770.mp4,corn_0014_spreadthesign_13323.mp4,ok
15,67531,asllex,109,1,train,25,1,-1,58,19,418,360,https://youtu.be/0C7Gfubq690,corn_0015_asllex_67531.mp4,skipped_no_ytdlp
16,67530,asllex,109,0,test,25,1,-1,106,18,381,360,https://youtu.be/lPM0S5NBl_0,corn_0016_asllex_67530.mp4,skipped_no_ytdlp
17,13333,signingsavvy,11,0,train,25,1,-1,68,14,225,192,https://www.signingsavvy.com/signs/mp4/7/7286.mp4,corn_0017_signingsavvy_13333.mp4,ok
18,13334,signingsavvy,11,0,test,25,1,-1,67,9,218,192,https://www.signingsavvy.com/signs/mp4/8/8825.mp4,corn_0018_signingsavvy_13334.mp4,ok
19,13335,aslpro,24,0,val,25,1,-1,0,17,200,240,http://www.aslpro.com/main/c/corn_a.swf,corn_0019_aslpro_13335.mp4,skipped_swf
20,13336,aslpro,24,1,val,25,1,-1,21,14,218,240,http://www.aslpro.com/main/c/corn_b.swf,corn_0020_aslpro_13336.mp4,skipped_swf
