instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,13681,asl5200,9,0,test,25,6767,6803,0,0,360,240,https://www.youtube.com/watch?v=PPmQd2zWdP0,cow_0000_asl5200_13681.mp4,skipped_no_ytdlp
1,69283,aslbrick,118,0,train,25,1,-1,219,15,1044,720,http://aslbricks.org/New/ASL-Videos/cow.mp4,cow_0001_aslbrick_69283.mp4,ok
2,13697,signschool,31,0,train,25,1,-1,413,77,1655,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Cow-6-hRTBII8CE.mp4,cow_0002_signschool_13697.mp4,ok
3,13698,signschool,31,1,val,25,1,-1,477,60,1068,716,https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Cow%202.mp4,cow_0003_signschool_13698.mp4,ok
4,13699,asldeafined,59,0,train,25,1,-1,63,29,610,480,https://media.asldeafined.com/vocabulary/1466904642.2093.mp4,cow_0004_asldeafined_13699.mp4,ok
5,13700,handspeak,14,0,train,25,1,-1,51,10,606,475,https://www.handspeak.com/word/c/cow2.mp4,cow_0005_handspeak_13700.mp4,failed
6,13701,handspeak,14,1,train,25,1,-1,122,4,507,480,https://www.handspeak.com/word/c/cow.mp4,cow_0006_handspeak_13701.mp4,failed
7,13702,signingsavvy,11,1,train,25,1,-1,36,0,220,192,https://www.signingsavvy.com/signs/mp4/14/14631.mp4,cow_0007_signingsavvy_13702.mp4,ok
8,13703,signingsavvy,11,0,val,25,1,-1,34,0,257,192,https://www.signingsavvy.com/signs/mp4/14/14633.mp4,cow_0008_signingsavvy_13703.mp4,ok
9,13704,aslu,5,1,train,25,1,-1,225,0,966,720,https://www.youtube.com/watch?v=HTCXKjM5h-4,cow_0009_aslu_13704.mp4,skipped_no_ytdlp
10,13695,spreadthesign,35,1,train,25,1,-1,36,0,254,240,https://media.spreadthesign.com/video/mp4/13/357956.mp4,cow_0010_spreadthesign_13695.mp4,ok
11,67536,asllex,109,1,train,25,1,-1,78,18,380,360,https://youtu.be/VO9nCXjgMW4,cow_0011_asllex_67536.mp4,skipped_no_ytdlp
12,13705,aslu,5,1,train,25,1,-1,262,26,941,720,https://www.youtube.com/watch?v=I2_nB2cXP58,cow_0012_aslu_13705.mp4,skipped_no_ytdlp
13,13706,nabboud,67,1,train,25,1,-1,284,32,911,720,https://www.youtube.com/watch?v=-IWU7gZ-gAQ,cow_0013_nabboud_13706.mp4,skipped_no_ytdlp
14,13707,aslu,64,1,train,25,1,-1,139,33,467,345,https://www.youtube.com/watch?v=oId_a4wrcds,cow_0014_aslu_13707.mp4,skipped_no_ytdlp
15,13708,aslu,5,1,test,25,1,-1,229,95,941,720,https://www.youtube.com/watch?v=sdr-c7NRai8,cow_0015_aslu_13708.mp4,skipped_no_ytdlp
16,13709,aslpro,16,1,train,25,1,-1,17,9,231,240,http://www.aslpro.com/main/c/cow.swf,cow_0016_aslpro_13709.mp4,skipped_swf
17,13710,aslsearch,41,1,test,25,1,-1,193,43,481,400,http://www.aslsearch.com/signs/videos/cow.mp4,cow_0017_aslsearch_13710.mp4,ok
18,13696,startasl,36,1,val,25,1,-1,152,16,525,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/cow.mp4,cow_0018_startasl_13696.mp4,ok
