instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,14172,asl5200,9,0,test,25,7133,7189,0,0,360,240,https://www.youtube.com/watch?v=PPmQd2zWdP0,cry_0000_asl5200_14172.mp4,skipped_no_ytdlp
1,14190,aslsearch,12,0,test,25,1,-1,182,64,535,400,http://www.aslsearch.com/signs/videos/cry.mp4,cry_0001_aslsearch_14190.mp4,ok
2,14175,startasl,38,0,train,25,1,-1,430,62,815,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/cry.mp4,cry_0002_startasl_14175.mp4,ok
3,14176,signschool,32,0,train,25,1,-1,752,67,1641,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Cry-h4Wi_1czvI8.mp4,cry_0003_signschool_14176.mp4,ok
4,14177,asldeafined,59,0,val,25,1,-1,116,29,505,480,https://media.asldeafined.com/vocabulary/1466905512.2250.mp4,cry_0004_asldeafined_14177.mp4,ok
5,14178,handspeak,14,0,val,25,1,-1,0,0,320,240,https://www.handspeak.com/word/c/cry2.mp4,cry_0005_handspeak_14178.mp4,failed
6,14179,handspeak,14,0,train,25,1,-1,48,0,292,240,https://www.handspeak.com/word/c/cry.mp4,cry_0006_handspeak_14179.mp4,failed
7,14180,signingsavvy,11,0,train,25,1,-1,68,10,229,192,https://www.signingsavvy.com/signs/mp4/14/14521.mp4,cry_0007_signingsavvy_14180.mp4,ok
9,14182,signingsavvy,11,0,train,25,1,-1,62,11,216,192,https://www.signingsavvy.com/signs/mp4/9/9349.mp4,cry_0009_signingsavvy_14182.mp4,ok
10,14183,signingsavvy,11,0,train,25,1,-1,65,13,217,192,https://www.signingsavvy.com/signs/mp4/9/9350.mp4,cry_0010_signingsavvy_14183.mp4,ok
11,65427,aslsignbank,99,0,val,25,1,-1,139,16,472,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/CR/CRY-437.mp4,cry_0011_aslsignbank_65427.mp4,failed
12,14174,spreadthesign,53,0,train,25,1,-1,48,0,263,240,https://media.spreadthesign.com/video/mp4/13/51555.mp4,cry_0012_spreadthesign_14174.mp4,ok
13,67545,asllex,109,0,train,25,1,-1,100,7,391,360,https://youtu.be/TcODOeucG60,cry_0013_asllex_67545.mp4,skipped_no_ytdlp
15,14185,nabboud,65,0,train,25,1,-1,320,54,864,720,https://www.youtube.com/watch?v=2d8EvTygLOc,cry_0015_nabboud_14185.mp4,skipped_no_ytdlp
16,14186,aslu,5,0,train,25,1,-1,215,33,1068,720,https://www.youtube.com/watch?v=N6EpoWObVVU,cry_0016_aslu_14186.mp4,skipped_no_ytdlp
17,14187,aslpro,25,0,train,25,1,-1,10,9,250,240,http://www.aslpro.com/main/c/cry.swf,cry_0017_aslpro_14187.mp4,skipped_swf
18,14188,aslsearch,12,0,train,25,1,-1,179,63,533,400,http://www.aslsearch.com/signs/videos/cry2.mp4,cry_0018_aslsearch_14188.mp4,ok
