instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,14621,asl5200,9,0,test,25,67,126,0,0,360,240,https://www.youtube.com/watch?v=ChIupJBcxjs,dance_0000_asl5200_14621.mp4,skipped_no_ytdlp
1,68032,valencia-asl,109,0,val,25,1,-1,91,2,1186,720,https://www.youtube.com/watch?v=G6pN8BFQYDI,dance_0001_valencia-asl_68032.mp4,skipped_no_ytdlp
2,70152,northtexas,121,0,train,25,7250,7361,77,26,492,480,https://www.youtube.com/watch?v=VwejDy96MzM,dance_0002_northtexas_70152.mp4,skipped_no_ytdlp
3,68988,lillybauer,115,0,train,25,1,56,349,0,911,720,https://www.youtube.com/watch?v=w6ZfGv4ns64,dance_0003_lillybauer_68988.mp4,skipped_no_ytdlp
4,69048,lillybauer,115,0,train,25,1,123,110,10,547,357,https://www.youtube.com/watch?v=y8Rm0Q7fDYk,dance_0004_lillybauer_69048.mp4,skipped_no_ytdlp
5,14626,handspeak,20,0,test,25,1,-1,28,0,541,480,https://www.handspeak.com/word/d/dance.mp4,dance_0005_handspeak_14626.mp4,failed
6,14627,signingsavvy,11,0,train,25,1,-1,71,16,220,192,https://www.signingsavvy.com/signs/mp4/6/6768.mp4,dance_0006_signingsavvy_14627.mp4,ok
7,14628,aslu,5,0,train,25,1,-1,275,30,957,720,https://www.youtube.com/watch?v=fbgiLOBY4P0,dance_0007_aslu_14628.mp4,skipped_no_ytdlp
8,14629,nabboud,51,0,train,25,1,-1,300,69,901,720,https://www.youtube.com/watch?v=g67ZXnEx9Z4,dance_0008_nabboud_14629.mp4,skipped_no_ytdlp
9,14630,aslu,5,0,train,25,1,-1,216,22,955,720,https://www.youtube.com/watch?v=GfUdx7LmGhc,dance_0009_aslu_14630.mp4,skipped_no_ytdlp
10,65434,aslsignbank,102,0,train,25,1,-1,137,14,498,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DA/DANCE-1207.mp4,dance_0010_aslsignbank_65434.mp4,failed
11,67550,asllex,109,0,val,25,1,-1,79,9,387,360,https://youtu.be/vrAcHSfVt88,dance_0011_asllex_67550.mp4,skipped_no_ytdlp
12,14631,aslu,5,0,train,25,1,-1,293,55,915,720,https://www.youtube.com/watch?v=p3UKhedGeTA,dance_0012_aslu_14631.mp4,skipped_no_ytdlp
13,14632,aslpro,54,0,val,25,1,-1,0,1,228,240,http://www.aslpro.com/main/d/dance.swf,dance_0013_aslpro_14632.mp4,skipped_swf
14,14633,aslsearch,12,0,train,25,1,-1,182,61,554,400,http://www.aslsearch.com/signs/videos/dance.mp4,dance_0014_aslsearch_14633.mp4,ok
15,14622,spreadthesign,2,0,train,25,1,-1,54,19,223,240,https://media.spreadthesign.com/video/mp4/13/93915.mp4,dance_0015_spreadthesign_14622.mp4,ok
16,14623,startasl,38,0,train,25,1,-1,333,54,820,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/dance.mp4,dance_0016_startasl_14623.mp4,ok
17,14624,signschool,6,0,train,25,1,-1,608,74,1589,1078,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Dance-LOxTQ06JyCQ.mp4,dance_0017_signschool_14624.mp4,ok
18,14625,asldeafined,59,0,train,25,1,-1,66,27,510,480,https://media.asldeafined.com/vocabulary/1466906258.9856.mp4,dance_0018_asldeafined_14625.mp4,ok
