instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,15031,asl5200,9,0,test,25,678,737,0,0,360,240,https://www.youtube.com/watch?v=ChIupJBcxjs,decide_0000_asl5200_15031.mp4,skipped_no_ytdlp
1,70119,northtexas,121,0,test,25,4053,4158,166,12,502,480,https://www.youtube.com/watch?v=lvqGMGFmuV4,decide_0001_northtexas_70119.mp4,skipped_no_ytdlp
2,15034,signschool,32,0,train,25,1,-1,678,71,1667,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Decide%2C%20Definitely-a6H-G5Vhz6w.mp4,decide_0002_signschool_15034.mp4,ok
3,15035,asldeafined,59,0,train,25,1,-1,124,18,613,480,https://media.asldeafined.com/vocabulary/1466909021.4675.mp4,decide_0003_asldeafined_15035.mp4,ok
4,15036,handspeak,20,0,train,25,1,-1,28,1,566,480,https://www.handspeak.com/word/d/decide.mp4,decide_0004_handspeak_15036.mp4,failed
5,15037,signingsavvy,10,0,val,25,1,-1,71,17,209,192,https://www.signingsavvy.com/signs/mp4/23/23917.mp4,decide_0005_signingsavvy_15037.mp4,ok
6,15038,signingsavvy,11,0,train,25,1,-1,53,15,230,192,https://www.signingsavvy.com/signs/mp4/9/9203.mp4,decide_0006_signingsavvy_15038.mp4,ok
7,15039,aslu,5,0,train,25,1,-1,63,16,431,360,https://www.youtube.com/watch?v=hIj1mcPpVC4,decide_0007_aslu_15039.mp4,skipped_no_ytdlp
8,15040,aslu,5,0,val,25,1,-1,153,0,978,720,https://www.youtube.com/watch?v=hIj1mcPpVC4,decide_0008_aslu_15040.mp4,skipped_no_ytdlp
9,65449,aslsignbank,102,0,train,25,1,-1,154,16,494,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DE/DECIDE-1226.mp4,decide_0009_aslsignbank_65449.mp4,failed
10,65450,aslsignbank,102,0,train,25,1,-1,156,18,503,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DE/DECIDE-2280.mp4,decide_0010_aslsignbank_65450.mp4,failed
11,67555,asllex,109,0,train,25,1,-1,95,11,386,360,https://youtu.be/0F7ugTN-VX8,decide_0011_asllex_67555.mp4,skipped_no_ytdlp
12,67556,asllex,109,0,train,25,1,-1,87,20,374,360,https://youtu.be/AFkia1eR0_E,decide_0012_asllex_67556.mp4,skipped_no_ytdlp
13,15041,aslu,5,0,train,25,1,-1,100,3,499,360,https://www.youtube.com/watch?v=N0969RhLMp0,decide_0013_aslu_15041.mp4,skipped_no_ytdlp
14,15042,aslpro,16,0,train,25,1,-1,8,4,224,240,http://www.aslpro.com/main/d/decide.swf,decide_0014_aslpro_15042.mp4,skipped_swf
15,15043,aslsearch,41,0,val,25,1,-1,200,44,539,400,http://www.aslsearch.com/signs/videos/decide.mp4,decide_0015_aslsearch_15043.mp4,ok
16,15032,spreadthesign,78,0,train,25,1,-1,65,0,262,240,https://media.spreadthesign.com/video/mp4/13/399467.mp4,decide_0016_spreadthesign_15032.mp4,ok
17,15033,startasl,38,0,train,25,1,-1,428,57,815,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/decide.mp4,decide_0017_startasl_15033.mp4,ok
