instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,16437,asl5200,9,0,train,25,3216,3258,0,0,360,240,https://www.youtube.com/watch?v=ChIupJBcxjs,disappear_0000_asl5200_16437.mp4,skipped_no_ytdlp
1,70153,northtexas,121,0,train,25,1873,2011,163,21,573,480,https://www.youtube.com/watch?v=F5Wef1_PtLk,disappear_0001_northtexas_70153.mp4,skipped_no_ytdlp
2,16441,asldeafined,21,0,train,25,1,-1,89,13,561,480,https://media.asldeafined.com/vocabulary/1467770455.8647.mp4,disappear_0002_asldeafined_16441.mp4,ok
3,16442,handspeak,14,0,val,25,1,-1,73,20,249,240,https://www.handspeak.com/word/d/disappear.mp4,disappear_0003_handspeak_16442.mp4,failed
4,16443,signingsavvy,10,0,train,25,1,-1,95,23,226,192,https://www.signingsavvy.com/signs/mp4/22/22669.mp4,disappear_0004_signingsavvy_16443.mp4,ok
5,16444,signingsavvy,10,0,train,25,1,-1,84,22,226,192,https://www.signingsavvy.com/signs/mp4/22/22670.mp4,disappear_0005_signingsavvy_16444.mp4,ok
9,67574,asllex,109,0,train,25,1,-1,92,19,394,360,https://youtu.be/GLLXB6fPYZM,disappear_0009_asllex_67574.mp4,skipped_no_ytdlp
10,16447,aslu,5,0,train,25,1,-1,315,39,1056,720,https://www.youtube.com/watch?v=q9VxLF5shUw,disappear_0010_aslu_16447.mp4,skipped_no_ytdlp
11,16448,aslu,5,0,train,25,1,-1,309,42,1024,720,https://www.youtube.com/watch?v=wg3MSASSmCo,disappear_0011_aslu_16448.mp4,skipped_no_ytdlp
12,16449,aslpro,30,0,test,25,1,-1,3,14,225,240,http://www.aslpro.com/main/d/disappear.swf,disappear_0012_aslpro_16449.mp4,skipped_swf
13,16450,aslsearch,41,0,val,25,1,-1,241,48,503,400,http://www.aslsearch.com/signs/videos/disappear.mp4,disappear_0013_aslsearch_16450.mp4,ok
14,16438,spreadthesign,2,0,test,25,1,-1,80,37,238,240,https://media.spreadthesign.com/video/mp4/13/93305.mp4,disappear_0014_spreadthesign_16438.mp4,ok
15,16439,signschool,4,0,train,25,1,-1,646,35,1684,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Disappear%20copy--EkRJFWJsdU.mp4,disappear_0015_signschool_16439.mp4,ok
16,16440,signschool,31,0,train,25,1,-1,679,64,1444,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Disappear-svFQKWjXxL0.mp4,disappear_0016_signschool_16440.mp4,ok
