instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,17076,asl5200,9,0,train,25,3933,3995,0,0,360,240,https://www.youtube.com/watch?v=ChIupJBcxjs,dog_0000_asl5200_17076.mp4,skipped_no_ytdlp
1,69298,aslbrick,118,0,train,25,1,-1,356,40,877,720,http://aslbricks.org/New/ASL-Videos/dog.mp4,dog_0001_aslbrick_69298.mp4,ok
2,68632,lillybauer,113,0,train,25,1,67,107,8,521,358,https://www.youtube.com/watch?v=kMcaG9BjXXg,dog_0002_lillybauer_68632.mp4,skipped_no_ytdlp
3,68035,valencia-asl,109,0,val,25,1,-1,116,0,1102,720,https://www.youtube.com/watch?v=_wQEymilNt4,dog_0003_valencia-asl_68035.mp4,skipped_no_ytdlp
4,17097,aslsearch,12,1,test,25,1,-1,133,62,585,400,http://www.aslsearch.com/signs/videos/dog.mp4,dog_0004_aslsearch_17097.mp4,ok
5,17084,spreadthesign,8,1,train,25,1,-1,53,0,229,240,https://media.spreadthesign.com/video/mp4/13/456752.mp4,dog_0005_spreadthesign_17084.mp4,ok
6,17085,startasl,36,0,train,25,1,-1,225,18,521,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/dog-2.mp4,dog_0006_startasl_17085.mp4,ok
7,17086,startasl,38,1,train,25,1,-1,417,61,834,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/dog.mp4,dog_0007_startasl_17086.mp4,ok
8,17087,asldeafined,21,0,train,25,1,-1,101,15,546,480,https://media.asldeafined.com/vocabulary/1467772624.2233.mp4,dog_0008_asldeafined_17087.mp4,ok
9,17088,handspeak,20,0,train,25,1,-1,74,0,572,480,https://www.handspeak.com/word/d/dog-fs.mp4,dog_0009_handspeak_17088.mp4,failed
11,17090,signingsavvy,10,1,train,25,1,-1,91,22,203,192,https://www.signingsavvy.com/signs/mp4/24/24220.mp4,dog_0011_signingsavvy_17090.mp4,ok
12,17091,signingsavvy,11,0,train,25,1,-1,105,20,213,192,https://www.signingsavvy.com/signs/mp4/6/6597.mp4,dog_0012_signingsavvy_17091.mp4,ok
13,17092,nabboud,67,0,train,25,1,-1,285,55,914,720,https://www.youtube.com/watch?v=catBjk1p2bk,dog_0013_nabboud_17092.mp4,skipped_no_ytdlp
15,65506,aslsignbank,102,0,test,25,1,-1,175,16,496,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DO/DOG-376.mp4,dog_0015_aslsignbank_65506.mp4,failed
16,65507,aslsignbank,99,1,train,25,1,-1,146,18,475,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DO/DOG-441.mp4,dog_0016_aslsignbank_65507.mp4,failed
17,17083,spreadthesign,8,0,val,25,1,-1,53,0,233,240,https://media.spreadthesign.com/video/mp4/13/456751.mp4,dog_0017_spreadthesign_17083.mp4,ok
18,67578,asllex,109,0,test,25,1,-1,133,14,375,360,https://youtu.be/-9AsKTaXwH8,dog_0018_asllex_67578.mp4,skipped_no_ytdlp
19,17093,aslu,5,0,train,25,1,-1,368,47,930,719,https://www.youtube.com/watch?v=IbpJtH_QssM,dog_0019_aslu_17093.mp4,skipped_no_ytdlp
21,17095,aslu,5,0,train,25,1,-1,363,52,936,720,https://www.youtube.com/watch?v=V5I4eIMatII,dog_0021_aslu_17095.mp4,skipped_no_ytdlp
22,17096,aslpro,72,1,val,25,1,-1,57,5,278,240,http://www.aslpro.com/main/d/dog.swf,dog_0022_aslpro_17096.mp4,skipped_swf
