instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,17317,asl5200,9,0,test,25,4113,4189,0,0,360,240,https://www.youtube.com/watch?v=ChIupJBcxjs,door_0000_asl5200_17317.mp4,skipped_no_ytdlp
1,70264,northtexas,121,0,test,25,3255,3372,152,39,402,360,https://www.youtube.com/watch?v=WGfiiDgrq1I,door_0001_northtexas_70264.mp4,skipped_no_ytdlp
2,68038,valencia-asl,110,0,train,25,1,-1,257,0,662,480,https://www.youtube.com/watch?v=Y24sRF_8lFU,door_0002_valencia-asl_68038.mp4,skipped_no_ytdlp
3,17327,asldeafined,21,0,train,25,1,-1,108,11,587,480,https://media.asldeafined.com/vocabulary/1467773171.4474.mp4,door_0003_asldeafined_17327.mp4,ok
5,17329,handspeak,20,0,val,25,1,-1,69,2,519,480,https://www.handspeak.com/word/d/door.mp4,door_0005_handspeak_17329.mp4,failed
6,17330,signingsavvy,11,0,val,25,1,-1,54,10,215,192,https://www.signingsavvy.com/signs/mp4/9/9542.mp4,door_0006_signingsavvy_17330.mp4,ok
7,17331,aslu,64,0,train,25,1,-1,118,38,430,345,https://www.youtube.com/watch?v=ajNNZaXf45Q,door_0007_aslu_17331.mp4,skipped_no_ytdlp
8,17332,aslu,5,0,train,25,1,-1,326,22,996,720,https://www.youtube.com/watch?v=ajNNZaXf45Q,door_0008_aslu_17332.mp4,skipped_no_ytdlp
9,17333,nabboud,65,0,train,25,1,-1,390,66,917,720,https://www.youtube.com/watch?v=WCGDN5CniTY,door_0009_nabboud_17333.mp4,skipped_no_ytdlp
10,65520,aslsignbank,94,0,train,25,1,-1,176,16,474,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DO/DOOR-116.mp4,door_0010_aslsignbank_65520.mp4,failed
12,17324,spreadthesign,0,0,val,25,1,-1,45,0,256,240,https://media.spreadthesign.com/video/mp4/13/58457.mp4,door_0012_spreadthesign_17324.mp4,ok
13,67583,asllex,109,0,train,25,1,-1,110,21,399,360,https://youtu.be/_tGFUbZjhKs,door_0013_asllex_67583.mp4,skipped_no_ytdlp
14,17334,aslu,5,0,train,25,1,-1,350,29,969,720,https://www.youtube.com/watch?v=xzIU5tmBrLc,door_0014_aslu_17334.mp4,skipped_no_ytdlp
15,17335,aslpro,30,0,train,25,1,-1,0,16,238,240,http://www.aslpro.com/main/d/door.swf,door_0015_aslpro_17335.mp4,skipped_swf
16,17336,aslsearch,41,0,train,25,1,-1,234,43,497,400,http://www.aslsearch.com/signs/videos/door.mp4,door_0016_aslsearch_17336.mp4,ok
17,17325,startasl,38,0,train,25,1,-1,346,55,806,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/door.mp4,door_0017_startasl_17325.mp4,ok
18,17326,signschool,6,0,train,25,1,-1,607,82,1527,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Door-go43NtANc7U.mp4,door_0018_signschool_17326.mp4,ok
