instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,69302,aslbrick,115,0,val,25,1,-1,551,68,1350,1080,http://aslbricks.org/New/ASL-Videos/drink.mp4,drink_0000_aslbrick_69302.mp4,ok
1,65539,aslsignbank,94,0,train,25,1,-1,153,11,488,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DR/DRINK-119.mp4,drink_0001_aslsignbank_65539.mp4,failed
2,70173,northtexas,121,0,val,25,5710,5831,142,20,501,480,https://www.youtube.com/watch?v=F5Wef1_PtLk,drink_0002_northtexas_70173.mp4,skipped_no_ytdlp
3,68538,lillybauer,113,0,val,25,1,71,112,13,529,356,https://www.youtube.com/watch?v=HZMTQJdBZ9g,drink_0003_lillybauer_68538.mp4,skipped_no_ytdlp
4,68042,valencia-asl,109,0,val,25,1,-1,110,0,1160,720,https://www.youtube.com/watch?v=KRc_WYI1DgA,drink_0004_valencia-asl_68042.mp4,skipped_no_ytdlp
5,68660,lillybauer,115,0,train,25,1,54,312,19,908,720,https://www.youtube.com/watch?v=Lk2Vws8homw,drink_0005_lillybauer_68660.mp4,skipped_no_ytdlp
6,68041,valencia-asl,109,0,train,25,1,-1,116,0,1166,720,https://www.youtube.com/watch?v=Nc7rSopCpI8,drink_0006_valencia-asl_68041.mp4,skipped_no_ytdlp
7,17725,aslu,5,0,train,25,1,-1,300,63,882,720,https://www.youtube.com/watch?v=537MWOtCl78,drink_0007_aslu_17725.mp4,skipped_no_ytdlp
8,17726,aslu,5,0,train,25,1,-1,318,29,951,720,https://www.youtube.com/watch?v=6gU3Ln98sWA,drink_0008_aslu_17726.mp4,skipped_no_ytdlp
9,17727,nabboud,65,0,train,25,1,-1,232,55,838,720,https://www.youtube.com/watch?v=Ddd2ZZNFhVI,drink_0009_nabboud_17727.mp4,skipped_no_ytdlp
10,17728,aslu,5,0,train,25,1,-1,337,0,994,720,https://www.youtube.com/watch?v=g3rl9_LYqzI,drink_0010_aslu_17728.mp4,skipped_no_ytdlp
11,17710,startasl,36,0,train,25,1,-1,196,15,521,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/drink.mp4,drink_0011_startasl_17710.mp4,ok
12,17729,aslu,5,0,train,25,1,-1,350,0,999,720,https://www.youtube.com/watch?v=i0opsQ2zB1Q,drink_0012_aslu_17729.mp4,skipped_no_ytdlp
13,17730,aslu,5,0,test,25,1,-1,334,0,997,720,https://www.youtube.com/watch?v=k6cNmM9WgUs,drink_0013_aslu_17730.mp4,skipped_no_ytdlp
14,17731,aslu,5,0,train,25,1,-1,348,43,933,720,https://www.youtube.com/watch?v=LqJM7wcUixQ,drink_0014_aslu_17731.mp4,skipped_no_ytdlp
15,17732,aslpro,44,0,train,25,1,-1,0,4,206,240,http://www.aslpro.com/main/d/drink.swf,drink_0015_aslpro_17732.mp4,skipped_swf
16,17733,aslsearch,12,0,train,25,1,-1,186,63,551,400,http://www.aslsearch.com/signs/videos/drink-alcohol.mp4,drink_0016_aslsearch_17733.mp4,ok
17,65540,aslsignbank,94,0,train,25,1,-1,167,19,480,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DR/DRINK-120.mp4,drink_0017_aslsignbank_65540.mp4,failed
18,17734,aslsearch,12,0,val,25,1,-1,183,55,552,400,http://www.aslsearch.com/signs/videos/drink.mp4,drink_0018_aslsearch_17734.mp4,ok
19,17711,signschool,52,0,train,25,1,-1,289,9,783,480,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Drink%20(correct)-0UzEF7ru0sQ.mp4,drink_0019_signschool_17711.mp4,ok
20,17712,signschool,6,0,train,25,1,-1,673,90,1571,1072,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Drink-L6hHRIQzWBo.mp4,drink_0020_signschool_17712.mp4,ok
21,17713,asldeafined,21,0,test,25,1,-1,28,0,542,480,https://media.asldeafined.com/vocabulary/1467773819.9825.mp4,drink_0021_asldeafined_17713.mp4,ok
22,17714,handspeak,20,0,train,25,1,-1,53,9,579,480,https://www.handspeak.com/word/d/drink2.mp4,drink_0022_handspeak_17714.mp4,failed
23,17715,handspeak,14,0,train,25,1,-1,57,0,586,480,https://www.handspeak.com/word/d/drink-alcohol.mp4,drink_0023_handspeak_17715.mp4,failed
24,17716,handspeak,20,0,test,25,1,-1,113,0,493,360,https://www.handspeak.com/word/d/drink-british.mp4,drink_0024_handspeak_17716.mp4,failed
25,17717,handspeak,14,0,train,25,1,-1,112,0,509,360,https://www.handspeak.com/word/d/drink.mp4,drink_0025_handspeak_17717.mp4,failed
26,17718,handspeak,20,0,test,25,1,-1,84,0,506,360,https://www.handspeak.com/word/d/drink-mug.mp4,drink_0026_handspeak_17718.mp4,failed
27,17709,spreadthesign,2,0,train,25,1,-1,41,9,257,240,https://media.spreadthesign.com/video/mp4/13/153289.mp4,drink_0027_spreadthesign_17709.mp4,ok
28,67594,asllex,109,0,train,25,1,-1,98,13,372,360,https://youtu.be/yawcLQIhQiE,drink_0028_asllex_67594.mp4,skipped_no_ytdlp
29,17719,handspeak,14,0,train,25,1,-1,124,0,542,360,https://www.handspeak.com/word/d/drink-plu.mp4,drink_0029_handspeak_17719.mp4,failed
30,17720,signingsavvy,11,0,train,25,1,-1,49,3,220,192,https://www.signingsavvy.com/signs/mp4/14/14885.mp4,drink_0030_signingsavvy_17720.mp4,ok
31,17721,signingsavvy,10,0,train,25,1,-1,66,19,209,192,https://www.signingsavvy.com/signs/mp4/23/23388.mp4,drink_0031_signingsavvy_17721.mp4,ok
32,17722,signingsavvy,10,0,train,25,1,-1,66,19,209,192,https://www.signingsavvy.com/signs/mp4/23/23388.mp4,drink_0032_signingsavvy_17722.mp4,ok
33,17723,signingsavvy,10,0,train,25,1,-1,65,20,208,192,https://www.signingsavvy.com/signs/mp4/23/23389.mp4,drink_0033_signingsavvy_17723.mp4,ok
34,17724,signingsavvy,11,0,val,25,1,-1,68,18,220,192,https://www.signingsavvy.com/signs/mp4/7/7796.mp4,drink_0034_signingsavvy_17724.mp4,ok
