instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,18521,asl5200,9,0,train,25,809,858,0,0,360,240,https://www.youtube.com/watch?v=2oaCeSdHG-A,egypt_0000_asl5200_18521.mp4,skipped_no_ytdlp
2,18528,signingsavvy,11,0,train,25,1,-1,73,1,218,192,https://www.signingsavvy.com/signs/mp4/5/5756.mp4,egypt_0002_signingsavvy_18528.mp4,ok
3,18529,aslu,5,0,train,25,1,-1,261,40,954,720,https://www.youtube.com/watch?v=itbCm4U_kg4,egypt_0003_aslu_18529.mp4,skipped_no_ytdlp
4,18530,aslu,5,0,val,25,1,-1,235,29,962,720,https://www.youtube.com/watch?v=Ki43Mv6uptI,egypt_0004_aslu_18530.mp4,skipped_no_ytdlp
5,65609,aslsignbank,95,0,train,25,1,-1,157,8,472,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/EG/EGYPT-2580.mp4,egypt_0005_aslsignbank_65609.mp4,failed
6,67614,asllex,109,0,train,25,1,-1,94,21,382,360,https://youtu.be/ofSGyCpfgWA,egypt_0006_asllex_67614.mp4,skipped_no_ytdlp
7,18531,aslpro,72,0,train,25,1,-1,32,5,226,240,http://www.aslpro.com/main/e/egypt.swf,egypt_0007_aslpro_18531.mp4,skipped_swf
8,18532,aslsearch,12,0,train,25,1,-1,175,53,555,400,http://www.aslsearch.com/signs/videos/egypt.mp4,egypt_0008_aslsearch_18532.mp4,ok
9,18522,spreadthesign,37,0,val,25,1,-1,42,0,252,240,https://media.spreadthesign.com/video/mp4/13/455305.mp4,egypt_0009_spreadthesign_18522.mp4,ok
10,18523,startasl,38,0,test,25,1,-1,351,50,832,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/egypt.mp4,egypt_0010_startasl_18523.mp4,ok
11,18524,signschool,45,0,test,25,1,-1,460,134,1367,1063,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Egypt%202-YnvuDZ2eDdo.mp4,egypt_0011_signschool_18524.mp4,ok
13,18526,asldeafined,21,0,train,25,1,-1,83,6,558,480,https://media.asldeafined.com/vocabulary/1468348353.5153.mp4,egypt_0013_asldeafined_18526.mp4,ok
