instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,20137,asl5200,9,0,train,25,3023,3079,0,0,360,240,https://www.youtube.com/watch?v=2oaCeSdHG-A,exchange_0000_asl5200_20137.mp4,skipped_no_ytdlp
1,20144,handspeak,20,0,train,25,1,-1,24,0,575,480,https://www.handspeak.com/word/e/exchange.mp4,exchange_0001_handspeak_20144.mp4,failed
2,20145,signingsavvy,11,0,train,25,1,-1,53,10,216,192,https://www.signingsavvy.com/signs/mp4/14/14028.mp4,exchange_0002_signingsavvy_20145.mp4,ok
3,20146,signingsavvy,11,0,val,25,1,-1,59,11,215,192,https://www.signingsavvy.com/signs/mp4/8/8890.mp4,exchange_0003_signingsavvy_20146.mp4,ok
4,20147,signingsavvy,11,0,train,25,1,-1,52,8,224,192,https://www.signingsavvy.com/signs/mp4/8/8891.mp4,exchange_0004_signingsavvy_20147.mp4,ok
5,20148,aslpro,24,0,train,25,1,-1,13,5,215,240,http://www.aslpro.com/main/e/exchange.swf,exchange_0005_aslpro_20148.mp4,skipped_swf
6,20149,aslsearch,41,0,train,25,1,-1,213,49,508,400,http://www.aslsearch.com/signs/videos/exchange.mp4,exchange_0006_aslsearch_20149.mp4,ok
8,20139,spreadthesign,8,0,val,25,1,-1,24,0,296,240,https://media.spreadthesign.com/video/mp4/13/455576.mp4,exchange_0008_spreadthesign_20139.mp4,ok
10,20141,signschool,4,0,test,25,1,-1,643,59,1743,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Trade%2C%20Exchange%202-Rdy6C3yWU9g.mp4,exchange_0010_signschool_20141.mp4,ok
11,20142,signschool,4,0,test,25,1,-1,690,89,1709,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Trade%2C%20Exchange-mrIg6AlheOY.mp4,exchange_0011_signschool_20142.mp4,ok
12,20143,asldeafined,21,0,train,25,1,-1,35,13,603,480,https://media.asldeafined.com/vocabulary/1468378472.7557.mp4,exchange_0012_asldeafined_20143.mp4,ok
