instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,20976,asl5200,9,0,test,25,334,373,0,0,360,240,https://www.youtube.com/watch?v=lWaQxL25Aew,family_0000_asl5200_20976.mp4,skipped_no_ytdlp
1,69316,aslbrick,116,0,val,25,1,-1,334,15,960,720,http://aslbricks.org/New/ASL-Videos/family.mp4,family_0001_aslbrick_69316.mp4,ok
2,69016,lillybauer,112,0,train,25,1,52,309,17,879,720,https://www.youtube.com/watch?v=x3GJ5mFOpNA,family_0002_lillybauer_69016.mp4,skipped_no_ytdlp
3,20980,startasl,36,0,train,25,1,-1,218,18,529,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/family.mp4,family_0003_startasl_20980.mp4,ok
4,20981,signschool,52,0,train,25,1,-1,307,9,790,480,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Family-jPtV6Y2sUO4.mp4,family_0004_signschool_20981.mp4,ok
5,20982,signschool,6,0,train,25,1,-1,688,43,1555,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Family-JV4BqtKxwOY.mp4,family_0005_signschool_20982.mp4,ok
6,20983,asldeafined,21,0,train,25,1,-1,60,0,557,480,https://media.asldeafined.com/vocabulary/1467858228.7191.mp4,family_0006_asldeafined_20983.mp4,ok
7,20984,handspeak,20,0,train,25,1,-1,50,0,546,480,https://www.handspeak.com/word/f/family-isl.mp4,family_0007_handspeak_20984.mp4,failed
8,20985,handspeak,20,0,train,25,1,-1,66,0,561,480,https://www.handspeak.com/word/f/family.mp4,family_0008_handspeak_20985.mp4,failed
9,20986,signingsavvy,11,0,train,25,1,-1,84,12,218,192,https://www.signingsavvy.com/signs/mp4/14/14462.mp4,family_0009_signingsavvy_20986.mp4,ok
10,20987,signingsavvy,11,0,train,25,1,-1,79,13,210,192,https://www.signingsavvy.com/signs/mp4/6/6375.mp4,family_0010_signingsavvy_20987.mp4,ok
11,65677,aslsignbank,98,0,train,25,1,-1,167,31,467,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/FA/FAMILY-1379.mp4,family_0011_aslsignbank_65677.mp4,failed
12,20978,elementalasl,19,0,train,25,1,-1,63,7,227,180,https://elementalaslconcepts.weebly.com/uploads/2/4/4/5/24454483/family.mov,family_0012_elementalasl_20978.mp4,ok
13,67642,asllex,109,0,val,25,1,-1,100,23,395,360,https://youtu.be/Yuif86dOrEY,family_0013_asllex_67642.mp4,skipped_no_ytdlp
14,20988,aslu,5,0,train,25,1,-1,317,47,961,720,https://www.youtube.com/watch?v=cEuA1gLPbIY,family_0014_aslu_20988.mp4,skipped_no_ytdlp
15,20989,aslu,5,0,val,25,1,-1,368,35,977,720,https://www.youtube.com/watch?v=SxrxUgeTt00,family_0015_aslu_20989.mp4,skipped_no_ytdlp
16,20990,aslu,5,0,train,25,1,-1,320,43,1002,720,https://www.youtube.com/watch?v=wtURQzK00eo,family_0016_aslu_20990.mp4,skipped_no_ytdlp
17,20991,aslpro,44,0,test,25,1,-1,4,5,220,240,http://www.aslpro.com/main/f/family.swf,family_0017_aslpro_20991.mp4,skipped_swf
18,20992,aslsearch,41,0,train,25,1,-1,217,35,489,400,http://www.aslsearch.com/signs/videos/family.mp4,family_0018_aslsearch_20992.mp4,ok
19,20979,spreadthesign,37,0,train,25,1,-1,69,0,259,240,https://media.spreadthesign.com/video/mp4/13/455625.mp4,family_0019_spreadthesign_20979.mp4,ok
