instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,65689,aslsignbank,94,0,val,25,1,-1,156,17,505,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/FA/FAST-130.mp4,fast_0000_aslsignbank_65689.mp4,failed
2,21184,scott,82,0,train,25,1,-1,271,7,899,720,https://www.youtube.com/watch?v=fyhGiyOIsRY,fast_0002_scott_21184.mp4,skipped_no_ytdlp
4,21186,aslpro,83,0,train,25,1,-1,0,16,224,240,http://www.aslpro.com/main/f/fast.swf,fast_0004_aslpro_21186.mp4,skipped_swf
5,21168,startasl,38,0,train,25,1,-1,404,55,804,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/fast.mp4,fast_0005_startasl_21168.mp4,ok
6,21187,aslsearch,41,0,train,25,1,-1,221,34,482,400,http://www.aslsearch.com/signs/videos/fast.mp4,fast_0006_aslsearch_21187.mp4,ok
7,21169,signschool,4,0,train,25,1,-1,469,63,1895,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Fast%203-kBA38nM7l1Q.mp4,fast_0007_signschool_21169.mp4,ok
10,21172,signschool,4,0,train,25,1,-1,686,91,1588,1069,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Fast%205-vBHU0GSIgMs.mp4,fast_0010_signschool_21172.mp4,ok
11,65690,aslsignbank,98,0,train,25,1,-1,174,27,464,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/FA/FAST-1388.mp4,fast_0011_aslsignbank_65690.mp4,failed
14,21175,asldeafined,21,0,train,25,1,-1,97,13,554,480,https://media.asldeafined.com/vocabulary/1468463446.2434.mp4,fast_0014_asldeafined_21175.mp4,ok
16,65691,aslsignbank,92,0,test,25,1,-1,157,22,449,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/FA/FAST-1991.mp4,fast_0016_aslsignbank_65691.mp4,failed
18,67645,asllex,109,0,train,25,1,-1,101,17,388,360,https://youtu.be/rwLDhYyRlts,fast_0018_asllex_67645.mp4,skipped_no_ytdlp
19,21177,handspeak,20,0,test,25,1,-1,127,20,493,360,https://www.handspeak.com/word/f/fast-quick.mp4,fast_0019_handspeak_21177.mp4,failed
23,21182,signingsavvy,11,0,val,25,1,-1,70,16,212,192,https://www.signingsavvy.com/signs/mp4/8/8564.mp4,fast_0023_signingsavvy_21182.mp4,ok
