instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,65717,aslsignbank,94,0,test,25,1,-1,160,15,471,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/FI/FINE-455.mp4,fine_0000_aslsignbank_65717.mp4,failed
1,70234,northtexas,121,0,test,25,4638,4746,163,42,390,360,https://www.youtube.com/watch?v=4Nh1iFv2BMc,fine_0001_northtexas_70234.mp4,skipped_no_ytdlp
2,68048,valencia-asl,109,0,train,25,1,-1,338,30,991,720,https://www.youtube.com/watch?v=Yey5VEZE-_g,fine_0002_valencia-asl_68048.mp4,skipped_no_ytdlp
3,21885,aslu,64,0,train,25,1,-1,149,39,415,341,https://www.youtube.com/watch?v=IuBUE7SH1Wk,fine_0003_aslu_21885.mp4,skipped_no_ytdlp
4,21886,aslu,5,0,val,25,1,-1,317,43,919,720,https://www.youtube.com/watch?v=OHHKerxHJjQ,fine_0004_aslu_21886.mp4,skipped_no_ytdlp
5,21887,aslu,5,0,val,25,1,-1,333,39,959,720,https://www.youtube.com/watch?v=YSTnrscx1UY,fine_0005_aslu_21887.mp4,skipped_no_ytdlp
6,21888,aslpro,83,0,train,25,1,-1,12,20,207,240,http://www.aslpro.com/main/f/fine.swf,fine_0006_aslpro_21888.mp4,skipped_swf
7,21870,startasl,38,0,train,25,1,-1,414,53,804,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/fine2.mp4,fine_0007_startasl_21870.mp4,ok
8,21889,aslpro,24,1,train,25,1,-1,33,6,245,240,http://www.aslpro.com//main/f/fine_ticket.swf,fine_0008_aslpro_21889.mp4,skipped_swf
9,21890,aslsearch,12,1,test,25,1,-1,166,54,515,400,http://www.aslsearch.com/signs/videos/cost.mp4,fine_0009_aslsearch_21890.mp4,ok
10,21891,aslsearch,41,0,train,25,1,-1,236,35,486,400,http://www.aslsearch.com/signs/videos/fine.mp4,fine_0010_aslsearch_21891.mp4,ok
11,21871,startasl,36,0,train,25,1,-1,206,15,518,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/fine.mp4,fine_0011_startasl_21871.mp4,ok
12,21872,signschool,52,0,val,25,1,-1,344,10,770,480,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20fine5-4SzwErJNYTc.mp4,fine_0012_signschool_21872.mp4,ok
13,21869,spreadthesign,2,0,train,25,1,-1,67,10,236,240,https://media.spreadthesign.com/video/mp4/13/92669.mp4,fine_0013_spreadthesign_21869.mp4,ok
15,21874,asldeafined,21,1,val,25,1,-1,57,6,600,480,https://media.asldeafined.com/vocabulary/1468494312.7752.mp4,fine_0015_asldeafined_21874.mp4,ok
16,21875,handspeak,20,1,train,25,1,-1,7,0,532,480,https://www.handspeak.com/word/f/fine-charge.mp4,fine_0016_handspeak_21875.mp4,failed
17,21876,handspeak,20,0,train,25,1,-1,64,0,586,480,https://www.handspeak.com/word/f/fine-good2.mp4,fine_0017_handspeak_21876.mp4,failed
19,21878,signingsavvy,11,0,train,25,1,-1,69,14,214,192,https://www.signingsavvy.com/signs/mp4/14/14347.mp4,fine_0019_signingsavvy_21878.mp4,ok
20,67660,asllex,109,0,train,25,1,-1,100,25,378,360,https://youtu.be/2RLybfKx4Js,fine_0020_asllex_67660.mp4,skipped_no_ytdlp
21,67659,asllex,109,0,train,25,1,-1,94,19,364,360,https://youtu.be/lTp1ICCGCxA,fine_0021_asllex_67659.mp4,skipped_no_ytdlp
26,21883,signingsavvy,11,1,train,25,1,-1,72,15,216,192,https://www.signingsavvy.com/signs/mp4/6/6355.mp4,fine_0026_signingsavvy_21883.mp4,ok
27,21884,aslu,5,0,train,25,1,-1,372,50,959,720,https://www.youtube.com/watch?v=atyYSgDudAU,fine_0027_aslu_21884.mp4,skipped_no_ytdlp
