instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,22109,asl5200,9,0,test,25,1525,1574,0,0,360,240,https://www.youtube.com/watch?v=lWaQxL25Aew,fish_0000_asl5200_22109.mp4,skipped_no_ytdlp
1,69325,aslbrick,116,0,train,25,1,-1,311,0,1071,720,http://aslbricks.org/New/ASL-Videos/fish.mp4,fish_0001_aslbrick_69325.mp4,ok
4,22129,aslpro,83,1,train,25,1,-1,3,16,230,240,http://www.aslpro.com/main/f/fish.swf,fish_0004_aslpro_22129.mp4,skipped_swf
5,22130,aslsearch,12,0,train,25,1,-1,166,52,551,400,http://www.aslsearch.com/signs/videos/fish.mp4,fish_0005_aslsearch_22130.mp4,ok
6,22114,spreadthesign,0,0,val,25,1,-1,55,13,265,240,https://media.spreadthesign.com/video/mp4/13/74988.mp4,fish_0006_spreadthesign_22114.mp4,ok
7,22115,startasl,38,1,train,25,1,-1,403,57,843,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/fish.mp4,fish_0007_startasl_22115.mp4,ok
8,22116,signschool,32,0,train,25,1,-1,710,70,1594,1070,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Fish-_GVODUZLS70.mp4,fish_0008_signschool_22116.mp4,ok
9,22117,asldeafined,21,0,test,25,1,-1,36,9,540,480,https://media.asldeafined.com/vocabulary/1468494686.303.mp4,fish_0009_asldeafined_22117.mp4,ok
10,22118,handspeak,20,1,train,25,1,-1,57,2,561,480,https://www.handspeak.com/word/f/fish2.mp4,fish_0010_handspeak_22118.mp4,failed
11,22119,handspeak,14,0,train,25,1,-1,116,0,464,360,https://www.handspeak.com/word/f/fish.mp4,fish_0011_handspeak_22119.mp4,failed
12,22120,signingsavvy,11,1,train,25,1,-1,73,14,221,192,https://www.signingsavvy.com/signs/mp4/6/6808.mp4,fish_0012_signingsavvy_22120.mp4,ok
13,22121,signingsavvy,11,0,train,25,1,-1,74,16,221,192,https://www.signingsavvy.com/signs/mp4/6/6809.mp4,fish_0013_signingsavvy_22121.mp4,ok
14,65731,aslsignbank,94,0,train,25,1,-1,160,18,467,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/FI/FISH-387.mp4,fish_0014_aslsignbank_65731.mp4,failed
16,22113,elementalasl,19,1,val,25,1,-1,98,12,236,180,https://elementalaslconcepts.weebly.com/uploads/2/4/4/5/24454483/fish.mov,fish_0016_elementalasl_22113.mp4,ok
17,67667,asllex,109,1,val,25,1,-1,109,19,386,360,https://youtu.be/61B8V3YHlqg,fish_0017_asllex_67667.mp4,skipped_no_ytdlp
19,22124,nabboud,67,0,train,25,1,-1,336,56,892,720,https://www.youtube.com/watch?v=22cYLTT67sc,fish_0019_nabboud_22124.mp4,skipped_no_ytdlp
20,22125,aslu,64,1,train,25,1,-1,127,39,405,346,https://www.youtube.com/watch?v=_41TQ39vHMA,fish_0020_aslu_22125.mp4,skipped_no_ytdlp
21,22126,aslu,5,1,test,25,1,-1,359,69,965,720,https://www.youtube.com/watch?v=IJyUcYJMpmU,fish_0021_aslu_22126.mp4,skipped_no_ytdlp
22,22127,aslu,5,1,train,25,1,-1,377,23,1017,720,https://www.youtube.com/watch?v=w1_BBOZWwPY,fish_0022_aslu_22127.mp4,skipped_no_ytdlp
23,22128,aslu,5,0,val,25,1,-1,378,19,1015,720,https://www.youtube.com/watch?v=xCQmc-1g9fM,fish_0023_aslu_22128.mp4,skipped_no_ytdlp
