instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,22131,asl5200,9,0,val,25,1575,1644,0,0,360,240,https://www.youtube.com/watch?v=lWaQxL25Aew,fishing_0000_asl5200_22131.mp4,skipped_no_ytdlp
1,22138,aslu,5,0,train,25,1,-1,304,51,943,720,https://www.youtube.com/watch?v=otyQtqkbQgA,fishing_0001_aslu_22138.mp4,skipped_no_ytdlp
2,22139,aslu,5,0,train,25,1,-1,304,51,943,720,https://www.youtube.com/watch?v=otyQtqkbQgA,fishing_0002_aslu_22139.mp4,skipped_no_ytdlp
3,22140,aslpro,44,0,train,25,1,-1,0,1,242,240,http://www.aslpro.com//main/f/fishing.swf,fishing_0003_aslpro_22140.mp4,skipped_swf
4,65732,aslsignbank,98,0,train,25,1,-1,137,28,480,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/FI/FISHING-1244.mp4,fishing_0004_aslsignbank_65732.mp4,failed
5,67668,asllex,109,0,train,25,1,-1,120,18,384,360,https://youtu.be/nYpQTK6r1ww,fishing_0005_asllex_67668.mp4,skipped_no_ytdlp
6,22141,aslsearch,12,0,train,25,1,-1,184,49,549,400,http://www.aslsearch.com/signs/videos/fishing.mp4,fishing_0006_aslsearch_22141.mp4,ok
7,22132,spreadthesign,2,0,train,25,1,-1,62,35,233,240,https://media.spreadthesign.com/video/mp4/13/93025.mp4,fishing_0007_spreadthesign_22132.mp4,ok
8,22133,startasl,38,0,train,25,1,-1,405,57,833,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/fishing.mp4,fishing_0008_startasl_22133.mp4,ok
9,22134,signschool,39,0,test,25,1,-1,728,132,1633,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Fishing-viSphadq9yk.mp4,fishing_0009_signschool_22134.mp4,ok
10,22135,asldeafined,21,0,train,25,1,-1,63,5,551,480,https://media.asldeafined.com/vocabulary/1468494728.4596.mp4,fishing_0010_asldeafined_22135.mp4,ok
11,22136,handspeak,14,0,test,25,1,-1,68,18,240,240,https://www.handspeak.com/word/f/fishing.mp4,fishing_0011_handspeak_22136.mp4,failed
12,22137,aslu,5,0,val,25,1,-1,346,51,948,720,https://www.youtube.com/watch?v=G8dbiuCvVTo,fishing_0012_aslu_22137.mp4,skipped_no_ytdlp
