instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,65792,aslsignbank,94,0,val,25,1,-1,124,14,452,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/FU/FULL-139.mp4,full_0000_aslsignbank_65792.mp4,failed
1,70029,northtexas,121,0,test,25,3367,3478,91,23,485,480,https://www.youtube.com/watch?v=sErq0TJMKEo,full_0001_northtexas_70029.mp4,skipped_no_ytdlp
2,23782,aslsearch,12,1,train,25,1,-1,182,52,545,400,http://www.aslsearch.com/signs/videos/full.mp4,full_0002_aslsearch_23782.mp4,ok
3,23771,asldeafined,21,0,train,25,1,-1,23,2,558,480,https://media.asldeafined.com/vocabulary/1468514615.3604.mp4,full_0003_asldeafined_23771.mp4,ok
4,23772,handspeak,20,0,train,25,1,-1,0,0,571,480,https://www.handspeak.com/word/f/full-eat.mp4,full_0004_handspeak_23772.mp4,failed
5,23773,handspeak,20,1,train,25,1,-1,65,0,517,480,https://www.handspeak.com/word/f/full.mp4,full_0005_handspeak_23773.mp4,failed
6,23774,signingsavvy,10,0,train,25,1,-1,70,18,219,192,https://www.signingsavvy.com/signs/mp4/23/23323.mp4,full_0006_signingsavvy_23774.mp4,ok
7,23775,signingsavvy,10,0,val,25,1,-1,77,18,219,192,https://www.signingsavvy.com/signs/mp4/23/23324.mp4,full_0007_signingsavvy_23775.mp4,ok
8,23766,spreadthesign,28,1,train,25,1,-1,37,0,283,240,https://media.spreadthesign.com/video/mp4/13/486573.mp4,full_0008_spreadthesign_23766.mp4,ok
9,23776,signingsavvy,11,1,val,25,1,-1,67,18,218,192,https://www.signingsavvy.com/signs/mp4/7/7838.mp4,full_0009_signingsavvy_23776.mp4,ok
10,23777,aslu,5,0,train,25,1,-1,219,30,967,720,https://www.youtube.com/watch?v=BOBKWrkwqUI,full_0010_aslu_23777.mp4,skipped_no_ytdlp
11,67697,asllex,109,1,train,25,1,-1,51,19,383,360,https://youtu.be/vMLkIHIe_fA,full_0011_asllex_67697.mp4,skipped_no_ytdlp
12,23778,aslu,5,1,val,25,1,-1,294,51,973,720,https://www.youtube.com/watch?v=OUY3FFvAjJ0,full_0012_aslu_23778.mp4,skipped_no_ytdlp
13,23779,aslu,5,1,train,25,1,-1,348,44,950,720,https://www.youtube.com/watch?v=U8mXqYD9S4Q,full_0013_aslu_23779.mp4,skipped_no_ytdlp
14,23780,aslpro,25,1,train,25,1,-1,0,6,239,240,http://www.aslpro.com/main/f/full.swf,full_0014_aslpro_23780.mp4,skipped_swf
15,23767,startasl,38,1,test,25,1,-1,242,46,836,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/full.mp4,full_0015_startasl_23767.mp4,ok
16,23768,signschool,31,1,train,25,1,-1,593,124,1663,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Full-0j0Nsjb8e-s.mp4,full_0016_signschool_23768.mp4,ok
17,23769,signschool,52,0,train,25,1,-1,277,3,798,480,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Full-K3DhCup57Cs.mp4,full_0017_signschool_23769.mp4,ok
