instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,24405,asl5200,9,0,val,25,527,569,0,0,360,240,https://www.youtube.com/watch?v=YdHKN_wHZqo,get_0000_asl5200_24405.mp4,skipped_no_ytdlp
1,69341,aslbrick,115,0,train,25,1,-1,382,39,943,720,http://aslbricks.org/New/ASL-Videos/get.mp4,get_0001_aslbrick_69341.mp4,ok
2,70055,northtexas,121,0,train,25,8975,9093,153,25,500,480,https://www.youtube.com/watch?v=sErq0TJMKEo,get_0002_northtexas_70055.mp4,skipped_no_ytdlp
3,24445,aslu,5,0,train,25,1,-1,363,24,929,720,https://www.youtube.com/watch?v=NGdL4eJFR14,get_0003_aslu_24445.mp4,skipped_no_ytdlp
5,24447,aslsearch,41,0,train,25,1,-1,221,41,480,400,http://www.aslsearch.com/signs/videos/get.mp4,get_0005_aslsearch_24447.mp4,ok
6,65808,aslsignbank,106,0,train,25,1,-1,153,37,470,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/GE/GET-464.mp4,get_0006_aslsignbank_65808.mp4,failed
7,24438,spreadthesign,56,0,train,25,1,-1,55,0,285,240,https://media.spreadthesign.com/video/mp4/13/50875.mp4,get_0007_spreadthesign_24438.mp4,ok
8,67707,asllex,109,0,train,25,1,-1,103,6,381,360,https://youtu.be/BkBJa8psZ-M,get_0008_asllex_67707.mp4,skipped_no_ytdlp
9,24439,signschool,6,0,train,25,1,-1,704,57,1531,1079,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Get%2C%20Receive-9lqMXL5k_Wk.mp4,get_0009_signschool_24439.mp4,ok
10,24440,asldeafined,21,0,test,25,1,-1,128,15,566,480,https://media.asldeafined.com/vocabulary/1468515653.4819.mp4,get_0010_asldeafined_24440.mp4,ok
11,24441,handspeak,20,0,train,25,1,-1,119,0,559,480,https://www.handspeak.com/word/g/get.mp4,get_0011_handspeak_24441.mp4,failed
13,24443,signingsavvy,11,0,test,25,1,-1,74,9,216,192,https://www.signingsavvy.com/signs/mp4/9/9983.mp4,get_0013_signingsavvy_24443.mp4,ok
14,24444,aslu,5,0,val,25,1,-1,390,49,944,720,https://www.youtube.com/watch?v=mZRz-Uyj2fo,get_0014_aslu_24444.mp4,skipped_no_ytdlp
