instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,69343,aslbrick,115,0,train,25,1,-1,132,45,949,720,http://aslbricks.org/New/ASL-Videos/give.mp4,give_0000_aslbrick_69343.mp4,ok
4,24655,aslu,5,1,train,25,1,-1,383,55,971,720,https://www.youtube.com/watch?v=PkJpgPxNhwE,give_0004_aslu_24655.mp4,skipped_no_ytdlp
6,24656,nabboud,81,0,train,25,1,-1,290,75,833,720,https://www.youtube.com/watch?v=qMgcmGOiNmw,give_0006_nabboud_24656.mp4,skipped_no_ytdlp
7,24657,aslu,5,0,train,25,1,-1,263,31,913,720,https://www.youtube.com/watch?v=U5p42-d-buw,give_0007_aslu_24657.mp4,skipped_no_ytdlp
8,24658,aslu,5,0,val,25,1,-1,404,54,941,720,https://www.youtube.com/watch?v=wEKZPaO7XTQ,give_0008_aslu_24658.mp4,skipped_no_ytdlp
9,24659,aslpro,16,1,train,25,1,-1,20,3,237,240,http://www.aslpro.com/main/g/give.swf,give_0009_aslpro_24659.mp4,skipped_swf
10,24660,aslsearch,12,1,train,25,1,-1,181,63,541,400,http://www.aslsearch.com/signs/videos/give.mp4,give_0010_aslsearch_24660.mp4,ok
11,24638,signschool,45,0,train,25,1,-1,677,133,1465,1062,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Give%20You%20Something%202-ysfVqxTJKcg.mp4,give_0011_signschool_24638.mp4,ok
13,24639,signschool,45,0,val,25,1,-1,612,134,1464,1066,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Give%20You%20Something--Ma0iHFZKv8.mp4,give_0013_signschool_24639.mp4,ok
14,24640,signschool,31,1,train,25,1,-1,627,96,1364,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Give-5M1xfBmmXpg.mp4,give_0014_signschool_24640.mp4,ok
15,24641,asldeafined,21,1,val,25,1,-1,79,8,572,480,https://media.asldeafined.com/vocabulary/1468549017.6848.mp4,give_0015_asldeafined_24641.mp4,ok
16,24642,handspeak,14,1,val,25,1,-1,61,18,244,240,https://www.handspeak.com/word/g/give2.mp4,give_0016_handspeak_24642.mp4,failed
17,24643,handspeak,14,0,train,25,1,-1,15,27,275,240,https://www.handspeak.com/word/g/give-hir-from-me.mp4,give_0017_handspeak_24643.mp4,failed
19,24645,handspeak,14,0,train,25,1,-1,58,17,253,240,https://www.handspeak.com/word/g/give-you.mp4,give_0019_handspeak_24645.mp4,failed
20,24636,spreadthesign,35,0,test,25,1,-1,31,0,272,240,https://media.spreadthesign.com/video/mp4/13/51920.mp4,give_0020_spreadthesign_24636.mp4,ok
23,24648,signingsavvy,11,1,train,25,1,-1,49,8,245,192,https://www.signingsavvy.com/signs/mp4/14/14622.mp4,give_0023_signingsavvy_24648.mp4,ok
24,24649,signingsavvy,10,1,test,25,1,-1,89,19,219,192,https://www.signingsavvy.com/signs/mp4/23/23273.mp4,give_0024_signingsavvy_24649.mp4,ok
26,24651,signingsavvy,11,1,train,25,1,-1,74,16,221,192,https://www.signingsavvy.com/signs/mp4/7/7424.mp4,give_0026_signingsavvy_24651.mp4,ok
27,24652,aslu,5,0,train,25,1,-1,110,38,978,720,https://www.youtube.com/watch?v=bjXPOO_DUMw,give_0027_aslu_24652.mp4,skipped_no_ytdlp
