instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,24909,asl5200,9,0,train,25,1014,1066,0,0,360,240,https://www.youtube.com/watch?v=YdHKN_wHZqo,god_0000_asl5200_24909.mp4,skipped_no_ytdlp
1,24921,aslpro,30,0,train,25,1,-1,27,3,208,240,http://www.aslpro.com/main/g/god.swf,god_0001_aslpro_24921.mp4,skipped_swf
2,24922,aslsearch,41,0,train,25,1,-1,207,39,507,400,http://www.aslsearch.com/signs/videos/god.mp4,god_0002_aslsearch_24922.mp4,ok
3,65832,aslsignbank,106,0,val,25,1,-1,130,31,475,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/GO/GOD-1871.mp4,god_0003_aslsignbank_65832.mp4,failed
4,24914,spreadthesign,2,0,train,25,1,-1,80,37,250,240,https://media.spreadthesign.com/video/mp4/13/93090.mp4,god_0004_spreadthesign_24914.mp4,ok
5,67716,asllex,109,0,train,25,1,-1,88,14,371,360,https://youtu.be/OicNRSMCAcM,god_0005_asllex_67716.mp4,skipped_no_ytdlp
6,24915,startasl,38,0,train,25,1,-1,424,53,833,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/god.mp4,god_0006_startasl_24915.mp4,ok
7,24916,signschool,4,0,train,25,1,-1,686,77,1674,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20God-p29SgV8IuY8.mp4,god_0007_signschool_24916.mp4,ok
8,24917,asldeafined,21,0,val,25,1,-1,69,12,546,480,https://media.asldeafined.com/vocabulary/1468549350.640.mp4,god_0008_asldeafined_24917.mp4,ok
9,24918,handspeak,20,0,test,25,1,-1,72,5,546,480,https://www.handspeak.com/word/g/god.mp4,god_0009_handspeak_24918.mp4,failed
10,24919,signingsavvy,11,0,test,25,1,-1,78,0,221,192,https://www.signingsavvy.com/signs/mp4/7/7225.mp4,god_0010_signingsavvy_24919.mp4,ok
11,24920,aslu,5,0,train,25,1,-1,285,8,959,720,https://www.youtube.com/watch?v=1nTH3wvLpY4,god_0011_aslu_24920.mp4,skipped_no_ytdlp
