instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,25318,asl5200,9,0,test,25,1520,1549,0,0,360,240,https://www.youtube.com/watch?v=YdHKN_wHZqo,graduate_0000_asl5200_25318.mp4,skipped_no_ytdlp
1,70176,northtexas,121,0,val,25,6345,6474,117,20,505,480,https://www.youtube.com/watch?v=F5Wef1_PtLk,graduate_0001_northtexas_70176.mp4,skipped_no_ytdlp
2,68528,lillybauer,112,0,train,25,1,41,315,35,932,720,https://www.youtube.com/watch?v=HNp5UcfuRSI,graduate_0002_lillybauer_68528.mp4,skipped_no_ytdlp
3,25337,aslpro,72,0,train,25,1,-1,73,0,282,240,http://www.aslpro.com/main/g/graduate_person.swf,graduate_0003_aslpro_25337.mp4,skipped_swf
4,25338,aslpro,72,0,train,25,1,-1,77,3,280,240,http://www.aslpro.com/main/g/graduate_verb.swf,graduate_0004_aslpro_25338.mp4,skipped_swf
5,25339,aslsearch,12,0,train,25,1,-1,175,60,532,400,http://www.aslsearch.com/signs/videos/graduate.mp4,graduate_0005_aslsearch_25339.mp4,ok
6,25322,startasl,38,0,train,25,1,-1,431,59,827,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/graduate.mp4,graduate_0006_startasl_25322.mp4,ok
7,25323,signschool,45,0,train,25,1,-1,538,131,1504,1071,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Graduate%2C%20Guarantee%202-5_ku83x4epk.mp4,graduate_0007_signschool_25323.mp4,ok
8,25324,signschool,45,0,train,25,1,-1,586,116,1418,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Graduate%2C%20Guarantee%203-AehX-pK1AIE.mp4,graduate_0008_signschool_25324.mp4,ok
9,25325,signschool,45,0,train,25,1,-1,575,117,1467,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Graduate%2C%20Guarantee-fK4BOAHYevM.mp4,graduate_0009_signschool_25325.mp4,ok
10,25326,asldeafined,21,0,train,25,1,-1,35,0,547,480,https://media.asldeafined.com/vocabulary/1468549910.3136.mp4,graduate_0010_asldeafined_25326.mp4,ok
11,25327,handspeak,14,0,train,25,1,-1,57,0,267,240,https://www.handspeak.com/word/g/graduate.mp4,graduate_0011_handspeak_25327.mp4,failed
12,25328,handspeak,14,0,train,25,1,-1,63,1,270,240,https://www.handspeak.com/word/g/graduate-person.mp4,graduate_0012_handspeak_25328.mp4,failed
13,65843,aslsignbank,106,0,val,25,1,-1,171,39,485,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/GR/GRADUATE-1866.mp4,graduate_0013_aslsignbank_65843.mp4,failed
14,25329,signingsavvy,11,0,train,25,1,-1,74,15,214,192,https://www.signingsavvy.com/signs/mp4/6/6256.mp4,graduate_0014_signingsavvy_25329.mp4,ok
15,25330,signingsavvy,11,0,val,25,1,-1,63,11,212,192,https://www.signingsavvy.com/signs/mp4/8/8864.mp4,graduate_0015_signingsavvy_25330.mp4,ok
16,25321,spreadthesign,0,0,train,25,1,-1,51,4,251,240,https://media.spreadthesign.com/video/mp4/13/58510.mp4,graduate_0016_spreadthesign_25321.mp4,ok
17,67722,asllex,109,0,test,25,1,-1,95,7,388,360,https://youtu.be/aciHfU1IrCc,graduate_0017_asllex_67722.mp4,skipped_no_ytdlp
19,25332,aslu,5,0,train,25,1,-1,346,53,924,720,https://www.youtube.com/watch?v=3KH3aihCcF8,graduate_0019_aslu_25332.mp4,skipped_no_ytdlp
20,25333,aslu,5,0,train,25,1,-1,313,42,954,720,https://www.youtube.com/watch?v=Uch6xFIQ3X0,graduate_0020_aslu_25333.mp4,skipped_no_ytdlp
