instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,25975,asl5200,9,0,train,25,2175,2214,0,0,360,240,https://www.youtube.com/watch?v=YdHKN_wHZqo,guitar_0000_asl5200_25975.mp4,skipped_no_ytdlp
1,25983,aslpro,72,0,train,25,1,-1,5,5,246,240,http://www.aslpro.com/main/g/guitar.swf,guitar_0001_aslpro_25983.mp4,skipped_swf
2,25984,aslsearch,12,0,train,25,1,-1,156,61,611,400,http://www.aslsearch.com/signs/videos/guitar.mp4,guitar_0002_aslsearch_25984.mp4,ok
3,65867,aslsignbank,95,0,val,25,1,-1,184,7,559,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/GU/GUITAR-768.mp4,guitar_0003_aslsignbank_65867.mp4,failed
4,67734,asllex,109,0,train,25,1,-1,76,0,467,360,https://youtu.be/XuiFHfNxm24,guitar_0004_asllex_67734.mp4,skipped_no_ytdlp
5,25976,spreadthesign,8,0,train,25,1,-1,62,2,258,240,https://media.spreadthesign.com/video/mp4/13/456537.mp4,guitar_0005_spreadthesign_25976.mp4,ok
6,25977,startasl,38,0,train,25,1,-1,374,54,879,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/guitar.mp4,guitar_0006_startasl_25977.mp4,ok
7,25978,signschool,32,0,train,25,1,-1,721,76,1698,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Guitar-D922xelu7rI.mp4,guitar_0007_signschool_25978.mp4,ok
8,25979,asldeafined,21,0,val,25,1,-1,67,12,592,480,https://media.asldeafined.com/vocabulary/1468551134.3044.mp4,guitar_0008_asldeafined_25979.mp4,ok
9,25980,handspeak,14,0,test,25,1,-1,37,11,289,240,https://www.handspeak.com/word/g/guitar2.mp4,guitar_0009_handspeak_25980.mp4,failed
10,25981,handspeak,14,0,test,25,1,-1,11,0,298,240,https://www.handspeak.com/word/g/guitar.mp4,guitar_0010_handspeak_25981.mp4,failed
11,25982,signingsavvy,11,0,train,25,1,-1,62,18,263,192,https://www.signingsavvy.com/signs/mp4/8/8515.mp4,guitar_0011_signingsavvy_25982.mp4,ok
