instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,26688,asl5200,9,0,test,25,628,684,0,0,360,240,https://www.youtube.com/watch?v=SiBub8VD5wo,hat_0000_asl5200_26688.mp4,skipped_no_ytdlp
1,69359,aslbrick,116,0,val,25,1,-1,147,5,566,480,http://aslbricks.org/New/ASL-Videos/hat.mp4,hat_0001_aslbrick_69359.mp4,ok
2,68396,lillybauer,115,0,train,25,1,53,247,1,944,720,https://www.youtube.com/watch?v=Cw7DfeqaQu0,hat_0002_lillybauer_68396.mp4,skipped_no_ytdlp
3,68068,valencia-asl,110,0,train,25,1,-1,139,0,606,480,https://www.youtube.com/watch?v=M2pI7j5-mR0,hat_0003_valencia-asl_68068.mp4,skipped_no_ytdlp
7,26713,startasl,38,0,train,25,1,-1,334,31,813,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/hat.mp4,hat_0007_startasl_26713.mp4,ok
12,26736,aslpro,72,0,train,25,1,-1,0,8,221,240,http://www.aslpro.com/main/h/hat.swf,hat_0012_aslpro_26736.mp4,skipped_swf
14,26712,spreadthesign,35,0,train,25,1,-1,32,0,273,240,https://media.spreadthesign.com/video/mp4/13/51154.mp4,hat_0014_spreadthesign_26712.mp4,ok
16,26739,aslsearch,41,0,train,25,1,-1,203,39,485,400,http://www.aslsearch.com/signs/videos/ballcap.mp4,hat_0016_aslsearch_26739.mp4,ok
18,26741,aslsearch,12,0,train,25,1,-1,137,29,544,400,http://www.aslsearch.com/signs/videos/hat.mp4,hat_0018_aslsearch_26741.mp4,ok
19,26714,signschool,32,0,train,25,1,-1,698,74,1615,1066,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Hat-F1p5oelfV7U.mp4,hat_0019_signschool_26714.mp4,ok
21,26715,asldeafined,21,0,train,25,1,-1,26,0,542,480,https://media.asldeafined.com/vocabulary/1468579799.8963.mp4,hat_0021_asldeafined_26715.mp4,ok
22,26716,handspeak,20,0,train,25,1,-1,18,2,521,480,https://www.handspeak.com/word/h/hat.mp4,hat_0022_handspeak_26716.mp4,failed
23,26717,signingsavvy,10,0,train,25,1,-1,62,17,213,192,https://www.signingsavvy.com/signs/mp4/23/23605.mp4,hat_0023_signingsavvy_26717.mp4,ok
25,67745,asllex,109,0,val,25,1,-1,87,19,379,360,https://youtu.be/YZyaVHlqsvY,hat_0025_asllex_67745.mp4,skipped_no_ytdlp
26,26719,signingsavvy,11,0,train,25,1,-1,44,4,227,192,https://www.signingsavvy.com/signs/mp4/6/6388.mp4,hat_0026_signingsavvy_26719.mp4,ok
28,26721,aslu,64,0,val,25,1,-1,132,20,509,342,https://www.youtube.com/watch?v=3xNKnBbX6aA,hat_0028_aslu_26721.mp4,skipped_no_ytdlp
29,26722,nabboud,65,0,train,25,1,-1,308,65,865,720,https://www.youtube.com/watch?v=40-GTK0E2k4,hat_0029_nabboud_26722.mp4,skipped_no_ytdlp
30,26723,aslu,5,0,test,25,1,-1,284,0,952,720,https://www.youtube.com/watch?v=7byMTWfeQxQ,hat_0030_aslu_26723.mp4,skipped_no_ytdlp
31,26724,aslu,5,0,train,25,1,-1,169,0,924,720,https://www.youtube.com/watch?v=bul0cjvDEEE,hat_0031_aslu_26724.mp4,skipped_no_ytdlp
33,26726,nabboud,65,0,train,25,1,-1,307,61,888,720,https://www.youtube.com/watch?v=QhYtXRY5ULQ,hat_0033_nabboud_26726.mp4,skipped_no_ytdlp
