instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,65884,aslsignbank,106,0,test,25,1,-1,159,36,488,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/HE/HEARING-1773.mp4,hearing_0000_aslsignbank_65884.mp4,failed
1,70016,northtexas,121,0,val,25,4707,4798,167,38,449,360,https://www.youtube.com/watch?v=25ymRY7hbjs,hearing_0001_northtexas_70016.mp4,skipped_no_ytdlp
2,68350,lillybauer,113,0,train,25,1,143,97,3,520,360,https://www.youtube.com/watch?v=ba87IfnWL9s,hearing_0002_lillybauer_68350.mp4,skipped_no_ytdlp
3,68070,valencia-asl,109,0,train,25,1,-1,56,0,1066,720,https://www.youtube.com/watch?v=x5cwBfSKnZc,hearing_0003_valencia-asl_68070.mp4,skipped_no_ytdlp
6,26972,startasl,36,0,train,25,1,-1,201,17,516,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/hearing.mp4,hearing_0006_startasl_26972.mp4,ok
7,26973,signschool,45,0,train,25,1,-1,623,138,1480,1069,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Hearing%2C%20Public-QTXYOo6ZB8I.mp4,hearing_0007_signschool_26973.mp4,ok
8,26974,signschool,4,0,train,25,1,-1,477,30,1040,717,https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Hearing.mp4,hearing_0008_signschool_26974.mp4,ok
9,26975,asldeafined,21,0,train,25,1,-1,36,4,535,480,https://media.asldeafined.com/vocabulary/1468580423.3306.mp4,hearing_0009_asldeafined_26975.mp4,ok
10,26976,asldeafined,15,0,train,25,1,-1,132,27,529,480,https://media.asldeafined.com/vocabulary/1522767646.1436.mp4,hearing_0010_asldeafined_26976.mp4,ok
11,26977,handspeak,20,0,train,25,1,-1,102,0,465,360,https://www.handspeak.com/word/h/hearing-but.mp4,hearing_0011_handspeak_26977.mp4,failed
12,26978,handspeak,20,0,train,25,1,-1,120,21,468,360,https://www.handspeak.com/word/h/hearing.mp4,hearing_0012_handspeak_26978.mp4,failed
14,26971,spreadthesign,0,0,train,25,1,-1,47,6,251,240,https://media.spreadthesign.com/video/mp4/13/63539.mp4,hearing_0014_spreadthesign_26971.mp4,ok
15,26980,signingsavvy,11,0,train,25,1,-1,62,17,218,192,https://www.signingsavvy.com/signs/mp4/6/6412.mp4,hearing_0015_signingsavvy_26980.mp4,ok
16,67750,asllex,109,0,val,25,1,-1,86,23,379,360,https://youtu.be/eQlq7VX7VSg,hearing_0016_asllex_67750.mp4,skipped_no_ytdlp
17,26981,nabboud,69,0,train,25,1,-1,362,55,836,720,https://www.youtube.com/watch?v=AoyNI1BJmOE,hearing_0017_nabboud_26981.mp4,skipped_no_ytdlp
18,26982,scott,47,0,val,25,1,-1,245,26,932,719,https://www.youtube.com/watch?v=djZwwts-OiA,hearing_0018_scott_26982.mp4,skipped_no_ytdlp
19,26983,aslu,5,0,train,25,1,-1,336,42,932,720,https://www.youtube.com/watch?v=EOUkGLfYQ7M,hearing_0019_aslu_26983.mp4,skipped_no_ytdlp
20,26984,aslu,5,0,test,25,1,-1,217,43,945,720,https://www.youtube.com/watch?v=o8jWmf65mTQ,hearing_0020_aslu_26984.mp4,skipped_no_ytdlp
21,26985,aslu,5,0,train,25,1,-1,265,12,940,720,https://www.youtube.com/watch?v=pm3V4SOB9gk,hearing_0021_aslu_26985.mp4,skipped_no_ytdlp
22,26986,aslu,5,0,train,25,1,-1,267,13,939,720,https://www.youtube.com/watch?v=sMRpqyQK72c,hearing_0022_aslu_26986.mp4,skipped_no_ytdlp
