instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,28074,asl5200,9,0,test,25,2249,2285,0,0,360,240,https://www.youtube.com/watch?v=SiBub8VD5wo,hot_0000_asl5200_28074.mp4,skipped_no_ytdlp
1,69368,aslbrick,118,0,val,25,1,-1,284,42,886,720,http://aslbricks.org/New/ASL-Videos/hot.mp4,hot_0001_aslbrick_69368.mp4,ok
2,70270,northtexas,121,0,val,25,4497,4596,154,35,395,360,https://www.youtube.com/watch?v=WGfiiDgrq1I,hot_0002_northtexas_70270.mp4,skipped_no_ytdlp
3,28125,aslsearch,12,0,train,25,1,-1,197,49,571,400,http://www.aslsearch.com/signs/videos/heat2.mp4,hot_0003_aslsearch_28125.mp4,ok
4,28108,startasl,36,0,train,25,1,-1,229,17,521,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/hot.mp4,hot_0004_startasl_28108.mp4,ok
5,28109,signschool,52,0,train,25,1,-1,351,11,818,480,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Hot-9X3bjjuKGMM.mp4,hot_0005_signschool_28109.mp4,ok
6,28110,signschool,6,0,train,25,1,-1,657,78,1430,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Hot-QCvXMjNN4PE.mp4,hot_0006_signschool_28110.mp4,ok
7,28111,signschool,39,0,train,25,1,-1,544,128,1596,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Hot-wy-09ieHXhM.mp4,hot_0007_signschool_28111.mp4,ok
8,28112,asldeafined,21,0,val,25,1,-1,61,4,500,480,https://media.asldeafined.com/vocabulary/1468638601.9688.mp4,hot_0008_asldeafined_28112.mp4,ok
9,28113,handspeak,14,0,train,25,1,-1,114,9,538,480,https://www.handspeak.com/word/h/hot2.mp4,hot_0009_handspeak_28113.mp4,failed
10,28114,handspeak,20,0,train,25,1,-1,116,18,519,480,https://www.handspeak.com/word/h/hot.mp4,hot_0010_handspeak_28114.mp4,failed
11,28115,signingsavvy,11,0,train,25,1,-1,65,9,207,192,https://www.signingsavvy.com/signs/mp4/14/14232.mp4,hot_0011_signingsavvy_28115.mp4,ok
12,28116,signingsavvy,11,0,train,25,1,-1,64,11,221,192,https://www.signingsavvy.com/signs/mp4/6/6109.mp4,hot_0012_signingsavvy_28116.mp4,ok
13,28107,spreadthesign,0,0,train,25,1,-1,51,0,250,240,https://media.spreadthesign.com/video/mp4/13/58462.mp4,hot_0013_spreadthesign_28107.mp4,ok
15,28118,aslu,5,0,train,25,1,-1,316,30,937,720,https://www.youtube.com/watch?v=a0robonALIk,hot_0015_aslu_28118.mp4,skipped_no_ytdlp
16,28119,aslu,64,0,test,25,1,-1,142,37,410,339,https://www.youtube.com/watch?v=Eya_OdUAevw,hot_0016_aslu_28119.mp4,skipped_no_ytdlp
17,28120,aslu,5,0,train,25,1,-1,329,36,980,720,https://www.youtube.com/watch?v=Eya_OdUAevw,hot_0017_aslu_28120.mp4,skipped_no_ytdlp
18,28121,aslu,5,0,test,25,1,-1,328,34,937,720,https://www.youtube.com/watch?v=F84dU7A7jI0,hot_0018_aslu_28121.mp4,skipped_no_ytdlp
19,28122,aslu,5,0,train,25,1,-1,293,31,955,720,https://www.youtube.com/watch?v=IqCHIu9NrZs,hot_0019_aslu_28122.mp4,skipped_no_ytdlp
20,28123,nabboud,65,0,train,25,1,-1,335,88,834,720,https://www.youtube.com/watch?v=Ob3drndU_yM,hot_0020_nabboud_28123.mp4,skipped_no_ytdlp
21,28124,aslpro,72,0,train,25,1,-1,67,1,261,240,http://www.aslpro.com/main/h/hot.swf,hot_0021_aslpro_28124.mp4,skipped_swf
