instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,28157,asl5200,9,0,val,25,2329,2381,0,0,360,240,https://www.youtube.com/watch?v=SiBub8VD5wo,house_0000_asl5200_28157.mp4,skipped_no_ytdlp
1,69369,aslbrick,118,0,train,25,1,-1,326,29,932,720,http://aslbricks.org/New/ASL-Videos/house.mp4,house_0001_aslbrick_69369.mp4,ok
2,70373,northtexas,121,0,train,25,3802,3918,122,15,491,480,https://www.youtube.com/watch?v=Z25ng9maolE,house_0002_northtexas_70373.mp4,skipped_no_ytdlp
3,28166,aslu,5,0,val,25,1,-1,170,10,498,360,https://www.youtube.com/watch?v=lBSZYk72vmY,house_0003_aslu_28166.mp4,skipped_no_ytdlp
4,28167,nabboud,65,0,train,25,1,-1,332,93,876,720,https://www.youtube.com/watch?v=r8jU9XpoEF0,house_0004_nabboud_28167.mp4,skipped_no_ytdlp
5,28168,aslpro,83,0,train,25,1,-1,20,22,226,240,http://www.aslpro.com/main/h/house.swf,house_0005_aslpro_28168.mp4,skipped_swf
6,28159,spreadthesign,0,0,train,25,1,-1,37,0,262,240,https://media.spreadthesign.com/video/mp4/13/58463.mp4,house_0006_spreadthesign_28159.mp4,ok
7,67777,asllex,109,0,train,25,1,-1,77,18,389,360,https://youtu.be/8Q-fEePVwsk,house_0007_asllex_67777.mp4,skipped_no_ytdlp
8,28169,aslsearch,12,0,train,25,1,-1,191,51,551,400,http://www.aslsearch.com/signs/videos/house.mp4,house_0008_aslsearch_28169.mp4,ok
9,28160,startasl,36,0,test,25,1,-1,213,16,532,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/house.mp4,house_0009_startasl_28160.mp4,ok
10,28161,signschool,6,0,val,25,1,-1,525,94,1559,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20House-F3BNN5Jwy30.mp4,house_0010_signschool_28161.mp4,ok
11,28162,asldeafined,21,0,test,25,1,-1,65,4,584,480,https://media.asldeafined.com/vocabulary/1468638718.3003.mp4,house_0011_asldeafined_28162.mp4,ok
12,28163,handspeak,20,0,train,25,1,-1,72,0,590,480,https://www.handspeak.com/word/h/house.mp4,house_0012_handspeak_28163.mp4,failed
13,28164,signingsavvy,10,0,train,25,1,-1,76,23,242,192,https://www.signingsavvy.com/signs/mp4/23/23234.mp4,house_0013_signingsavvy_28164.mp4,ok
14,28165,aslu,5,0,train,25,1,-1,329,26,952,720,https://www.youtube.com/watch?v=CJMH2YMuC6I,house_0014_aslu_28165.mp4,skipped_no_ytdlp
