instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,28187,asl5200,9,0,test,25,2382,2418,0,0,360,240,https://www.youtube.com/watch?v=SiBub8VD5wo,how_0000_asl5200_28187.mp4,skipped_no_ytdlp
1,69370,aslbrick,115,1,test,25,1,-1,378,49,894,720,http://aslbricks.org/New/ASL-Videos/how.mp4,how_0001_aslbrick_69370.mp4,ok
2,70295,northtexas,121,0,train,25,4221,4314,146,42,397,360,https://www.youtube.com/watch?v=CSj7IScvZnE,how_0002_northtexas_70295.mp4,skipped_no_ytdlp
3,68954,lillybauer,115,1,val,25,1,64,320,12,924,720,https://www.youtube.com/watch?v=uVXtydfzLIo,how_0003_lillybauer_68954.mp4,skipped_no_ytdlp
4,28205,asldeafined,21,0,train,25,1,-1,76,13,544,480,https://media.asldeafined.com/vocabulary/1468638815.8605.mp4,how_0004_asldeafined_28205.mp4,ok
5,28206,handspeak,55,0,val,25,1,-1,100,30,371,382,https://www.handspeak.com/word/h/how-1913.mp4,how_0005_handspeak_28206.mp4,failed
6,28207,handspeak,20,1,train,25,1,-1,114,0,552,480,https://www.handspeak.com/word/h/how2.mp4,how_0006_handspeak_28207.mp4,failed
7,28208,handspeak,20,1,train,25,1,-1,109,0,549,478,https://www.handspeak.com/word/h/how.mp4,how_0007_handspeak_28208.mp4,failed
9,28210,signingsavvy,11,0,train,25,1,-1,74,4,218,192,https://www.signingsavvy.com/signs/mp4/5/5874.mp4,how_0009_signingsavvy_28210.mp4,ok
10,28201,spreadthesign,8,0,test,25,1,-1,51,0,255,240,https://media.spreadthesign.com/video/mp4/13/456602.mp4,how_0010_spreadthesign_28201.mp4,ok
11,67776,asllex,109,0,train,25,1,-1,89,17,376,360,https://youtu.be/X9k65VXITzY,how_0011_asllex_67776.mp4,skipped_no_ytdlp
12,28211,signingsavvy,11,1,train,25,1,-1,77,5,217,192,https://www.signingsavvy.com/signs/mp4/5/5875.mp4,how_0012_signingsavvy_28211.mp4,ok
13,28212,aslu,5,0,train,25,1,-1,250,0,951,720,https://www.youtube.com/watch?v=awmySeWaTkk,how_0013_aslu_28212.mp4,skipped_no_ytdlp
14,28213,aslpro,30,0,train,25,1,-1,0,6,229,240,http://www.aslpro.com/main/h/how.swf,how_0014_aslpro_28213.mp4,skipped_swf
15,28214,aslsearch,12,0,train,25,1,-1,176,54,560,400,http://www.aslsearch.com/signs/videos/how.mp4,how_0015_aslsearch_28214.mp4,ok
16,28202,startasl,36,1,train,25,1,-1,223,16,527,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/how2.mp4,how_0016_startasl_28202.mp4,ok
17,28203,startasl,36,0,val,25,1,-1,195,15,548,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/how.mp4,how_0017_startasl_28203.mp4,ok
18,28204,signschool,46,1,train,25,1,-1,634,35,1554,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20How-4-FrL86gJFo.mp4,how_0018_signschool_28204.mp4,ok
