instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,28438,asl5200,9,0,train,25,2716,2752,0,0,360,240,https://www.youtube.com/watch?v=SiBub8VD5wo,hurt_0000_asl5200_28438.mp4,skipped_no_ytdlp
1,70147,northtexas,121,0,train,25,6429,6562,122,21,508,480,https://www.youtube.com/watch?v=VwejDy96MzM,hurt_0001_northtexas_70147.mp4,skipped_no_ytdlp
2,28441,signschool,60,0,train,25,1,-1,352,22,779,480,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Hurt-_st2tPdAvgQ.mp4,hurt_0002_signschool_28441.mp4,ok
4,28443,handspeak,20,0,val,25,1,-1,80,0,589,480,https://www.handspeak.com/word/h/hurt2.mp4,hurt_0004_handspeak_28443.mp4,failed
5,28444,handspeak,20,0,train,25,1,-1,79,0,589,480,https://www.handspeak.com/word/h/hurt.mp4,hurt_0005_handspeak_28444.mp4,failed
6,28445,signingsavvy,10,0,train,25,1,-1,58,14,228,192,https://www.signingsavvy.com/signs/mp4/23/23773.mp4,hurt_0006_signingsavvy_28445.mp4,ok
7,28446,signingsavvy,10,0,train,25,1,-1,75,15,221,192,https://www.signingsavvy.com/signs/mp4/23/23774.mp4,hurt_0007_signingsavvy_28446.mp4,ok
11,28450,nabboud,69,0,train,25,1,-1,316,55,898,720,https://www.youtube.com/watch?v=Ekcn4CILyfo,hurt_0011_nabboud_28450.mp4,skipped_no_ytdlp
13,28452,aslu,5,0,val,25,1,-1,282,59,936,720,https://www.youtube.com/watch?v=xs4k_Qf3BSc,hurt_0013_aslu_28452.mp4,skipped_no_ytdlp
14,28453,aslpro,25,0,test,25,1,-1,0,9,258,240,http://www.aslpro.com/main/h/hurt.swf,hurt_0014_aslpro_28453.mp4,skipped_swf
15,28454,aslsearch,12,0,test,25,1,-1,201,53,552,400,http://www.aslsearch.com/signs/videos/sore.mp4,hurt_0015_aslsearch_28454.mp4,ok
17,28440,startasl,36,0,train,25,1,-1,182,18,552,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/hurt.mp4,hurt_0017_startasl_28440.mp4,ok
