instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,29628,asl5200,9,0,train,25,950,979,0,0,360,240,https://www.youtube.com/watch?v=K1YuKDdDp_k,inform_0000_asl5200_29628.mp4,skipped_no_ytdlp
1,29648,signschool,4,0,train,25,1,-1,562,68,1612,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Inform%2C%20Let%20You%20Know-Mc2Tt9PNM3Y.mp4,inform_0001_signschool_29648.mp4,ok
2,29649,asldeafined,21,0,train,25,1,-1,82,6,552,480,https://media.asldeafined.com/vocabulary/1468666919.6739.mp4,inform_0002_asldeafined_29649.mp4,ok
3,29650,handspeak,20,0,val,25,1,-1,41,28,243,240,https://www.handspeak.com/word/i/inform2.mp4,inform_0003_handspeak_29650.mp4,failed
4,29651,handspeak,14,0,train,25,1,-1,8,6,315,240,https://www.handspeak.com/word/i/inform-all.mp4,inform_0004_handspeak_29651.mp4,failed
5,29652,handspeak,14,0,train,25,1,-1,10,30,282,240,https://www.handspeak.com/word/i/inform-hir2.mp4,inform_0005_handspeak_29652.mp4,failed
6,29653,handspeak,14,1,train,25,1,-1,28,27,303,240,https://www.handspeak.com/word/i/inform-hir.mp4,inform_0006_handspeak_29653.mp4,failed
7,29654,handspeak,20,1,test,25,1,-1,47,19,254,240,https://www.handspeak.com/word/i/inform-you.mp4,inform_0007_handspeak_29654.mp4,failed
8,29655,signingsavvy,10,0,train,25,1,-1,38,16,238,192,https://www.signingsavvy.com/signs/mp4/22/22421.mp4,inform_0008_signingsavvy_29655.mp4,ok
9,65940,aslsignbank,96,0,train,25,1,-1,142,27,500,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/IN/INFORM-1733.mp4,inform_0009_aslsignbank_65940.mp4,failed
10,29646,spreadthesign,35,1,val,25,1,-1,44,1,257,240,https://media.spreadthesign.com/video/mp4/13/51857.mp4,inform_0010_spreadthesign_29646.mp4,ok
11,29656,signingsavvy,11,0,val,25,1,-1,71,11,203,192,https://www.signingsavvy.com/signs/mp4/9/9501.mp4,inform_0011_signingsavvy_29656.mp4,ok
12,29657,signingsavvy,11,0,test,25,1,-1,45,0,227,192,https://www.signingsavvy.com/signs/mp4/9/9502.mp4,inform_0012_signingsavvy_29657.mp4,ok
14,29659,aslu,5,1,train,25,1,-1,316,30,968,720,https://www.youtube.com/watch?v=BGdDXKIB1sY,inform_0014_aslu_29659.mp4,skipped_no_ytdlp
15,29660,aslpro,25,0,test,25,1,-1,7,9,253,240,http://www.aslpro.com/main/i/inform.swf,inform_0015_aslpro_29660.mp4,skipped_swf
16,29661,aslsearch,12,1,train,25,1,-1,198,62,557,400,http://www.aslsearch.com/signs/videos/inform.mp4,inform_0016_aslsearch_29661.mp4,ok
17,29647,startasl,38,0,train,25,1,-1,419,60,823,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/inform.mp4,inform_0017_startasl_29647.mp4,ok
