instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,30227,asl5200,9,0,train,25,1403,1455,0,0,360,240,https://www.youtube.com/watch?v=K1YuKDdDp_k,internet_0000_asl5200_30227.mp4,skipped_no_ytdlp
1,30235,asldeafined,21,0,train,25,1,-1,74,15,557,480,https://media.asldeafined.com/vocabulary/1468667898.8405.mp4,internet_0001_asldeafined_30235.mp4,ok
3,30237,handspeak,20,0,train,25,1,-1,104,0,575,480,https://www.handspeak.com/word/i/internet.mp4,internet_0003_handspeak_30237.mp4,failed
4,30238,handspeak,20,0,val,25,1,-1,117,0,588,480,https://www.handspeak.com/word/i/internet-old.mp4,internet_0004_handspeak_30238.mp4,failed
5,30239,signingsavvy,10,0,train,25,1,-1,102,20,221,192,https://www.signingsavvy.com/signs/mp4/23/23287.mp4,internet_0005_signingsavvy_30239.mp4,ok
6,30230,elementalasl,19,0,train,25,1,-1,77,12,233,180,https://elementalaslconcepts.weebly.com/uploads/2/4/4/5/24454483/internet.mov,internet_0006_elementalasl_30230.mp4,ok
7,67793,asllex,109,0,train,25,1,-1,85,24,388,360,https://youtu.be/8iu4yAES0Dg,internet_0007_asllex_67793.mp4,skipped_no_ytdlp
8,30240,aslu,5,0,train,25,1,-1,301,53,927,720,https://www.youtube.com/watch?v=8Bm2uG-suEA,internet_0008_aslu_30240.mp4,skipped_no_ytdlp
9,30241,aslu,5,0,train,25,1,-1,313,58,910,720,https://www.youtube.com/watch?v=WSksNKr2DCA,internet_0009_aslu_30241.mp4,skipped_no_ytdlp
10,30242,aslsearch,41,0,test,25,1,-1,246,44,495,400,http://www.aslsearch.com/signs/videos/internet.mp4,internet_0010_aslsearch_30242.mp4,ok
11,30231,spreadthesign,35,0,val,25,1,-1,35,0,275,240,https://media.spreadthesign.com/video/mp4/13/51859.mp4,internet_0011_spreadthesign_30231.mp4,ok
12,30232,startasl,38,0,test,25,1,-1,424,55,827,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/internet.mp4,internet_0012_startasl_30232.mp4,ok
13,30233,signschool,6,0,train,25,1,-1,561,51,1547,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Internet%2C%20Website%2C%20Online-IxTYPgc1Rs0.mp4,internet_0013_signschool_30233.mp4,ok
14,30234,signschool,39,0,train,25,1,-1,789,63,1703,1076,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Network%2C%C2%A0Internet%2C%20Online-PS5pFoAh6UY.mp4,internet_0014_signschool_30234.mp4,ok
