instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,30467,asl5200,9,0,val,25,1699,1768,0,0,360,240,https://www.youtube.com/watch?v=K1YuKDdDp_k,investigate_0000_asl5200_30467.mp4,skipped_no_ytdlp
1,30473,handspeak,20,0,train,25,1,-1,104,0,568,480,https://www.handspeak.com/word/i/investigate.mp4,investigate_0001_handspeak_30473.mp4,failed
2,30474,signingsavvy,10,0,train,25,1,-1,66,24,192,192,https://www.signingsavvy.com/signs/mp4/23/23210.mp4,investigate_0002_signingsavvy_30474.mp4,ok
3,30475,aslu,5,0,train,25,1,-1,338,41,958,720,https://www.youtube.com/watch?v=4KztOcRrw2g,investigate_0003_aslu_30475.mp4,skipped_no_ytdlp
4,30476,aslu,5,0,train,25,1,-1,282,47,959,720,https://www.youtube.com/watch?v=f6JW_IbLybo,investigate_0004_aslu_30476.mp4,skipped_no_ytdlp
5,65960,aslsignbank,96,0,train,25,1,-1,200,34,510,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/IN/INVESTIGATE-1718.mp4,investigate_0005_aslsignbank_65960.mp4,failed
6,30477,aslu,5,0,train,25,1,-1,285,45,922,720,https://www.youtube.com/watch?v=Ij7epQE21TY,investigate_0006_aslu_30477.mp4,skipped_no_ytdlp
7,30478,aslpro,24,0,train,25,1,-1,9,9,206,240,http://www.aslpro.com/main/i/investigate.swf,investigate_0007_aslpro_30478.mp4,skipped_swf
9,30468,elementalasl,19,0,train,25,1,-1,79,12,234,180,https://elementalaslconcepts.weebly.com/uploads/2/4/4/5/24454483/investigate.mov,investigate_0009_elementalasl_30468.mp4,ok
10,30469,spreadthesign,2,0,test,25,1,-1,64,39,241,240,https://media.spreadthesign.com/video/mp4/13/89806.mp4,investigate_0010_spreadthesign_30469.mp4,ok
11,30470,signschool,4,0,train,25,1,-1,548,38,1650,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Investigate-JTyt1Zq1HlQ.mp4,investigate_0011_signschool_30470.mp4,ok
12,30471,signschool,4,0,test,25,1,-1,678,53,1655,1078,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Research%2C%20Investigate-gIjCOB6HpNo.mp4,investigate_0012_signschool_30471.mp4,ok
13,30472,asldeafined,21,0,val,25,1,-1,43,18,555,480,https://media.asldeafined.com/vocabulary/1468668229.3966.mp4,investigate_0013_asldeafined_30472.mp4,ok
