instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,66010,aslsignbank,90,0,train,25,1,-1,194,13,502,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/LA/LAST-168.mp4,last_0000_aslsignbank_66010.mp4,failed
1,68086,valencia-asl,110,0,train,25,1,-1,228,4,615,480,https://www.youtube.com/watch?v=BsaWM5I_G1o,last_0001_valencia-asl_68086.mp4,skipped_no_ytdlp
2,69068,lillybauer,115,0,train,25,1,52,365,17,922,720,https://www.youtube.com/watch?v=Yp5z7Px_aV8,last_0002_lillybauer_69068.mp4,skipped_no_ytdlp
3,32263,aslsearch,12,0,val,25,1,-1,168,56,547,400,http://www.aslsearch.com/signs/videos/last.mp4,last_0003_aslsearch_32263.mp4,ok
5,32248,signschool,4,0,train,25,1,-1,553,64,1679,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Last%2C%20Final-ZrL9QA06fZs.mp4,last_0005_signschool_32248.mp4,ok
6,32249,asldeafined,13,0,train,25,1,-1,146,0,572,480,https://media.asldeafined.com/vocabulary/1468671376.351.mp4,last_0006_asldeafined_32249.mp4,ok
7,32250,asldeafined,59,0,train,25,1,-1,139,31,518,480,https://media.asldeafined.com/vocabulary/1522766909.4561.mp4,last_0007_asldeafined_32250.mp4,ok
8,32251,handspeak,20,0,train,25,1,-1,104,0,535,480,https://www.handspeak.com/word/l/last-final.mp4,last_0008_handspeak_32251.mp4,failed
9,32252,handspeak,20,1,train,25,1,-1,66,0,547,480,https://www.handspeak.com/word/l/last-past.mp4,last_0009_handspeak_32252.mp4,failed
10,32253,signingsavvy,11,1,test,25,1,-1,65,9,219,192,https://www.signingsavvy.com/signs/mp4/5/5971.mp4,last_0010_signingsavvy_32253.mp4,ok
11,32254,signingsavvy,11,0,train,25,1,-1,74,7,221,192,https://www.signingsavvy.com/signs/mp4/6/6063.mp4,last_0011_signingsavvy_32254.mp4,ok
12,32255,signingsavvy,11,1,val,25,1,-1,67,14,216,192,https://www.signingsavvy.com/signs/mp4/6/6164.mp4,last_0012_signingsavvy_32255.mp4,ok
13,32246,spreadthesign,2,0,test,25,1,-1,36,33,247,240,https://media.spreadthesign.com/video/mp4/13/91452.mp4,last_0013_spreadthesign_32246.mp4,ok
14,67826,asllex,109,0,val,25,1,-1,104,11,389,360,https://youtu.be/HV_8ELVFXzU,last_0014_asllex_67826.mp4,skipped_no_ytdlp
16,32257,signingsavvy,11,1,train,25,1,-1,43,3,212,192,https://www.signingsavvy.com/signs/mp4/9/9194.mp4,last_0016_signingsavvy_32257.mp4,ok
17,32258,aslu,5,0,test,25,1,-1,298,23,924,720,https://www.youtube.com/watch?v=f8MfjdWKh24,last_0017_aslu_32258.mp4,skipped_no_ytdlp
18,32259,aslpro,87,0,train,25,1,-1,23,9,226,240,http://www.aslpro.com/main/l/last.swf,last_0018_aslpro_32259.mp4,skipped_swf
19,32260,aslsearch,12,0,train,25,1,-1,174,51,560,400,http://www.aslsearch.com/signs/videos/last2.mp4,last_0019_aslsearch_32260.mp4,ok
20,32261,aslsearch,12,1,train,25,1,-1,155,61,542,400,http://www.aslsearch.com/signs/videos/last3.mp4,last_0020_aslsearch_32261.mp4,ok
