instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,32319,asl5200,9,0,train,25,378,410,0,0,360,240,https://www.youtube.com/watch?v=EhkIoTNxwGE,later_0000_asl5200_32319.mp4,skipped_no_ytdlp
1,32335,aslu,5,1,train,25,1,-1,147,8,498,360,https://www.youtube.com/watch?v=X4003aEoiWo,later_0001_aslu_32335.mp4,skipped_no_ytdlp
2,32336,aslpro,87,0,train,25,1,-1,0,17,208,240,http://www.aslpro.com/main/l/later.swf,later_0002_aslpro_32336.mp4,skipped_swf
3,32337,aslsearch,12,1,train,25,1,-1,178,55,542,400,http://www.aslsearch.com/signs/videos/later.mp4,later_0003_aslsearch_32337.mp4,ok
4,32338,aslsearch,12,1,train,25,1,-1,178,55,542,400,http://www.aslsearch.com/signs/videos/later.mp4,later_0004_aslsearch_32338.mp4,ok
5,32320,spreadthesign,8,1,val,25,1,-1,48,2,249,240,https://media.spreadthesign.com/video/mp4/13/457497.mp4,later_0005_spreadthesign_32320.mp4,ok
6,32321,signschool,4,0,train,25,1,-1,523,99,1517,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Later%202-UlcQ5965pNk.mp4,later_0006_signschool_32321.mp4,ok
7,32322,signschool,4,1,train,25,1,-1,488,106,1527,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Later%203-nbbipDhvyVQ.mp4,later_0007_signschool_32322.mp4,ok
8,32323,signschool,4,0,val,25,1,-1,446,99,1512,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Later-FVJ2dUlmpXA.mp4,later_0008_signschool_32323.mp4,ok
9,32324,signschool,39,0,train,25,1,-1,729,144,1557,1077,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Later-K4l6zXKW2b4.mp4,later_0009_signschool_32324.mp4,ok
10,32325,signschool,70,0,val,25,1,-1,358,12,794,480,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20later-LwQxFlH3wmA.mp4,later_0010_signschool_32325.mp4,ok
11,66015,aslsignbank,96,1,val,25,1,-1,201,30,526,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/LA/LATER-1688.mp4,later_0011_aslsignbank_66015.mp4,failed
12,32326,asldeafined,13,1,train,25,1,-1,111,0,529,480,https://media.asldeafined.com/vocabulary/1468671424.4465.mp4,later_0012_asldeafined_32326.mp4,ok
13,32327,handspeak,20,1,train,25,1,-1,96,0,508,480,https://www.handspeak.com/word/l/later2.mp4,later_0013_handspeak_32327.mp4,failed
14,32328,handspeak,20,0,train,25,1,-1,65,0,543,480,https://www.handspeak.com/word/l/later-inf.mp4,later_0014_handspeak_32328.mp4,failed
15,66014,aslsignbank,90,0,train,25,1,-1,157,13,484,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/LA/LATER-169.mp4,later_0015_aslsignbank_66014.mp4,failed
16,67829,asllex,109,0,test,25,1,-1,76,17,375,360,https://youtu.be/s3wDKw4Y4w0,later_0016_asllex_67829.mp4,skipped_no_ytdlp
17,32329,handspeak,20,1,test,25,1,-1,64,0,507,480,https://www.handspeak.com/word/l/later.mp4,later_0017_handspeak_32329.mp4,failed
21,32333,signingsavvy,11,1,train,25,1,-1,67,15,215,192,https://www.signingsavvy.com/signs/mp4/7/7458.mp4,later_0021_signingsavvy_32333.mp4,ok
22,32334,aslu,5,0,train,25,1,-1,260,53,910,720,https://www.youtube.com/watch?v=4Md8yfrXzp8,later_0022_aslu_32334.mp4,skipped_no_ytdlp
