instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,32373,asl5200,9,0,train,25,411,470,0,0,360,240,https://www.youtube.com/watch?v=EhkIoTNxwGE,laugh_0000_asl5200_32373.mp4,skipped_no_ytdlp
1,32393,nabboud,81,0,train,25,1,-1,385,70,824,720,https://www.youtube.com/watch?v=JPDU2pWIyDE,laugh_0001_nabboud_32393.mp4,skipped_no_ytdlp
3,32395,aslu,5,1,train,25,1,-1,313,34,943,720,https://www.youtube.com/watch?v=UU4MRMrBLdU,laugh_0003_aslu_32395.mp4,skipped_no_ytdlp
6,32397,aslpro,54,0,train,25,1,-1,6,5,260,240,http://www.aslpro.com/main/l/laugh.swf,laugh_0006_aslpro_32397.mp4,skipped_swf
7,32398,aslsearch,12,0,val,25,1,-1,171,54,540,400,http://www.aslsearch.com/signs/videos/laugh.mp4,laugh_0007_aslsearch_32398.mp4,ok
8,32379,signschool,39,1,test,25,1,-1,724,109,1606,1067,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Laugh%202-kz8jHKm1dLU.mp4,laugh_0008_signschool_32379.mp4,ok
9,32380,signschool,39,1,val,25,1,-1,662,144,1558,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Laugh%203-aWR8gHhNlH0.mp4,laugh_0009_signschool_32380.mp4,ok
10,32381,signschool,39,0,train,25,1,-1,901,53,1762,1079,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Laugh%206-IUbR6I36O58.mp4,laugh_0010_signschool_32381.mp4,ok
11,66016,aslsignbank,90,0,train,25,1,-1,189,11,504,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/LA/LAUGH-380.mp4,laugh_0011_aslsignbank_66016.mp4,failed
12,32382,signschool,39,0,train,25,1,-1,856,51,1757,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Laugh%207-_bydC3s5Bs4.mp4,laugh_0012_signschool_32382.mp4,ok
13,32383,signschool,39,0,train,25,1,-1,673,95,1645,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Laugh-es3nr0W584o.mp4,laugh_0013_signschool_32383.mp4,ok
16,32386,asldeafined,13,0,val,25,1,-1,156,0,540,480,https://media.asldeafined.com/vocabulary/1468671447.7129.mp4,laugh_0016_asldeafined_32386.mp4,ok
17,32377,spreadthesign,35,1,train,25,1,-1,24,0,269,240,https://media.spreadthesign.com/video/mp4/13/51948.mp4,laugh_0017_spreadthesign_32377.mp4,ok
18,67831,asllex,109,0,test,25,1,-1,102,22,394,360,https://youtu.be/nqWDDn7jtFA,laugh_0018_asllex_67831.mp4,skipped_no_ytdlp
20,32388,signingsavvy,10,1,train,25,1,-1,64,25,208,192,https://www.signingsavvy.com/signs/mp4/22/22292.mp4,laugh_0020_signingsavvy_32388.mp4,ok
21,32389,signingsavvy,10,0,test,25,1,-1,72,22,217,192,https://www.signingsavvy.com/signs/mp4/22/22293.mp4,laugh_0021_signingsavvy_32389.mp4,ok
24,32392,nabboud,69,0,train,25,1,-1,313,50,910,720,https://www.youtube.com/watch?v=jf6-pIRXAek,laugh_0024_nabboud_32392.mp4,skipped_no_ytdlp
