instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
4,32673,aslu,5,0,val,25,1,-1,126,18,893,720,https://www.youtube.com/watch?v=fn1PTkU1fGI,leave_0004_aslu_32673.mp4,skipped_no_ytdlp
5,32655,startasl,38,1,val,25,1,-1,394,50,811,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/leave.mp4,leave_0005_startasl_32655.mp4,ok
7,32675,aslpro,24,1,test,25,1,-1,12,17,223,240,http://www.aslpro.com/main/l/leave.swf,leave_0007_aslpro_32675.mp4,skipped_swf
9,32677,aslsearch,12,1,train,25,1,-1,180,53,569,400,http://www.aslsearch.com/signs/videos/leave.mp4,leave_0009_aslsearch_32677.mp4,ok
11,66025,aslsignbank,106,0,test,25,1,-1,129,39,469,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/LE/LEAVE-471.mp4,leave_0011_aslsignbank_66025.mp4,failed
12,32657,signschool,39,0,train,25,1,-1,632,134,1572,1062,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Leave%2C%20Strike-2gkECov8jEc.mp4,leave_0012_signschool_32657.mp4,ok
13,32658,signschool,27,0,train,25,1,-1,530,45,1786,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Leave-e_PuKm3xt7A.mp4,leave_0013_signschool_32658.mp4,ok
14,32659,signschool,45,0,train,25,1,-1,456,126,1493,1072,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Leave-ihxQx3ngWyc.mp4,leave_0014_signschool_32659.mp4,ok
16,32661,asldeafined,13,1,train,25,1,-1,16,0,577,480,https://media.asldeafined.com/vocabulary/1468671849.7366.mp4,leave_0016_asldeafined_32661.mp4,ok
17,32662,asldeafined,13,0,val,25,1,-1,99,21,480,480,https://media.asldeafined.com/vocabulary/1469158423.398.mp4,leave_0017_asldeafined_32662.mp4,ok
18,32663,handspeak,14,1,train,25,1,-1,58,26,282,240,https://www.handspeak.com/word/l/leave-depart.mp4,leave_0018_handspeak_32663.mp4,failed
19,32654,spreadthesign,37,1,val,25,1,-1,58,9,308,240,https://media.spreadthesign.com/video/mp4/13/457518.mp4,leave_0019_spreadthesign_32654.mp4,ok
20,67836,asllex,109,1,train,25,1,-1,94,12,383,360,https://youtu.be/1ebUDpd-7DE,leave_0020_asllex_67836.mp4,skipped_no_ytdlp
21,32664,handspeak,14,0,train,25,1,-1,34,27,267,240,https://www.handspeak.com/word/l/leave-gone.mp4,leave_0021_handspeak_32664.mp4,failed
24,32667,signingsavvy,10,0,train,25,1,-1,32,14,204,192,https://www.signingsavvy.com/signs/mp4/22/22235.mp4,leave_0024_signingsavvy_32667.mp4,ok
26,32669,signingsavvy,10,1,train,25,1,-1,92,15,254,192,https://www.signingsavvy.com/signs/mp4/22/22740.mp4,leave_0026_signingsavvy_32669.mp4,ok
