instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,32806,asl5200,9,0,val,25,999,1051,0,0,360,240,https://www.youtube.com/watch?v=EhkIoTNxwGE,lemon_0000_asl5200_32806.mp4,skipped_no_ytdlp
1,32816,handspeak,14,0,train,25,1,-1,49,12,259,240,https://www.handspeak.com/word/l/lemon-fruit.mp4,lemon_0001_handspeak_32816.mp4,failed
3,32818,aslu,5,0,train,25,1,-1,353,72,924,720,https://www.youtube.com/watch?v=TIYO3ae3nQg,lemon_0003_aslu_32818.mp4,skipped_no_ytdlp
4,32819,aslpro,25,0,train,25,1,-1,0,6,243,240,http://www.aslpro.com/main/l/lemon.swf,lemon_0004_aslpro_32819.mp4,skipped_swf
5,32820,aslsearch,12,0,train,25,1,-1,188,63,568,400,http://www.aslsearch.com/signs/videos/lemon.mp4,lemon_0005_aslsearch_32820.mp4,ok
6,66030,aslsignbank,96,0,train,25,1,-1,207,33,513,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/LE/LEMON-1679.mp4,lemon_0006_aslsignbank_66030.mp4,failed
7,66031,aslsignbank,96,0,train,25,1,-1,211,35,519,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/LE/LEMON-1680.mp4,lemon_0007_aslsignbank_66031.mp4,failed
8,66032,aslsignbank,96,0,train,25,1,-1,212,34,520,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/LE/LEMON-1681.mp4,lemon_0008_aslsignbank_66032.mp4,failed
9,66033,aslsignbank,96,0,train,25,1,-1,216,34,543,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/LE/LEMON-1682.mp4,lemon_0009_aslsignbank_66033.mp4,failed
10,32812,spreadthesign,8,0,test,25,1,-1,59,2,234,240,https://media.spreadthesign.com/video/mp4/13/457522.mp4,lemon_0010_spreadthesign_32812.mp4,ok
11,67838,asllex,109,0,train,25,1,-1,86,0,399,360,https://youtu.be/u8iBkURm8VE,lemon_0011_asllex_67838.mp4,skipped_no_ytdlp
12,32813,startasl,38,0,test,25,1,-1,436,60,807,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/lemon.mp4,lemon_0012_startasl_32813.mp4,ok
13,32814,asldeafined,13,0,val,25,1,-1,139,0,510,480,https://media.asldeafined.com/vocabulary/1468672161.5140.mp4,lemon_0013_asldeafined_32814.mp4,ok
