instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,66038,aslsignbank,90,0,train,25,1,-1,197,11,490,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/LE/LETTER-642.mp4,letter_0000_aslsignbank_66038.mp4,failed
1,68636,lillybauer,115,0,test,25,1,46,347,16,930,720,https://www.youtube.com/watch?v=Kw9nFq7HD4Y,letter_0001_lillybauer_68636.mp4,skipped_no_ytdlp
2,70325,northtexas,121,1,test,25,5137,5241,130,31,288,240,https://www.youtube.com/watch?v=pc0-gVEETVg,letter_0002_northtexas_70325.mp4,skipped_no_ytdlp
3,68089,valencia-asl,111,0,val,25,1,-1,196,0,621,480,https://www.youtube.com/watch?v=XYWN81jAkgY,letter_0003_valencia-asl_68089.mp4,skipped_no_ytdlp
4,32948,signschool,31,1,val,25,1,-1,717,124,1569,1074,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Stamp-8KA4BvqtdOg.mp4,letter_0004_signschool_32948.mp4,ok
5,32949,asldeafined,13,1,train,25,1,-1,155,0,574,480,https://media.asldeafined.com/vocabulary/1468711203.8119.mp4,letter_0005_asldeafined_32949.mp4,ok
6,32950,asldeafined,15,2,test,25,1,-1,127,26,515,480,https://media.asldeafined.com/vocabulary/1553868352.971.mp4,letter_0006_asldeafined_32950.mp4,ok
7,32951,handspeak,20,2,train,25,1,-1,110,0,574,480,https://www.handspeak.com/word/l/letter.mp4,letter_0007_handspeak_32951.mp4,failed
9,32953,signingsavvy,11,2,train,25,1,-1,71,16,215,192,https://www.signingsavvy.com/signs/mp4/6/6847.mp4,letter_0009_signingsavvy_32953.mp4,ok
10,32954,signingsavvy,11,1,train,25,1,-1,67,15,227,192,https://www.signingsavvy.com/signs/mp4/6/6848.mp4,letter_0010_signingsavvy_32954.mp4,ok
11,32945,spreadthesign,8,2,train,25,1,-1,57,3,240,240,https://media.spreadthesign.com/video/mp4/13/457528.mp4,letter_0011_spreadthesign_32945.mp4,ok
12,67840,asllex,109,2,train,25,1,-1,100,13,382,360,https://youtu.be/cIC4tYLHaME,letter_0012_asllex_67840.mp4,skipped_no_ytdlp
13,32955,signingsavvy,11,1,train,25,1,-1,68,11,229,192,https://www.signingsavvy.com/signs/mp4/6/6850.mp4,letter_0013_signingsavvy_32955.mp4,ok
14,32956,aslu,5,2,val,25,1,-1,336,42,973,720,https://www.youtube.com/watch?v=fLkoJvqUUi8,letter_0014_aslu_32956.mp4,skipped_no_ytdlp
15,32957,aslpro,87,1,train,25,1,-1,1,18,212,240,http://www.aslpro.com/main/l/letter.swf,letter_0015_aslpro_32957.mp4,skipped_swf
17,32959,aslsearch,41,0,train,25,1,-1,231,40,481,400,http://www.aslsearch.com/signs/videos/letter.mp4,letter_0017_aslsearch_32959.mp4,ok
18,32946,spreadthesign,8,1,train,25,1,-1,49,0,245,240,https://media.spreadthesign.com/video/mp4/13/457529.mp4,letter_0018_spreadthesign_32946.mp4,ok
19,32947,signschool,4,0,train,25,1,-1,657,37,1680,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Letter%20copy-aho9YprKA0M.mp4,letter_0019_signschool_32947.mp4,ok
